Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-01,,,,,,,
2016-08-02,12.87,11.91,11.78,,,,
2016-08-04,16.44,16.26,13.15,,,,
2016-08-09,10.27,9.91,11.46,,,,
2016-08-25,15.94,13.82,13.43,,,,
2016-08-30,12.46,,,,,,
2016-08-31,,13.44,,,,,
2016-09-01,,,15.61,,,,
2016-09-06,18.47,16.85,17.74,,,,
2016-09-08,23.19,20.19,18.69,,,,
2016-09-22,14.53,14.91,17.92,,,,
2016-09-29,11.83,13.65,10.85,,,,
2016-10-06,14.52,14.32,16.04,,,,
2016-10-14,20.03,25.97,23.46,,,,
2016-10-21,12.66,12.1,11.99,,,,
2016-10-28,10.47,9.02,9.22,,,,
2016-11-03,14.27,12.65,15.75,,,,
2016-11-11,7.55,8.24,9.76,,,,
2016-11-18,6.48,13.04,11.03,,,,
2016-11-22,17.44,16.5,35.85,,,,
2016-12-02,15.98,19.31,30.12,,,,
2016-12-13,10.74,11.88,12.37,,,,
2016-12-21,30.01,28.39,28.26,,,,
2016-12-29,17.66,,,,,,
2017-01-12,34.98,34.49,34.96,,,,
2017-01-26,26.22,26.49,26.43,,,,
2017-02-03,16.93,13.69,,,,,
2017-02-10,19.83,22.59,59.43,,,,
2017-02-16,8.9,23.87,47.13,,,,
2017-02-24,10.96,13.03,14.11,,,,
2017-03-02,2.74,3.17,3.31,,,,
2017-03-22,2.54,2.68,,,,,
2017-03-30,3.22,3.24,3.51,,,,
2017-04-05,3.32,3.27,3.14,,,,
2017-04-12,3.68,3.69,3.65,,,,
2017-04-18,5.03,3.96,4.04,,,,
2017-04-25,3.42,3.36,,,,,
2017-05-04,3.37,3.78,3.41,,,,
2017-05-10,4.97,4.66,4.61,,,,
2017-05-19,1.23,1.26,1.26,,,,
2017-05-24,0.67,0.77,0.76,,,,
2017-06-02,1.4,1.43,1.4,,,,
2017-06-06,0.57,0.81,1.67,,,,
2017-06-13,0.94,1.0,1.03,,,,
2017-06-21,1.23,1.29,1.4,,,,
2017-06-30,1.04,1.22,1.29,,,,
2017-07-05,0.57,0.61,0.76,,,,
