Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-01,,,,,,,
2016-08-02,71.86,71.75,71.67,,,,
2016-08-04,72.98,73.07,72.86,,,,
2016-08-09,72.02,72.01,71.9,,,,
2016-08-25,7.13,7.13,7.13,,,,
2016-08-30,7.23,,,,,,
2016-08-31,,7.22,,,,,
2016-09-01,,,7.22,,,,
2016-09-06,7.33,7.33,7.33,,,,
2016-09-08,7.38,7.38,7.38,,,,
2016-09-22,6.83,6.83,6.81,,,,
2016-09-29,6.74,6.74,6.74,,,,
2016-10-06,6.78,6.78,6.77,,,,
2016-10-14,6.36,6.33,6.33,,,,
2016-10-21,6.4,6.4,6.41,,,,
2016-10-28,6.44,6.48,6.5,,,,
2016-11-03,6.2,6.28,6.29,,,,
2016-11-11,5.71,5.71,5.71,,,,
2016-11-18,5.61,5.61,5.61,,,,
2016-11-22,5.6,5.63,5.64,,,,
2016-12-02,5.47,5.47,5.47,,,,
2016-12-13,5.42,5.42,5.42,,,,
2016-12-21,5.06,5.06,5.06,,,,
2016-12-29,4.99,,,,,,
2017-01-12,4.63,4.63,4.64,,,,
2017-01-26,4.33,4.33,4.33,,,,
2017-02-03,4.55,4.59,,,,,
2017-02-10,4.49,4.49,4.49,,,,
2017-02-16,4.78,4.77,4.76,,,,
2017-02-24,4.76,4.76,4.76,,,,
2017-03-02,5.08,5.08,5.08,,,,
2017-03-22,5.21,5.21,,,,,
2017-03-30,5.4,5.4,5.4,,,,
2017-04-05,5.51,5.52,5.52,,,,
2017-04-12,5.58,5.58,5.58,,,,
2017-04-18,5.64,5.66,5.66,,,,
2017-04-25,5.46,5.46,,,,,
2017-05-04,5.61,5.61,5.61,,,,
2017-05-10,5.96,5.96,5.96,,,,
2017-05-19,6.01,6.01,6.01,,,,
2017-05-24,6.02,6.02,6.02,,,,
2017-06-02,6.25,6.25,6.25,,,,
2017-06-06,6.39,6.4,6.41,,,,
2017-06-13,6.4,6.4,6.41,,,,
2017-06-21,6.86,6.86,6.86,,,,
2017-06-30,6.56,6.56,6.56,,,,
2017-07-05,6.69,6.69,6.69,,,,
2017-07-12,6.86,6.85,6.85,,,,
