Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,5.38,4.57,4.35,,,,
2016-08-04,5.61,5.53,4.06,,,,
2016-08-09,5.48,5.49,4.32,,,,
2016-08-25,5.63,4.43,3.56,,,,
2016-08-30,5.23,,,,,,
2016-08-31,,4.73,,,,,
2016-09-01,,,3.73,,,,
2016-09-06,4.86,4.84,4.57,,,,
2016-09-08,5.23,5.22,4.8,,,,
2016-09-22,6.02,5.43,5.69,,,,
2016-09-29,5.43,4.76,5.42,,,,
2016-10-06,5.51,5.52,5.11,,,,
2016-10-14,5.59,4.28,4.22,,,,
2016-10-21,5.7,5.68,5.63,,,,
2016-10-28,4.66,3.96,3.84,,,,
2016-11-03,5.53,5.38,5.06,,,,
2016-11-11,5.01,5.01,5.01,,,,
2016-11-18,5.82,5.84,5.87,,,,
2016-11-22,6.18,6.2,6.1,,,,
2016-12-02,6.17,6.64,6.68,,,,
2016-12-13,7.16,7.19,7.16,,,,
2016-12-21,6.74,6.72,6.71,,,,
2016-12-29,6.22,,,,,,
2017-01-12,7.38,7.25,6.46,,,,
2017-01-26,8.07,8.07,8.06,,,,
2017-02-03,6.66,6.58,,,,,
2017-02-10,7.82,7.8,7.77,,,,
2017-02-16,6.55,6.54,6.51,,,,
2017-02-24,7.34,7.36,7.38,,,,
2017-03-02,6.15,6.15,6.15,,,,
2017-03-22,6.59,6.63,,,,,
2017-03-30,6.29,6.29,6.26,,,,
2017-04-05,6.69,6.37,6.31,,,,
2017-04-12,6.77,6.74,6.72,,,,
2017-04-18,6.71,7.55,7.53,,,,
2017-04-25,7.3,7.33,,,,,
2017-05-04,7.88,7.99,8.0,,,,
2017-05-10,6.86,6.96,6.99,,,,
2017-05-19,6.13,6.15,6.17,,,,
2017-05-24,7.41,7.43,7.47,,,,
2017-06-02,6.46,6.48,6.53,,,,
2017-06-06,6.66,6.99,7.31,,,,
2017-06-13,5.81,5.87,5.94,,,,
2017-06-21,6.73,6.73,6.7,,,,
2017-06-30,4.61,4.55,4.7,,,,
2017-07-05,7.74,7.78,7.89,,,,
2017-07-12,7.85,8.42,8.69,,,,
2017-07-19,6.96,7.12,7.47,,,,
2017-07-26,5.82,6.12,6.98,,,,
2017-08-08,4.3,4.14,3.47,,,,
2017-08-16,4.91,4.92,4.74,,,,
2017-08-23,4.08,4.11,4.05,,,,
2017-08-30,3.41,2.94,2.73,,,,
2017-09-06,4.45,4.44,4.38,,,,
2017-09-11,4.1,4.71,5.06,,,,
2017-09-20,6.57,6.53,6.45,,,,
2017-09-27,5.93,6.55,6.84,,,,
2017-10-04,5.18,5.56,5.41,,,,
2017-10-11,6.44,6.49,5.67,,,,
2017-10-17,5.22,5.44,5.39,,,,
2017-10-25,6.87,8.21,8.37,,,,
2017-11-03,6.5,6.5,6.51,,,,
2017-11-08,6.94,6.94,6.9,,,,
2017-11-15,7.74,7.74,7.7,,,,
2017-11-22,8.3,8.51,8.54,,,,
2017-11-28,6.57,6.6,6.76,,,,
2017-12-05,7.45,7.94,8.0,,,,
2017-12-13,7.14,7.28,7.53,,,,
2017-12-18,7.42,8.34,8.55,,,,
2017-12-26,6.97,7.76,7.79,,,,
2018-01-02,7.06,6.89,6.87,,,,
