Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,45.62,45.57,45.57,,,,
2016-08-04,45.96,46.0,45.92,,,,
2016-08-09,45.79,45.79,45.72,,,,
2016-08-25,46.41,46.42,46.4,,,,
2016-08-30,45.82,,,,,,
2016-08-31,,45.8,,,,,
2016-09-01,,,45.79,,,,
2016-09-06,46.52,46.51,46.5,,,,
2016-09-08,46.57,46.56,46.55,,,,
2016-09-22,46.1,46.08,46.13,,,,
2016-09-29,46.49,46.5,46.5,,,,
2016-10-06,46.54,46.53,46.44,,,,
2016-10-14,45.11,44.93,44.98,,,,
2016-10-21,45.8,45.8,45.81,,,,
2016-10-28,45.96,46.17,46.25,,,,
2016-11-03,45.56,45.96,46.03,,,,
2016-11-11,46.43,46.43,46.43,,,,
2016-11-18,46.49,46.49,46.49,,,,
2016-11-22,45.3,45.55,45.58,,,,
2016-12-02,45.96,45.93,45.93,,,,
2016-12-13,45.4,45.4,45.4,,,,
2016-12-21,43.96,43.97,43.97,,,,
2016-12-29,42.73,,,,,,
2017-01-12,41.18,41.19,41.22,,,,
2017-01-26,40.58,40.57,40.57,,,,
2017-02-03,40.01,40.32,,,,,
2017-02-10,40.54,40.55,40.52,,,,
2017-02-16,40.23,40.24,40.2,,,,
2017-02-24,40.45,40.45,40.45,,,,
2017-03-02,40.61,40.62,40.62,,,,
2017-03-22,40.2,40.21,,,,,
2017-03-30,40.77,40.78,40.79,,,,
2017-04-05,41.19,41.26,41.29,,,,
2017-04-12,40.95,40.94,40.95,,,,
2017-04-18,40.48,40.62,40.62,,,,
2017-04-25,41.04,41.04,,,,,
2017-05-04,41.19,41.18,41.18,,,,
2017-05-10,41.32,41.32,41.32,,,,
2017-05-19,41.35,41.34,41.35,,,,
2017-05-24,41.46,41.46,41.46,,,,
2017-06-02,41.86,41.86,41.87,,,,
2017-06-06,41.86,41.9,41.96,,,,
2017-06-13,42.14,42.14,42.14,,,,
2017-06-21,42.88,42.88,42.88,,,,
2017-06-30,42.92,42.91,42.91,,,,
2017-07-05,43.53,43.53,43.52,,,,
2017-07-12,42.63,42.63,42.62,,,,
2017-07-19,43.3,43.37,43.45,,,,
2017-07-26,43.05,43.06,43.12,,,,
2017-08-08,43.85,43.87,43.9,,,,
2017-08-16,44.05,44.04,44.04,,,,
2017-08-23,44.37,44.38,44.38,,,,
2017-08-30,43.87,44.21,44.23,,,,
2017-09-06,44.02,44.02,44.02,,,,
2017-09-11,44.29,44.37,44.47,,,,
2017-09-20,46.96,47.0,47.0,,,,
2017-09-27,44.55,44.66,44.74,,,,
2017-10-04,44.31,44.39,44.39,,,,
2017-10-11,43.74,43.89,44.2,,,,
2017-10-17,44.33,44.33,44.33,,,,
2017-10-25,44.4,44.44,44.42,,,,
2017-11-03,44.17,44.17,44.17,,,,
2017-11-08,44.56,44.56,44.56,,,,
2017-11-15,44.81,44.81,44.8,,,,
2017-11-22,43.78,43.91,44.0,,,,
2017-11-28,44.08,44.08,44.08,,,,
2017-12-05,44.3,44.29,44.3,,,,
2017-12-13,43.85,43.85,43.84,,,,
2017-12-18,44.16,44.0,44.01,,,,
2017-12-26,43.39,43.61,44.16,,,,
2018-01-02,43.43,43.64,43.67,,,,
2018-01-09,42.26,42.26,42.44,,,,
2018-01-17,42.99,42.99,42.98,,,,
2018-01-24,43.51,43.51,43.51,,,,
2018-01-31,43.08,43.08,43.08,,,,
2018-02-12,43.0,43.0,43.05,,,,
2018-02-20,42.61,42.61,42.62,,,,
2018-02-27,42.65,42.66,42.68,,,,
2018-03-07,41.08,41.09,41.15,,,,
2018-03-08,40.36,40.37,40.37,,,,
2018-03-13,41.84,41.84,41.84,,,,
2018-03-26,42.97,42.97,42.97,,,,
2018-04-05,42.68,42.88,42.89,,,,
2018-04-17,42.65,42.65,42.65,,,,
2018-04-27,43.06,43.13,43.14,,,,
2018-05-02,43.58,43.63,43.7,,,,
2018-05-11,43.01,43.01,43.02,,,,
2018-05-22,43.88,43.89,43.89,,,,
2018-05-30,43.44,43.44,43.44,,,,
2018-06-08,43.63,43.66,43.65,,,,
2018-06-12,43.72,43.72,43.73,,,,
2018-06-20,44.66,44.73,44.75,,,,
2018-06-26,44.38,44.64,44.65,,,,
2018-07-04,43.52,43.52,43.51,,,,
2018-07-10,44.39,44.39,44.39,,,,
2018-07-19,45.04,45.13,45.14,,,,
2018-07-24,45.06,45.19,45.3,,,,
2018-08-03,45.34,45.34,45.34,,,,
2018-08-09,45.01,45.01,45.01,,,,
2018-08-14,45.37,45.38,45.38,,,,
2018-08-23,45.48,45.58,45.59,,,,
2018-08-29,45.7,45.77,45.87,,,,
2018-09-04,45.7,45.79,45.84,,,,
2018-09-13,45.66,45.71,45.71,,,,
2018-09-20,45.53,45.53,45.53,,,,
2018-09-25,46.02,46.02,46.02,,,,
2018-10-03,45.56,45.58,45.6,,,,
2018-10-10,45.35,45.37,45.37,,,,
2018-10-17,44.9,44.96,44.96,,,,
2018-10-24,44.87,44.97,44.96,,,,
2018-10-31,44.78,44.82,44.74,,,,
2018-11-07,44.01,44.34,44.45,,,,
2018-11-21,43.97,43.99,44.05,,,,
2018-11-28,44.28,44.4,44.4,,,,
2018-12-04,43.68,43.82,43.91,,,,
2018-12-11,43.82,43.82,43.82,,,,
2018-12-19,44.12,44.12,44.12,,,,
2018-12-26,44.0,43.99,43.99,,,,
2019-01-03,44.01,44.01,44.01,,,,
2019-01-09,43.27,43.29,43.29,,,,
2019-01-17,42.17,42.24,42.55,,,,
2019-01-25,43.74,43.74,43.75,,,,
2019-02-06,43.7,43.72,43.72,,,,
2019-02-12,43.29,43.29,43.29,,,,
2019-02-20,43.74,43.75,43.75,,,,
2019-02-26,43.88,43.93,43.94,,,,
2019-03-05,42.97,43.19,43.2,,,,
2019-03-12,42.48,42.57,42.57,,,,
2019-03-28,43.64,43.64,43.64,,,,
2019-04-02,43.47,43.47,43.47,,,,
2019-04-15,43.54,43.54,43.54,,,,
2019-04-24,42.15,42.16,42.2,,,,
2019-04-30,42.7,42.7,42.7,,,,
2019-05-08,42.94,42.95,42.95,,,,
2019-05-15,42.3,42.4,42.41,,,,
2019-05-21,42.39,42.4,42.57,,,,
2019-05-29,43.32,43.32,43.31,,,,
2019-06-04,43.32,43.32,43.33,,,,
2019-06-18,43.22,43.22,43.22,,,,
2019-06-25,43.34,43.34,43.33,,,,
2019-07-04,43.92,44.03,44.04,,,,
2019-07-11,43.64,43.72,43.72,,,,
2019-07-19,43.81,43.9,43.9,,,,
2019-07-26,44.15,44.15,44.15,,,,
2019-07-30,44.96,44.97,44.98,,,,
2019-08-06,44.84,44.84,44.84,,,,
2019-08-14,45.07,45.07,45.08,,,,
2019-08-22,45.23,45.32,45.4,,,,
2019-08-29,45.23,45.31,45.3,,,,
2019-09-04,45.31,45.43,45.61,,,,
2019-09-10,45.1,45.11,45.11,,,,
2019-09-17,33.3,33.75,34.03,,,,
2019-09-18,34.84,41.99,43.43,,,,
2019-09-19,35.59,39.0,41.3,,,,
2019-09-26,37.66,37.67,37.68,,,,
2019-10-03,38.38,38.38,38.38,,,,
