Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,28.63,28.61,28.55,,,,
2016-08-04,29.12,29.15,29.07,,,,
2016-08-09,28.58,28.58,28.56,,,,
2016-08-25,27.44,27.44,27.44,,,,
2016-08-30,28.76,,,,,,
2016-08-31,,28.73,,,,,
2016-09-01,,,28.72,,,,
2016-09-06,28.82,28.81,28.81,,,,
2016-09-08,29.13,29.12,29.11,,,,
2016-09-22,25.46,25.48,25.3,,,,
2016-09-29,24.39,24.4,24.4,,,,
2016-10-06,24.71,24.69,24.69,,,,
2016-10-14,22.82,22.77,22.74,,,,
2016-10-21,22.52,22.52,22.52,,,,
2016-10-28,22.61,22.77,22.8,,,,
2016-11-03,21.18,21.41,21.43,,,,
2016-11-11,16.57,16.56,16.58,,,,
2016-11-18,15.71,15.71,15.72,,,,
2016-11-22,16.65,16.65,16.7,,,,
2016-12-02,15.07,15.03,15.04,,,,
2016-12-13,15.14,15.13,15.13,,,,
2016-12-21,13.31,13.32,13.34,,,,
2016-12-29,13.81,,,,,,
2017-01-12,12.05,12.02,12.11,,,,
2017-01-26,9.83,9.82,9.83,,,,
2017-02-03,12.41,12.45,,,,,
2017-02-10,11.34,11.34,11.35,,,,
2017-02-16,14.26,14.18,14.14,,,,
2017-02-24,13.94,13.93,13.94,,,,
2017-03-02,16.6,16.59,16.59,,,,
2017-03-22,18.19,18.18,,,,,
2017-03-30,19.22,19.24,19.25,,,,
2017-04-05,19.75,19.77,19.79,,,,
2017-04-12,20.61,20.6,20.6,,,,
2017-04-18,21.6,21.65,21.64,,,,
2017-04-25,19.46,19.46,,,,,
2017-05-04,20.6,20.61,20.62,,,,
2017-05-10,23.43,23.43,23.43,,,,
2017-05-19,23.81,23.82,23.83,,,,
2017-05-24,23.81,23.82,23.83,,,,
2017-06-02,25.28,25.3,25.3,,,,
2017-06-06,26.39,26.42,26.47,,,,
2017-06-13,26.21,26.22,26.24,,,,
2017-06-21,29.02,29.02,29.02,,,,
2017-06-30,26.61,26.63,26.65,,,,
2017-07-05,27.04,27.04,27.03,,,,
2017-07-12,29.32,29.27,29.24,,,,
2017-07-19,29.28,29.31,29.36,,,,
2017-07-26,30.09,30.1,30.17,,,,
2017-08-08,31.16,31.17,31.19,,,,
2017-08-16,27.59,27.59,27.6,,,,
