Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,5.33,5.63,5.84,,,,
2016-08-04,6.75,6.52,6.87,,,,
2016-08-09,6.78,6.61,6.89,,,,
2016-08-25,6.29,6.13,6.87,,,,
2016-08-30,5.94,,,,,,
2016-08-31,,6.24,,,,,
2016-09-01,,,7.0,,,,
2016-09-06,4.81,4.81,4.87,,,,
2016-09-08,4.91,4.86,4.95,,,,
2016-09-22,6.84,7.12,7.35,,,,
2016-09-29,6.75,7.66,7.3,,,,
2016-10-06,6.25,5.93,5.28,,,,
2016-10-14,6.0,5.8,6.05,,,,
2016-10-21,5.06,5.2,5.53,,,,
2016-10-28,4.26,4.3,4.27,,,,
2016-11-03,3.99,4.47,7.16,,,,
2016-11-11,3.94,3.65,3.83,,,,
2016-11-18,3.64,3.65,7.75,,,,
2016-11-22,9.13,7.43,7.24,,,,
2016-12-02,3.5,3.38,3.19,,,,
2016-12-13,2.48,2.5,2.49,,,,
2016-12-21,7.24,7.17,7.15,,,,
2016-12-29,3.73,,,,,,
2017-01-12,3.54,3.5,5.1,,,,
2017-01-26,3.32,3.6,3.47,,,,
2017-02-03,2.52,1.9,,,,,
2017-02-10,3.14,3.21,4.1,,,,
2017-02-16,2.75,2.78,2.45,,,,
2017-02-24,1.85,1.94,2.59,,,,
2017-03-02,3.39,2.95,3.28,,,,
2017-03-22,3.16,3.28,,,,,
2017-03-30,5.46,5.25,5.36,,,,
2017-04-05,3.72,3.27,1.96,,,,
2017-04-12,8.55,8.58,8.64,,,,
2017-04-18,1.97,2.13,2.6,,,,
2017-04-25,1.69,1.74,,,,,
2017-05-04,2.71,2.99,2.91,,,,
2017-05-10,2.41,2.52,2.32,,,,
2017-05-19,1.61,3.53,3.8,,,,
2017-05-24,2.1,2.14,1.97,,,,
2017-06-02,1.67,1.72,1.66,,,,
2017-06-06,4.37,4.56,4.7,,,,
2017-06-13,2.39,2.34,2.23,,,,
2017-06-21,1.79,1.72,1.88,,,,
2017-06-30,3.11,5.16,4.9,,,,
2017-07-05,1.15,1.46,1.59,,,,
2017-07-12,1.53,1.63,1.65,,,,
2017-07-19,1.37,1.59,1.64,,,,
2017-07-26,0.92,1.01,0.87,,,,
2017-08-08,1.46,1.54,1.6,,,,
2017-08-16,3.59,3.33,3.34,,,,
2017-08-23,3.82,3.88,4.65,,,,
2017-08-30,7.89,5.77,5.32,,,,
2017-09-06,5.67,5.27,5.61,,,,
2017-09-11,4.33,5.88,8.37,,,,
2017-09-20,2.59,1.87,1.76,,,,
2017-09-27,5.32,5.2,5.1,,,,
2017-10-04,4.14,4.16,4.02,,,,
2017-10-11,3.52,3.4,3.65,,,,
2017-10-17,3.02,2.92,3.01,,,,
2017-10-25,2.35,2.51,2.81,,,,
2017-11-03,2.73,2.72,3.07,,,,
2017-11-08,2.71,3.18,3.15,,,,
2017-11-15,3.78,3.72,3.79,,,,
2017-11-22,3.17,3.33,3.88,,,,
2017-11-28,3.55,3.91,4.09,,,,
2017-12-05,2.3,3.34,3.53,,,,
2017-12-13,4.43,4.92,5.07,,,,
2017-12-18,3.99,3.41,3.74,,,,
2017-12-26,3.01,3.25,4.33,,,,
2018-01-02,3.11,2.93,2.75,,,,
2018-01-09,3.02,3.1,3.17,,,,
2018-01-17,2.57,2.53,2.57,,,,
2018-01-24,1.77,1.8,2.09,,,,
2018-01-31,2.17,2.12,2.14,,,,
2018-02-12,2.41,2.45,2.55,,,,
2018-02-20,1.61,1.54,1.51,,,,
2018-02-27,1.96,1.98,1.99,,,,
2018-03-07,7.07,6.79,6.5,,,,
2018-03-08,2.15,2.31,2.36,,,,
2018-03-13,6.61,6.53,6.61,,,,
2018-03-26,1.8,1.76,1.75,,,,
2018-04-05,4.05,4.21,4.33,,,,
2018-04-17,2.91,3.01,3.54,,,,
2018-04-27,1.37,1.4,1.32,,,,
2018-05-02,2.23,2.31,3.74,,,,
2018-05-11,2.32,2.28,3.78,,,,
2018-05-22,2.71,2.77,2.82,,,,
2018-05-30,3.76,3.87,4.16,,,,
2018-06-08,0.08,3.29,4.32,,,,
2018-06-12,3.62,3.78,3.8,,,,
2018-06-20,0.74,1.19,1.24,,,,
2018-06-26,0.93,0.94,1.09,,,,
2018-07-04,0.87,0.97,1.21,,,,
2018-07-10,1.11,1.16,1.66,,,,
2018-07-19,0.48,0.79,0.8,,,,
2018-07-24,0.73,0.7,0.67,,,,
2018-08-03,0.22,0.56,1.01,,,,
2018-08-09,0.51,0.59,0.62,,,,
2018-08-14,0.56,1.63,1.71,,,,
2018-08-23,0.47,0.45,0.5,,,,
2018-08-29,0.49,0.47,0.44,,,,
2018-09-04,0.31,0.6,0.6,,,,
2018-09-13,0.43,0.65,0.64,,,,
2018-09-20,0.65,0.78,0.83,,,,
2018-09-25,0.35,0.48,0.51,,,,
2018-10-03,0.24,0.31,0.61,,,,
2018-10-10,0.53,0.5,0.53,,,,
2018-10-17,0.59,0.59,0.56,,,,
2018-10-24,0.5,0.53,0.57,,,,
2018-10-31,1.13,1.22,1.1,,,,
2018-11-07,0.49,0.66,0.55,,,,
2018-11-21,1.87,1.79,1.76,,,,
2018-11-28,0.71,0.69,0.77,,,,
2018-12-04,0.66,0.63,0.62,,,,
2018-12-11,0.52,0.53,0.64,,,,
2018-12-19,0.4,0.6,0.5,,,,
2018-12-26,0.55,0.46,0.45,,,,
2019-01-03,0.4,0.41,0.45,,,,
2019-01-09,0.38,0.4,0.55,,,,
2019-01-17,0.53,0.49,0.53,,,,
2019-01-25,0.51,0.49,0.51,,,,
2019-02-06,0.52,0.69,0.78,,,,
2019-02-12,0.47,0.48,0.55,,,,
2019-02-20,0.37,0.39,0.46,,,,
2019-02-26,0.19,0.45,0.56,,,,
2019-03-05,0.62,0.85,1.0,,,,
2019-03-12,0.69,0.66,0.69,,,,
2019-03-28,0.56,0.55,0.7,,,,
2019-04-02,0.61,0.67,0.61,,,,
2019-04-15,0.8,1.67,1.76,,,,
2019-04-24,0.47,1.77,1.8,,,,
2019-04-30,0.77,0.84,1.16,,,,
2019-05-08,0.33,1.26,1.49,,,,
2019-05-15,1.89,1.88,1.87,,,,
2019-05-21,1.17,1.14,1.12,,,,
2019-05-29,0.06,0.95,1.19,,,,
2019-06-04,0.17,1.62,1.6,,,,
2019-06-18,1.03,1.32,1.32,,,,
2019-06-25,0.96,1.07,1.16,,,,
2019-07-04,1.13,0.99,1.02,,,,
2019-07-11,0.93,0.89,0.83,,,,
2019-07-19,0.79,0.75,0.73,,,,
2019-07-26,0.64,0.75,0.95,,,,
2019-07-30,0.89,0.93,0.79,,,,
2019-08-06,0.23,0.39,0.77,,,,
2019-08-14,1.15,1.2,1.34,,,,
2019-08-22,1.6,1.59,2.6,,,,
2019-08-29,2.37,2.67,2.44,,,,
2019-09-04,1.32,1.87,1.56,,,,
2019-09-10,1.47,1.68,1.78,,,,
2019-09-17,7.4,7.82,8.48,,,,
2019-09-18,12.17,14.95,15.15,,,,
2019-09-19,9.06,9.56,13.33,,,,
2019-09-26,12.13,11.43,14.12,,,,
2019-10-03,10.75,11.33,13.75,,,,
2019-10-15,12.13,11.7,12.73,,,,
2019-10-16,8.71,8.6,8.8,,,,
2019-10-25,3.25,5.82,7.88,,,,
2019-11-04,4.75,5.86,6.62,,,,
2019-11-07,13.94,15.54,14.47,,,,
2019-11-14,6.42,6.57,6.41,,,,
2019-11-21,3.37,3.29,2.32,,,,
2019-11-27,0.27,0.58,1.07,,,,
2019-12-05,4.14,4.84,4.88,,,,
2019-12-11,1.26,1.51,2.28,,,,
2019-12-16,2.62,2.47,0.86,,,,
2019-12-26,0.89,0.93,0.87,,,,
2020-01-03,2.63,2.7,2.81,,,,
2020-01-08,2.13,2.33,2.31,,,,
2020-01-17,0.61,1.1,1.29,,,,
2020-01-23,5.32,5.32,4.82,,,,
2020-01-29,1.13,1.1,1.33,,,,
2020-02-04,1.3,1.32,2.11,,,,
2020-02-11,1.48,1.34,1.28,,,,
2020-02-20,0.62,0.77,0.94,,,,
2020-02-25,4.21,4.31,4.48,,,,
2020-03-05,0.5,1.94,2.17,,,,
2020-03-11,3.31,3.81,3.73,,,,
2020-03-17,3.88,3.92,3.97,,,,
2020-03-27,1.49,1.53,1.49,,,,
2020-04-01,1.27,1.33,1.78,,,,
2020-04-07,0.89,0.89,1.08,,,,
2020-04-14,1.12,1.17,1.2,,,,
2020-04-21,2.15,2.23,2.46,,,,
2020-05-13,2.5,2.56,2.61,,,,
2020-05-20,3.86,4.07,4.3,,,,
2020-06-01,1.98,2.02,2.04,,,,
2020-06-15,4.88,5.23,5.93,,,,
2020-06-26,1.4,1.37,1.34,,,,
2020-07-02,4.73,4.87,4.98,,,,
2020-07-07,0.66,0.67,0.83,,,,
2020-07-17,0.61,0.68,0.83,,,,
2020-07-23,0.43,0.51,0.54,,,,
2020-07-28,0.85,0.81,0.89,,,,
2020-08-04,0.71,0.66,0.56,,,,
2020-08-13,0.84,0.86,0.93,,,,
2020-08-19,0.66,0.63,0.72,,,,
2020-08-26,0.14,0.38,0.53,,,,
2020-09-03,0.57,0.55,0.61,,,,
2020-09-10,0.3,1.0,0.71,,,,
2020-09-16,0.65,0.63,0.92,,,,
2020-09-24,0.84,1.1,1.27,,,,
2020-09-30,0.6,0.62,0.56,,,,
2020-10-08,0.98,0.99,0.93,,,,
2020-10-14,1.3,1.27,1.23,,,,
2020-10-22,1.06,0.98,1.0,,,,
2020-10-29,1.58,1.58,1.93,,,,
2020-11-04,0.66,0.62,0.63,,,,
2020-11-12,0.6,0.56,0.68,,,,
2020-11-18,0.81,0.79,0.78,,,,
2020-11-25,0.73,0.71,0.67,,,,
2020-12-03,0.53,0.52,0.56,,,,
2020-12-10,0.6,0.61,0.67,,,,
2020-12-15,0.68,0.68,0.66,,,,
2020-12-21,0.68,0.67,0.57,,,,
2020-12-29,0.62,0.71,0.78,,,,
2021-01-05,0.59,0.57,0.61,,,,
2021-01-13,0.72,0.68,0.67,,,,
2021-01-20,0.91,0.87,0.62,,,,
2021-01-27,0.79,0.79,0.69,,,,
2021-02-03,1.07,0.99,1.47,,,,
2021-02-12,1.08,1.13,0.74,,,,
2021-02-17,2.74,2.8,2.7,,,,
2021-02-24,0.64,0.57,0.54,,,,
2021-03-05,0.52,0.54,0.62,,,,
2021-03-10,0.48,0.5,0.76,,,,
2021-03-15,0.89,0.87,0.96,,,,
2021-03-24,0.7,0.72,0.83,,,,
2021-04-06,0.84,0.86,0.93,,,,
2021-04-13,0.49,0.49,0.56,,,,
2021-04-20,0.8,0.8,0.85,,,,
2021-04-27,0.72,0.73,0.8,,,,
2021-05-06,0.83,0.85,0.72,,,,
2021-05-13,0.76,0.77,0.89,,,,
2021-05-20,0.56,0.59,0.69,,,,
2021-05-25,0.77,0.78,1.08,,,,
2021-06-02,0.6,0.6,0.67,,,,
2021-06-08,0.67,0.69,0.73,,,,
2021-06-14,0.58,0.58,0.57,,,,
2021-06-22,0.88,0.85,0.9,,,,
2021-07-01,0.94,0.94,1.0,,,,
2021-07-06,0.6,0.69,0.79,,,,
2021-07-14,0.49,0.58,0.73,,,,
2021-07-20,0.73,0.74,0.82,,,,
2021-07-27,0.76,0.78,0.84,,,,
2021-08-03,0.77,0.75,0.81,,,,
2021-08-09,0.92,0.96,1.07,,,,
2021-08-13,0.93,0.97,1.03,,,,
2021-08-16,1.21,1.21,1.43,,,,
2021-08-19,1.06,1.17,1.36,,,,
2021-08-24,1.31,1.29,1.47,,,,
2021-08-26,1.12,1.11,1.14,,,,
2021-08-30,1.57,1.46,1.44,,,,
