Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,17.57,13.47,12.56,,,,,,,,,
2016-08-04,22.68,16.28,14.43,,,,,,,,,
2016-08-09,10.85,17.4,9.75,,,,,,,,,
2016-08-25,21.03,17.52,17.46,,,,,,,,,
2016-08-30,17.37,14.18,11.92,,,,,,,,,
2016-09-06,18.32,18.31,15.3,,,,,,,,,
2016-09-08,14.67,18.53,15.06,,,,,,,,,
2016-09-22,10.86,,14.82,14.81,13.05,,,,,,,
2016-09-29,1.0,6.73,7.67,,,8.7,,,,,,
2016-10-06,0.61,7.36,4.65,,,16.99,,,,,,
2016-10-14,21.42,23.59,20.95,,,18.41,17.52,,,,,
2016-10-21,24.16,24.9,23.0,,,21.52,21.19,,,,,
2016-10-28,20.0,19.18,16.95,,,14.1,12.64,,,,,
2016-11-03,16.8,22.52,26.95,,,25.24,21.43,,,,,
2016-11-11,14.7,20.26,23.77,,,21.22,,19.38,,,,
2016-11-18,8.5,19.57,26.85,,,27.61,25.77,,,,,
2016-11-22,21.56,26.44,26.98,,,26.17,25.74,,,,,
2016-12-02,13.42,20.34,24.49,,,24.1,23.78,,,,,
2016-12-13,13.46,14.46,20.69,,,25.3,27.4,,,,,
2017-01-12,15.51,25.78,43.24,,,44.57,45.19,,,,,
2017-01-26,8.87,16.13,25.1,,,30.06,31.61,,,,,
2017-02-03,18.6,25.63,31.43,,,33.28,35.53,,,,,
2017-02-10,14.65,26.25,37.36,,,40.81,35.45,,,,,
2017-02-16,15.9,23.66,28.99,,,31.74,33.98,,,,,
2017-02-24,21.61,24.24,26.19,,,26.3,35.83,,,,,
2017-03-02,5.43,7.88,11.07,,,15.89,19.63,,,,,
2017-03-22,4.73,5.3,6.48,,,8.17,8.36,,,,,
2017-03-30,3.71,3.91,4.12,,,4.34,5.52,,,,,
2017-04-05,3.93,4.19,4.93,,,5.83,6.04,,,,,
2017-04-12,4.69,5.21,5.93,,,5.69,5.86,,,,,
2017-04-18,5.43,,5.69,5.24,5.07,,,,,,,
2017-04-25,4.05,4.01,3.66,,,3.16,3.19,,,,,
2017-05-04,3.21,3.19,3.3,,,3.36,3.88,,,,,
2017-05-10,4.5,4.8,5.12,,,4.7,4.99,,,,,
2017-05-19,0.51,0.74,0.76,,,0.83,1.21,,,,,
2017-05-24,0.44,0.55,0.57,,,0.55,0.53,,,,,
2017-06-02,1.64,2.13,2.47,,,2.65,2.56,,,,,
2017-06-06,1.71,1.98,1.94,,,1.66,1.91,,,,,
2017-06-13,1.64,2.0,2.07,,,1.93,2.43,,,,,
2017-06-21,0.35,0.47,0.67,,,0.56,1.77,,,,,
2017-06-30,0.62,0.71,0.8,,,0.78,0.73,,,,,
2017-07-05,0.91,1.0,1.06,,,1.04,1.06,,,,,
2017-07-12,2.52,2.79,2.4,,,1.14,1.25,,,,,
2017-07-19,1.41,2.01,1.6,,,1.53,1.68,,,,,
2017-07-26,0.91,1.07,1.14,,,1.18,1.1,,,,,
2017-08-08,5.06,4.98,4.8,,,4.64,4.37,,,,,
2017-08-16,4.13,4.46,4.96,,,5.02,5.11,,,,,
2017-08-23,8.56,9.11,8.35,,,7.78,7.4,,,,,
2017-08-30,6.4,6.21,6.18,,,6.25,6.81,,,,,
2017-09-06,7.54,8.27,8.03,,,5.56,4.85,,,,,
2017-09-11,4.2,5.34,6.14,,,5.89,4.3,,,,,
2017-09-20,4.32,5.86,6.68,,,6.85,6.81,,,,,
2017-09-27,3.5,4.72,6.41,,,6.75,6.03,,,,,
2017-10-04,2.57,2.93,4.64,,,4.97,3.83,3.72,,,,
2017-10-11,4.37,4.49,4.73,,,4.69,4.64,4.66,,,,
2017-10-17,3.58,4.4,4.94,,,4.95,4.86,4.88,,,,
2017-10-25,3.56,4.61,4.99,,,4.92,4.64,,,,,
2017-11-03,5.81,5.91,5.88,,,5.76,5.73,,,,,
2017-11-08,3.64,5.05,5.53,,,5.46,4.69,,,,,
2017-11-15,2.09,2.52,2.95,,,3.04,3.19,,,,,
2017-11-28,2.35,2.91,3.51,,,3.6,3.12,,,,,
2017-12-05,2.34,2.67,3.09,,,3.16,3.34,,,,,
2017-12-13,1.45,1.87,2.48,,,2.69,2.82,,,,,
2017-12-18,1.92,2.45,2.46,,,2.43,2.39,,,,,
2017-12-26,1.44,1.95,2.21,,,2.31,2.8,,,,,
2018-01-02,4.6,6.04,6.77,,,6.23,4.8,,,,,
2018-01-09,1.95,2.73,3.77,,,4.1,4.12,,,,,
2018-01-17,1.96,2.94,4.21,,,4.49,5.61,,,,,
2018-01-24,1.97,2.53,3.67,,,4.29,4.09,,,,,
2018-01-31,5.35,6.06,6.87,,,7.21,7.99,,,,,
2018-02-12,3.03,5.14,6.67,,,7.42,7.36,,,,,
2018-02-20,3.2,5.06,7.01,,,8.75,9.4,,,,,
2018-02-27,6.04,7.2,7.88,,,8.16,8.92,,,,,
2018-03-07,2.96,3.93,4.99,,,5.76,6.57,,,,,
2018-03-08,3.05,3.74,4.93,,,7.03,9.63,,,,,
2018-03-13,3.92,4.78,5.0,,,4.74,3.17,,,,,
2018-03-26,1.16,1.21,1.77,,,1.97,2.12,,,,,
2018-04-05,0.81,1.65,2.31,,,3.49,3.43,,,,,
2018-04-17,0.75,0.85,1.09,,,1.24,1.43,,,,,
2018-04-27,1.61,2.13,3.24,,,2.91,2.81,,,,,
2018-05-02,1.03,1.39,2.0,,,2.26,2.63,,,,,
2018-05-11,2.97,3.37,3.56,,,3.72,3.69,,,,,
2018-05-16,0.29,2.3,2.89,,,2.94,3.08,,,,,
2018-05-22,0.59,0.74,0.91,,,0.95,0.94,,,,,
2018-05-30,0.93,1.17,1.3,,,1.28,1.24,,,,,
2018-06-08,0.65,0.75,1.05,,,1.5,1.27,,,,,
2018-06-12,1.21,1.5,1.8,,,2.08,2.15,,,,,
2018-06-20,1.23,1.87,2.08,,,2.6,3.18,,,,,
2018-06-26,1.31,2.46,3.69,,,4.49,5.0,,,,,
2018-07-04,1.24,1.22,1.17,,,1.05,1.02,,,,,
2018-07-10,1.29,1.54,1.71,,,1.65,1.67,,,,,
2018-07-19,1.53,1.84,1.93,,,1.98,2.02,,,,,
2018-07-24,1.36,1.93,2.39,,,2.67,2.86,,,,,
2018-08-03,1.2,1.39,1.69,,,1.76,1.73,,,,,
2018-08-09,0.88,1.35,1.6,,,1.75,1.88,,,,,
2018-08-14,1.78,1.84,1.68,,,1.99,1.48,,,,,
2018-08-23,0.82,1.0,1.29,,,1.42,1.51,,,,,
2018-08-29,0.84,1.12,1.46,,,1.57,1.83,,,,,
2018-09-04,0.64,0.89,1.1,,,0.99,0.91,,,,,
2018-09-13,0.96,1.34,1.74,,,2.13,2.21,,,,,
2018-09-20,0.97,1.43,1.94,,,2.21,2.43,,,,,
2018-09-25,1.82,1.95,2.25,,,2.44,2.67,,,,,
2018-10-03,0.78,0.9,1.05,,,1.08,1.12,,,,,
2018-10-10,0.58,0.85,1.42,,,1.41,1.52,,,,,
2018-10-17,0.54,0.55,0.75,,,0.95,1.09,,,,,
2018-10-24,0.74,0.85,0.94,,,0.99,1.24,,,,,
2018-11-07,0.83,1.01,1.13,,,1.25,1.35,,,,,
2018-11-21,1.83,1.86,1.79,,,1.36,0.7,,,,,
2018-11-28,1.34,1.84,2.86,,,3.19,2.95,,,,,
2018-12-04,0.83,0.99,1.14,,,1.28,1.49,,,,,
2018-12-11,1.38,1.6,1.72,,,1.83,1.92,,,,,
2018-12-19,0.86,0.99,1.11,,,1.21,1.53,,,,,
2018-12-26,0.71,0.88,1.02,,,1.13,1.19,,,,,
2019-01-03,0.87,0.84,0.84,,,0.85,0.83,,,,,
2019-01-09,0.24,0.25,0.28,,,0.32,0.38,,,,,
2019-01-17,0.23,0.24,0.27,,,0.29,0.34,,,,,
2019-01-25,0.18,0.21,0.24,,,0.27,0.31,,,,,
2019-02-06,0.29,0.33,0.42,,,0.39,0.47,,,,,
2019-02-12,0.3,0.33,0.42,,,0.54,0.64,,,,,
2019-02-20,0.14,0.19,0.2,,,0.19,0.27,,,,,
2019-02-26,0.15,0.22,0.28,,,0.31,0.37,,,,,
2019-03-05,0.16,0.17,0.17,,,0.22,0.26,,,,,
2019-03-12,0.24,0.28,0.36,,,0.41,0.47,,,,,
2019-03-28,0.16,0.19,0.26,,,0.33,0.39,,,,,
2019-04-02,0.25,0.31,0.42,,,0.45,0.53,,,,,
2019-04-15,0.13,0.26,0.33,,,0.39,0.47,,,,,
2019-04-24,0.66,0.8,1.0,,,1.17,1.35,,,,,
2019-04-30,0.51,0.64,0.87,,,1.03,1.24,,,,,
2019-05-08,0.36,0.39,0.44,,,0.49,0.56,,,,,
2019-05-15,0.69,0.88,1.01,,,1.12,1.2,,,,,
2019-05-21,1.38,1.52,1.61,,,1.73,1.84,,,,,
2019-06-04,1.39,1.85,2.19,,,2.46,3.73,,,,,
2019-06-18,1.08,1.46,1.73,,,1.9,1.84,,,,,
2019-06-25,1.38,1.68,2.15,,,2.42,2.69,,,,,
2019-07-04,1.36,1.69,1.93,,,2.2,2.3,,,,,
2019-07-11,0.37,0.52,0.63,,,0.68,0.66,,,,,
2019-07-19,0.66,0.74,0.95,,,0.95,1.01,,,,,
2019-07-26,0.56,0.71,0.8,,,0.92,0.98,,,,,
2019-07-30,0.57,0.69,0.99,,,1.11,1.12,,,,,
2019-08-06,0.95,1.22,1.65,,,2.02,2.31,,,,,
2019-08-14,1.47,2.27,2.7,,,3.21,3.89,,,,,
2019-08-22,3.23,4.29,4.91,,,5.25,6.09,,,,,
2019-08-29,2.1,3.06,3.97,,,4.3,4.94,,,,,
2019-09-04,2.13,2.96,3.28,,,3.49,4.23,,,,,
2019-09-10,3.87,4.42,4.71,,,4.78,5.58,,,,,
2019-09-17,16.59,7.82,5.8,,,7.57,11.56,13.19,,,,
2019-09-18,24.61,26.3,25.78,,,12.85,3.96,,,,,
2019-09-19,14.33,21.4,25.19,,,6.72,2.02,,,,,
2019-09-26,2.93,4.2,4.81,,,3.96,4.75,,,,,
2019-10-03,6.66,6.91,6.81,,,5.81,3.04,,,,,
2019-10-15,12.12,11.88,12.24,,,11.74,8.7,,,,,
2019-10-16,12.57,13.44,13.52,,,13.57,13.01,,,,,
2019-10-25,14.24,14.97,15.21,,,14.74,14.98,,,,,
2019-11-04,20.35,22.46,24.09,,,24.23,23.91,,,,,
2019-11-07,16.81,24.1,24.28,,,22.31,20.41,,,,,
2019-11-14,12.09,13.24,13.85,,,13.68,13.91,,,,,
2019-11-21,10.59,9.71,7.04,,,6.44,6.37,,,,,
2019-11-27,3.75,7.56,8.37,,,5.78,4.51,4.52,,,,
2019-12-05,7.49,8.56,8.01,,,7.68,8.2,,,,,
2019-12-11,3.28,3.49,4.83,,,8.18,12.33,,,,,
2019-12-16,1.86,2.25,3.15,,,4.39,7.19,,,,,
2019-12-26,1.51,2.31,2.78,,,2.83,2.3,,,,,
2020-01-03,1.06,1.3,1.78,,,1.97,2.71,,,,,
2020-01-08,0.63,0.71,0.97,,,1.22,1.88,,,,,
2020-01-17,0.51,0.61,0.84,,,0.93,1.08,,,,,
2020-01-23,11.88,13.67,13.68,,,10.81,7.61,,,,,
2020-01-29,3.27,4.68,9.21,,,11.98,11.77,,,,,
2020-02-04,1.46,1.68,2.21,,,2.55,1.82,,,,,
2020-02-11,0.8,1.08,1.51,,,2.08,2.28,,,,,
2020-02-20,1.8,2.29,3.11,,,3.96,4.31,,,,,
2020-02-25,1.13,1.64,2.36,,,2.94,3.19,,,,,
2020-03-05,9.05,12.44,19.78,,,21.36,7.87,,,,,
2020-03-11,1.64,2.7,4.52,,,5.94,6.97,,,,,
2020-03-17,3.84,4.13,4.47,,,4.64,4.69,,,,,
2020-03-27,8.76,8.91,8.04,,,8.01,7.96,,,,,
2020-04-01,4.1,4.08,4.29,,,4.01,4.59,,,,,
2020-04-07,2.02,2.2,3.0,,,3.4,3.42,,,,,
2020-04-14,2.21,2.34,2.53,,,1.81,1.31,,,,,
2020-04-21,1.43,1.47,1.64,,,1.63,1.69,,,,,
2020-05-13,0.95,1.14,1.28,,,1.31,1.28,,,,,
