Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,5.56,4.12,4.39,,,,,,,,,
2016-08-04,5.99,5.48,4.5,,,,,,,,,
2016-08-09,4.94,4.61,3.99,,,,,,,,,
2016-08-25,5.44,4.75,4.6,,,,,,,,,
2016-08-30,5.19,5.01,4.17,,,,,,,,,
2016-09-06,5.23,5.19,4.95,,,,,,,,,
2016-09-08,5.4,5.44,5.2,,,,,,,,,
2016-09-22,5.4,,5.82,5.83,5.27,,,,,,,
2016-09-29,4.76,4.47,4.82,,,4.86,,,,,,
2016-10-06,5.15,4.96,4.46,,,4.25,,,,,,
2016-10-14,5.58,5.41,5.24,,,4.79,4.62,,,,,
2016-10-21,6.16,6.13,6.13,,,6.11,6.06,,,,,
2016-10-28,5.85,5.63,5.51,,,5.47,5.37,,,,,
2016-11-03,6.05,5.89,5.65,,,5.5,5.33,,,,,
2016-11-11,5.3,5.27,5.16,,,4.81,,4.7,,,,
2016-11-18,7.16,7.0,6.94,,,6.88,6.84,,,,,
2016-11-22,6.87,6.8,6.74,,,6.69,6.64,,,,,
2016-12-02,6.76,6.76,6.72,,,6.28,6.15,,,,,
2016-12-13,6.85,7.23,7.26,,,7.26,7.19,,,,,
2017-01-12,8.19,8.21,8.14,,,7.85,7.8,,,,,
2017-01-26,8.1,8.08,8.05,,,7.88,7.48,,,,,
2017-02-03,8.19,8.19,8.17,,,8.16,8.03,,,,,
2017-02-10,7.85,7.82,7.81,,,7.75,5.93,,,,,
2017-02-16,7.46,7.48,7.48,,,7.36,7.34,,,,,
2017-02-24,7.38,7.36,7.32,,,7.27,6.56,,,,,
2017-03-02,7.34,7.33,7.23,,,7.21,7.2,,,,,
2017-03-22,7.79,7.79,7.76,,,7.53,7.22,,,,,
2017-03-30,6.35,6.25,6.0,,,5.57,5.43,,,,,
2017-04-05,6.89,6.88,6.55,,,6.44,6.24,,,,,
2017-04-12,7.16,7.15,7.09,,,6.79,6.71,,,,,
2017-04-18,5.77,,5.78,5.44,5.7,,,,,,,
2017-04-25,6.41,6.21,5.59,,,5.14,5.17,,,,,
2017-05-04,6.04,6.02,6.01,,,5.99,5.96,,,,,
2017-05-10,6.0,6.01,6.04,,,6.01,5.99,,,,,
2017-05-19,5.88,5.93,5.93,,,5.93,5.91,,,,,
2017-05-24,5.7,5.72,5.71,,,5.72,5.71,,,,,
2017-06-02,6.33,6.33,6.33,,,6.31,6.29,,,,,
2017-06-06,5.55,5.61,5.57,,,5.51,5.51,,,,,
2017-06-13,6.4,6.41,6.42,,,6.43,6.4,,,,,
2017-06-21,5.64,5.6,5.4,,,4.95,4.94,,,,,
2017-06-30,5.42,5.2,5.14,,,5.14,5.38,,,,,
2017-07-05,7.19,7.18,7.21,,,7.22,7.22,,,,,
2017-07-12,6.77,6.76,6.68,,,6.05,5.73,,,,,
2017-07-19,4.93,4.8,4.52,,,4.39,4.31,,,,,
2017-07-26,6.82,6.83,6.82,,,6.83,6.89,,,,,
2017-08-08,5.58,5.48,5.52,,,5.51,5.49,,,,,
2017-08-16,4.5,4.5,4.42,,,4.26,4.1,,,,,
2017-08-23,4.37,4.32,4.28,,,4.26,4.22,,,,,
