Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,46.02,46.02,45.89,,,,,,,,,
2016-08-04,46.31,46.26,46.34,,,,,,,,,
2016-08-09,45.94,46.24,46.23,,,,,,,,,
2016-08-25,46.7,46.66,46.62,,,,,,,,,
2016-08-30,46.71,46.7,46.73,,,,,,,,,
2016-09-06,46.9,46.9,46.86,,,,,,,,,
2016-09-08,46.94,46.83,46.83,,,,,,,,,
2016-09-22,47.44,,47.33,47.34,47.3,,,,,,,
2016-09-29,46.92,46.95,47.0,,,47.0,,,,,,
2016-10-06,46.75,46.9,46.94,,,47.04,,,,,,
2016-10-14,47.1,47.1,47.13,,,47.2,47.1,,,,,
2016-10-21,46.87,46.87,46.87,,,46.87,46.87,,,,,
2016-10-28,46.62,46.64,46.65,,,46.7,46.72,,,,,
2016-11-03,46.59,46.63,46.74,,,46.82,46.83,,,,,
2016-11-11,46.44,46.44,46.44,,,46.48,,46.49,,,,
2016-11-18,46.33,46.36,46.31,,,46.31,46.31,,,,,
2016-11-22,46.52,46.52,46.52,,,46.52,46.52,,,,,
2016-12-02,45.6,45.61,45.64,,,45.75,45.91,,,,,
2016-12-13,45.39,45.44,45.44,,,45.45,45.46,,,,,
2017-01-12,40.67,40.68,40.79,,,40.89,40.9,,,,,
2017-01-26,40.06,40.06,40.06,,,40.08,40.32,,,,,
2017-02-03,40.41,40.41,40.41,,,40.41,40.4,,,,,
2017-02-10,40.61,40.61,40.61,,,40.61,40.63,,,,,
2017-02-16,40.52,40.52,40.52,,,40.52,40.52,,,,,
2017-02-24,40.4,40.4,40.4,,,40.39,40.36,,,,,
2017-03-02,40.52,40.52,40.51,,,40.51,40.51,,,,,
2017-03-22,40.29,40.28,40.28,,,40.28,40.28,,,,,
2017-03-30,40.52,40.51,40.5,,,40.51,40.51,,,,,
2017-04-05,40.68,40.67,40.69,,,40.68,40.67,,,,,
2017-04-12,40.93,40.89,40.9,,,40.91,40.91,,,,,
2017-04-18,40.98,,40.72,41.01,40.97,,,,,,,
2017-04-25,41.15,41.19,41.23,,,41.23,41.23,,,,,
2017-05-04,41.33,41.33,41.33,,,41.33,41.33,,,,,
2017-05-10,41.44,41.44,41.45,,,41.47,41.46,,,,,
2017-05-19,41.58,41.75,41.75,,,41.75,41.75,,,,,
2017-05-24,41.59,41.92,41.92,,,41.91,41.91,,,,,
2017-06-02,42.05,42.05,42.04,,,42.05,42.05,,,,,
2017-06-06,42.26,42.26,42.26,,,42.26,42.25,,,,,
2017-06-13,42.46,42.46,42.46,,,42.46,42.46,,,,,
2017-06-21,42.67,42.67,42.68,,,42.76,42.77,,,,,
2017-06-30,43.15,43.15,43.15,,,43.15,43.18,,,,,
2017-07-05,43.37,43.37,43.37,,,43.37,43.37,,,,,
2017-07-12,43.34,43.34,43.37,,,43.57,43.61,,,,,
2017-07-19,41.45,42.43,43.17,,,43.17,43.16,,,,,
2017-07-26,43.97,43.97,43.97,,,43.98,43.98,,,,,
2017-08-08,44.0,44.0,44.0,,,44.0,44.0,,,,,
2017-08-16,44.38,44.38,44.39,,,44.41,44.4,,,,,
2017-08-23,44.42,44.42,44.42,,,44.42,44.42,,,,,
2017-08-30,44.24,44.24,44.24,,,44.24,44.19,,,,,
2017-09-06,44.17,44.17,44.18,,,44.24,44.25,,,,,
2017-09-11,44.5,44.51,44.54,,,44.64,44.86,,,,,
2017-09-20,47.29,47.3,47.3,,,47.31,47.31,,,,,
2017-09-27,44.72,44.72,44.8,,,44.91,44.93,,,,,
2017-10-04,44.75,44.77,44.77,,,44.77,44.85,44.85,,,,
2017-10-11,44.91,44.97,44.97,,,44.97,44.97,44.97,,,,
2017-10-17,44.93,45.01,45.01,,,45.01,45.02,45.01,,,,
2017-10-25,44.9,44.9,44.9,,,44.89,44.89,,,,,
2017-11-03,44.79,44.79,44.79,,,44.79,44.79,,,,,
2017-11-08,44.66,44.66,44.66,,,44.66,44.68,,,,,
2017-11-15,44.78,44.78,44.78,,,44.78,44.78,,,,,
2017-11-28,44.72,44.72,44.72,,,44.72,44.78,,,,,
2017-12-05,44.44,44.44,44.44,,,44.44,44.44,,,,,
2017-12-13,44.58,44.58,44.58,,,44.57,44.57,,,,,
2017-12-18,44.34,44.33,44.33,,,44.33,44.33,,,,,
2017-12-26,44.22,44.22,44.22,,,44.22,44.21,,,,,
2018-01-02,44.09,44.09,44.09,,,44.13,44.36,,,,,
2018-01-09,44.15,44.15,44.15,,,44.16,44.16,,,,,
2018-01-17,43.61,43.61,43.62,,,43.69,43.76,,,,,
2018-01-24,43.62,43.62,43.62,,,43.63,43.72,,,,,
2018-01-31,42.98,42.98,42.98,,,42.98,42.98,,,,,
2018-02-12,42.74,42.74,42.77,,,42.85,42.96,,,,,
2018-02-20,42.78,42.79,42.79,,,42.83,42.9,,,,,
2018-02-27,42.89,42.89,42.9,,,42.9,42.9,,,,,
2018-03-07,42.84,42.84,42.84,,,42.84,42.84,,,,,
2018-03-08,40.61,40.61,40.6,,,40.6,40.6,,,,,
2018-03-13,42.83,42.84,42.87,,,42.94,43.14,,,,,
2018-03-26,43.01,43.01,43.01,,,43.01,43.01,,,,,
2018-04-05,42.79,42.97,42.96,,,42.96,42.96,,,,,
2018-04-17,43.27,43.27,43.27,,,43.27,43.27,,,,,
2018-04-27,43.21,43.21,43.22,,,43.33,43.37,,,,,
2018-05-02,43.59,43.59,43.59,,,43.59,43.59,,,,,
2018-05-11,43.89,43.89,43.89,,,43.89,43.89,,,,,
2018-05-16,43.73,43.97,43.97,,,43.97,43.96,,,,,
2018-05-22,44.11,44.11,44.11,,,44.11,44.11,,,,,
2018-05-30,43.97,43.97,43.97,,,43.98,43.98,,,,,
2018-06-08,44.29,44.29,44.29,,,44.28,44.28,,,,,
2018-06-12,44.41,44.41,44.41,,,44.41,44.41,,,,,
2018-06-20,44.3,44.51,44.51,,,44.51,44.51,,,,,
2018-06-26,44.54,44.67,44.69,,,44.71,44.73,,,,,
2018-07-04,44.54,44.54,44.55,,,44.56,44.56,,,,,
2018-07-10,45.61,45.61,45.62,,,45.62,45.62,,,,,
2018-07-19,45.47,45.57,45.57,,,45.58,45.58,,,,,
2018-07-24,45.55,45.65,45.65,,,45.65,45.65,,,,,
2018-08-03,45.84,45.84,45.84,,,45.84,45.85,,,,,
2018-08-09,45.83,46.06,46.06,,,46.07,46.07,,,,,
2018-08-14,46.15,46.15,46.15,,,46.19,46.22,,,,,
2018-08-23,46.34,46.34,46.35,,,46.37,46.38,,,,,
2018-08-29,46.47,46.48,46.47,,,46.47,46.47,,,,,
2018-09-04,46.59,46.64,46.66,,,46.71,46.72,,,,,
2018-09-13,46.61,46.64,46.65,,,46.7,46.8,,,,,
2018-09-20,45.43,45.6,45.61,,,45.61,45.92,,,,,
2018-09-25,46.26,46.26,46.26,,,46.26,46.25,,,,,
2018-10-03,46.25,46.25,46.25,,,46.25,46.25,,,,,
2018-10-10,46.21,46.22,46.24,,,46.27,46.3,,,,,
2018-10-17,46.11,46.21,46.21,,,46.23,46.27,,,,,
2018-10-24,46.16,46.15,46.14,,,46.13,46.15,,,,,
2018-11-07,45.8,45.79,45.79,,,45.78,45.79,,,,,
2018-11-21,44.29,44.3,44.31,,,44.48,44.85,,,,,
2018-11-28,44.19,44.21,44.26,,,44.29,44.41,,,,,
2018-12-04,44.3,44.3,44.3,,,44.3,44.31,,,,,
