Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,28.72,28.52,28.6,,,,,,,,,
2016-08-04,29.16,29.04,29.13,,,,,,,,,
2016-08-09,28.74,28.41,28.3,,,,,,,,,
2016-08-25,27.68,27.6,27.61,,,,,,,,,
2016-08-30,28.25,28.25,28.25,,,,,,,,,
2016-09-06,28.73,28.68,28.65,,,,,,,,,
2016-09-08,28.84,28.63,28.59,,,,,,,,,
2016-09-22,24.9,,25.17,25.18,25.17,,,,,,,
2016-09-29,23.63,23.66,23.64,,,23.61,,,,,,
2016-10-06,24.43,24.51,24.46,,,24.31,,,,,,
2016-10-14,23.13,23.1,23.02,,,22.65,22.51,,,,,
2016-10-21,22.61,22.6,22.6,,,22.6,22.6,,,,,
2016-10-28,22.85,22.71,22.67,,,22.71,22.73,,,,,
2016-11-03,21.39,21.39,21.61,,,21.73,21.73,,,,,
2016-11-11,17.4,17.32,17.27,,,17.26,,17.27,,,,
2016-11-18,16.15,15.75,15.6,,,15.58,15.58,,,,,
2016-11-22,15.92,15.87,15.85,,,15.85,15.85,,,,,
2016-12-02,14.98,14.96,14.96,,,15.08,15.19,,,,,
2016-12-13,15.09,15.1,15.1,,,15.09,15.1,,,,,
2017-01-12,12.31,12.31,12.26,,,12.33,12.33,,,,,
2017-01-26,9.82,9.8,9.77,,,9.79,9.87,,,,,
2017-02-03,10.97,10.96,10.95,,,10.94,10.91,,,,,
2017-02-10,11.55,11.54,11.52,,,11.51,11.3,,,,,
2017-02-16,12.84,12.84,12.84,,,12.84,12.83,,,,,
2017-02-24,13.93,13.92,13.89,,,13.88,13.84,,,,,
2017-03-02,15.48,15.39,15.32,,,15.29,15.29,,,,,
2017-03-22,16.71,16.64,16.61,,,16.58,16.55,,,,,
2017-03-30,17.39,17.28,17.23,,,17.21,17.22,,,,,
2017-04-05,18.61,18.6,18.42,,,18.34,18.32,,,,,
2017-04-12,19.89,19.77,19.72,,,19.69,19.7,,,,,
2017-04-18,21.94,,21.95,21.76,21.85,,,,,,,
2017-04-25,19.07,19.04,18.89,,,18.76,18.77,,,,,
2017-05-04,19.69,19.66,19.66,,,19.64,19.64,,,,,
2017-05-10,22.27,22.23,22.15,,,22.01,21.95,,,,,
2017-05-19,23.25,23.25,23.25,,,23.25,23.26,,,,,
2017-05-24,23.13,23.13,23.13,,,23.13,23.13,,,,,
2017-06-02,24.61,24.61,24.61,,,24.61,24.61,,,,,
2017-06-06,25.76,25.74,25.72,,,25.72,25.72,,,,,
2017-06-13,26.24,26.24,26.24,,,26.24,26.25,,,,,
2017-06-21,28.42,28.4,28.37,,,28.38,28.38,,,,,
2017-06-30,27.26,27.26,27.25,,,27.21,27.05,,,,,
2017-07-05,26.61,26.61,26.61,,,26.61,26.61,,,,,
2017-07-12,28.01,28.01,28.01,,,28.05,28.06,,,,,
2017-07-19,28.7,28.92,29.05,,,29.03,29.03,,,,,
2017-07-26,29.61,29.6,29.6,,,29.6,29.61,,,,,
2017-08-08,30.79,30.77,30.76,,,30.76,30.75,,,,,
2017-08-16,27.43,27.43,27.42,,,27.41,27.39,,,,,
2017-08-23,28.11,28.1,28.1,,,28.09,28.09,,,,,
2017-08-30,27.29,27.29,27.29,,,27.29,27.29,,,,,
2017-09-06,27.08,27.07,27.03,,,26.87,26.75,,,,,
2017-09-11,25.76,25.72,25.6,,,25.29,24.89,,,,,
2017-09-20,24.94,24.95,24.95,,,24.95,24.94,,,,,
2017-09-27,24.79,24.77,24.74,,,24.78,24.81,,,,,
2017-10-04,24.9,24.91,24.72,,,24.57,24.59,24.59,,,,
2017-10-11,24.05,24.05,24.05,,,24.05,24.05,24.05,,,,
2017-10-17,23.35,23.37,23.37,,,23.36,23.36,23.36,,,,
2017-10-25,21.7,21.67,21.64,,,21.63,21.63,,,,,
2017-11-03,21.06,21.06,21.06,,,21.06,21.06,,,,,
2017-11-08,17.7,17.7,17.71,,,17.7,17.65,,,,,
2017-11-15,14.62,14.62,14.63,,,14.62,14.62,,,,,
2017-11-28,15.4,15.39,15.39,,,15.39,15.45,,,,,
2017-12-05,11.12,11.12,11.12,,,11.12,11.13,,,,,
2017-12-13,11.77,11.75,11.69,,,11.62,11.6,,,,,
2017-12-18,11.67,11.55,11.5,,,11.45,11.43,,,,,
2017-12-26,11.73,11.72,11.72,,,11.71,11.72,,,,,
2018-01-02,12.17,12.16,12.16,,,12.29,12.61,,,,,
2018-01-09,11.97,11.96,11.96,,,11.96,11.95,,,,,
2018-01-17,11.37,11.37,11.4,,,11.52,11.61,,,,,
2018-01-24,12.51,12.51,12.51,,,12.51,12.62,,,,,
2018-01-31,12.41,12.4,12.35,,,12.31,12.29,,,,,
2018-02-12,10.7,10.68,10.7,,,10.73,10.67,,,,,
2018-02-20,12.82,12.82,12.82,,,12.79,12.72,,,,,
2018-02-27,12.94,12.9,12.9,,,12.91,12.91,,,,,
2018-03-07,13.5,13.49,13.49,,,13.49,13.48,,,,,
2018-03-08,15.86,15.7,15.54,,,15.48,15.46,,,,,
2018-03-13,15.15,15.14,15.18,,,15.28,15.62,,,,,
2018-03-26,13.38,13.38,13.37,,,13.38,13.38,,,,,
2018-04-05,16.46,16.45,16.44,,,16.43,16.44,,,,,
2018-04-17,17.27,17.25,17.24,,,17.24,17.24,,,,,
2018-04-27,18.65,18.62,18.53,,,18.54,18.55,,,,,
2018-05-02,18.59,18.58,18.58,,,18.57,18.57,,,,,
2018-05-11,22.07,22.07,22.06,,,22.06,22.06,,,,,
2018-05-16,21.65,21.76,21.76,,,21.76,21.76,,,,,
2018-05-22,22.95,22.92,22.91,,,22.91,22.9,,,,,
2018-05-30,23.9,23.89,23.89,,,23.89,23.89,,,,,
2018-06-08,24.37,24.37,24.35,,,24.31,24.31,,,,,
2018-06-12,24.99,24.99,24.98,,,24.98,24.97,,,,,
2018-06-20,26.56,26.64,26.65,,,26.65,26.65,,,,,
2018-06-26,27.44,27.49,27.48,,,27.49,27.53,,,,,
2018-07-04,27.92,27.92,27.93,,,27.93,27.93,,,,,
2018-07-10,28.14,28.12,28.1,,,28.1,28.1,,,,,
2018-07-19,28.33,28.34,28.34,,,28.33,28.33,,,,,
2018-07-24,28.81,28.82,28.79,,,28.79,28.79,,,,,
2018-08-03,30.06,30.06,30.06,,,30.06,30.06,,,,,
2018-08-09,30.33,30.42,30.42,,,30.42,30.42,,,,,
2018-08-14,30.3,30.3,30.3,,,30.3,30.31,,,,,
2018-08-23,28.84,28.8,28.76,,,28.75,28.76,,,,,
2018-08-29,29.03,28.86,28.76,,,28.76,28.77,,,,,
2018-09-04,28.81,28.74,28.72,,,28.75,28.76,,,,,
2018-09-13,26.5,26.49,26.47,,,26.46,26.45,,,,,
2018-09-20,26.89,26.94,26.91,,,26.91,27.03,,,,,
2018-09-25,27.14,27.14,27.14,,,27.14,27.14,,,,,
2018-10-03,24.69,24.69,24.69,,,24.69,24.69,,,,,
2018-10-10,22.25,22.25,22.27,,,22.32,22.34,,,,,
2018-10-17,21.72,21.76,21.69,,,21.66,21.65,,,,,
2018-10-24,21.61,21.25,21.27,,,21.26,21.35,,,,,
2018-11-07,16.27,16.19,16.15,,,16.15,16.15,,,,,
2018-11-21,16.5,16.51,16.57,,,16.83,17.12,,,,,
2018-11-28,15.46,15.4,15.44,,,15.48,15.5,,,,,
2018-12-04,14.8,14.78,14.78,,,14.79,14.79,,,,,
2018-12-11,14.82,14.81,14.81,,,14.81,14.81,,,,,
2018-12-19,13.35,13.3,13.28,,,13.28,13.29,,,,,
2018-12-26,12.52,12.51,12.51,,,12.51,12.51,,,,,
2019-01-03,12.74,12.74,12.74,,,12.74,12.75,,,,,
2019-01-09,12.25,12.2,12.17,,,12.17,12.18,,,,,
2019-01-17,11.2,11.19,11.19,,,11.2,11.21,,,,,
2019-01-25,11.06,11.0,10.96,,,10.96,10.96,,,,,
2019-02-06,11.01,11.04,11.09,,,11.06,10.98,,,,,
2019-02-12,12.33,12.32,12.32,,,12.31,12.3,,,,,
2019-02-20,13.58,13.48,13.42,,,13.48,13.49,,,,,
2019-02-26,14.31,14.27,14.25,,,14.24,14.24,,,,,
2019-03-05,15.97,15.94,15.89,,,15.73,15.73,,,,,
2019-03-12,16.73,16.71,16.6,,,16.55,16.56,,,,,
