Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,7.35,7.59,8.25,,,,,,,,,
2016-08-04,4.63,5.75,6.25,,,,,,,,,
2016-08-09,3.72,4.31,4.72,,,,,,,,,
2016-08-25,11.39,11.44,11.76,,,,,,,,,
2016-08-30,7.72,8.23,8.41,,,,,,,,,
2016-09-06,5.35,5.45,6.08,,,,,,,,,
2016-09-08,4.42,4.71,5.38,,,,,,,,,
2016-09-22,9.25,,9.25,8.78,9.4,,,,,,,
2016-09-29,16.35,16.51,17.1,,,23.11,,,,,,
2016-10-06,28.88,28.85,13.45,,,11.26,,,,,,
2016-10-14,8.57,8.64,8.87,,,9.74,15.08,,,,,
2016-10-21,9.19,9.26,9.31,,,9.64,11.25,,,,,
2016-10-28,7.74,7.92,8.36,,,7.84,7.49,,,,,
2016-11-03,4.1,4.26,4.79,,,5.41,6.06,,,,,
2016-11-11,6.16,6.41,6.68,,,6.83,,6.75,,,,
2016-11-18,5.33,6.12,6.61,,,6.57,7.4,,,,,
2016-11-22,5.74,5.96,5.95,,,5.95,6.35,,,,,
2016-12-02,4.18,4.25,4.4,,,4.35,4.78,,,,,
2016-12-13,3.57,3.6,3.62,,,3.57,3.57,,,,,
2017-01-12,5.65,5.76,5.79,,,5.29,4.91,,,,,
2017-01-26,7.67,7.7,7.95,,,8.02,7.7,,,,,
2017-02-03,4.15,4.34,4.12,,,4.41,4.16,,,,,
2017-02-10,6.07,6.24,6.39,,,6.4,6.76,,,,,
2017-02-16,5.65,5.47,5.47,,,5.52,5.8,,,,,
2017-02-24,10.67,10.86,10.93,,,10.98,16.19,,,,,
2017-03-02,2.39,2.67,2.82,,,2.98,3.29,,,,,
2017-03-22,3.0,3.13,3.26,,,3.32,4.16,,,,,
2017-03-30,2.49,2.41,2.49,,,2.95,3.97,,,,,
2017-04-05,3.4,3.4,3.26,,,3.42,4.09,,,,,
2017-04-12,2.24,2.59,2.77,,,3.03,3.27,,,,,
2017-04-18,1.96,,1.88,2.44,2.01,,,,,,,
2017-04-25,1.29,1.31,1.23,,,1.55,1.73,,,,,
2017-05-04,1.07,1.29,1.42,,,1.31,1.52,,,,,
2017-05-10,1.09,1.28,1.29,,,1.5,1.99,,,,,
2017-05-19,1.16,1.72,1.75,,,1.85,1.84,,,,,
2017-05-24,0.87,1.01,1.01,,,1.01,1.01,,,,,
2017-06-02,1.52,1.53,1.59,,,1.5,1.61,,,,,
2017-06-06,0.99,1.06,1.09,,,1.03,1.24,,,,,
2017-06-13,1.63,1.47,1.6,,,1.56,1.61,,,,,
2017-06-21,0.43,0.44,0.49,,,0.67,0.91,,,,,
2017-06-30,1.6,1.59,1.55,,,1.56,1.97,,,,,
