Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0
2016-08-02,17.94,16.49,13.65,,
2016-08-04,20.78,13.06,9.98,,
2016-08-09,9.53,10.25,8.69,,
2016-08-25,19.94,19.82,10.34,,
2016-08-30,10.52,10.12,7.72,,
2016-09-06,15.9,15.68,15.54,,
2016-09-08,16.1,13.52,11.3,,
2016-09-22,16.39,18.11,9.85,17.68,
2016-09-29,13.85,13.92,9.59,12.27,
2016-10-06,16.52,16.85,9.93,15.23,
2016-10-14,24.9,23.72,21.4,21.61,21.35
2016-10-21,15.04,13.67,11.34,11.23,11.17
2016-10-28,13.54,14.5,14.12,12.9,12.92
2016-11-03,23.58,26.8,29.19,29.85,22.81
2016-11-11,17.29,24.01,26.71,23.93,23.44
2016-11-18,4.14,12.1,20.29,24.0,23.59
2016-11-22,9.3,16.03,22.81,21.73,20.94
2016-12-02,10.45,17.55,20.4,19.05,16.81
2016-12-13,3.05,5.39,10.91,18.36,
2017-01-12,11.23,17.78,28.62,34.14,35.2
2017-01-26,7.79,13.1,19.89,22.68,23.51
2017-02-03,5.25,7.13,10.98,12.77,13.39
2017-02-10,6.98,15.04,24.49,23.47,22.03
2017-02-16,7.36,8.96,15.67,19.13,20.26
2017-02-24,4.75,6.66,9.02,10.56,11.25
2017-03-02,4.0,5.08,6.3,6.42,6.98
2017-03-22,2.6,3.01,3.16,3.25,
2017-03-30,2.8,2.93,3.06,3.65,
2017-04-05,2.94,3.07,5.28,8.06,
2017-04-12,3.03,3.04,3.18,3.5,
2017-04-18,7.1,7.85,7.9,7.64,
2017-04-25,3.91,3.92,3.32,3.12,
2017-05-04,3.04,3.37,3.39,3.11,
2017-05-10,4.16,4.97,5.25,4.64,
2017-05-19,0.65,0.93,1.21,1.19,
2017-05-24,0.57,0.77,0.75,0.67,
2017-06-02,0.85,0.99,1.04,0.81,
2017-06-06,1.81,2.43,2.92,2.68,
2017-06-13,0.73,0.98,1.04,0.95,
2017-06-21,0.56,0.85,1.55,1.4,
2017-06-30,1.04,1.31,1.49,1.36,
2017-07-05,1.25,2.8,1.65,2.83,
2017-07-12,2.3,7.15,7.42,3.42,
2017-07-19,2.84,2.91,2.52,2.11,
2017-07-26,2.32,3.36,3.81,3.25,
2017-08-08,6.51,7.55,7.45,6.33,
2017-08-16,5.84,6.14,6.14,5.3,
2017-08-23,10.73,10.59,10.88,8.92,
2017-08-30,6.35,6.11,6.09,5.85,
2017-09-06,7.17,6.96,7.07,6.25,
2017-09-11,4.14,5.6,5.73,5.73,5.75
2017-09-20,5.04,6.98,7.99,8.66,9.37
2017-09-27,3.9,6.24,6.79,6.4,6.3
2017-10-04,2.73,3.83,5.15,5.24,5.1
2017-10-11,4.94,5.09,5.32,5.33,5.36
2017-10-17,2.55,3.01,3.52,,3.43
2017-10-25,4.56,5.96,6.55,6.23,6.91
2017-11-03,5.2,6.24,6.34,5.42,4.88
2017-11-08,5.23,6.79,7.05,6.97,6.94
2017-11-15,3.3,4.65,5.64,5.8,6.11
2017-11-22,1.82,2.49,3.21,3.28,3.46
