Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0
2016-08-02,72.2,72.18,71.86,,
2016-08-04,72.85,72.88,73.27,,
2016-08-09,72.9,72.81,72.73,,
2016-08-25,7.12,7.19,7.16,,
2016-08-30,7.19,7.19,7.17,,
2016-09-06,7.27,7.26,7.24,,
2016-09-08,7.26,7.27,7.26,,
2016-09-22,6.79,6.84,6.83,6.88,
2016-09-29,6.78,6.78,6.77,6.78,
2016-10-06,6.78,6.8,6.78,6.81,
2016-10-14,6.49,6.52,6.47,6.49,6.61
2016-10-21,6.51,6.51,6.52,6.53,6.53
2016-10-28,6.52,6.5,6.49,6.49,6.48
2016-11-03,6.39,6.39,6.38,6.39,6.39
2016-11-11,5.78,5.77,5.75,5.75,5.75
2016-11-18,5.41,5.5,5.55,5.59,5.59
2016-11-22,5.61,5.61,5.61,5.62,5.62
2016-12-02,5.42,5.42,5.42,5.42,5.42
2016-12-13,5.03,5.38,5.43,5.48,
2017-01-12,4.58,4.58,4.58,4.58,4.58
2017-01-26,4.29,4.29,4.28,4.29,4.29
2017-02-03,4.48,4.48,4.47,4.47,4.47
2017-02-10,4.52,4.54,4.57,4.54,4.53
2017-02-16,4.68,4.68,4.68,4.68,4.68
2017-02-24,4.8,4.78,4.77,4.77,4.77
2017-03-02,4.9,4.95,4.94,4.94,4.93
2017-03-22,5.04,5.06,5.07,5.07,
2017-03-30,5.17,5.16,5.15,5.14,
2017-04-05,5.23,5.24,5.19,5.2,
2017-04-12,5.42,5.42,5.41,5.41,
2017-04-18,5.61,5.63,5.63,5.63,
2017-04-25,5.39,5.4,5.41,5.42,
2017-05-04,5.44,5.47,5.5,5.48,
2017-05-10,5.74,5.74,5.74,5.72,
2017-05-19,5.88,5.89,5.91,5.91,
2017-05-24,5.94,5.99,6.0,6.01,
2017-06-02,6.22,6.22,6.22,6.22,
2017-06-06,6.3,6.3,6.31,6.31,
2017-06-13,6.39,6.42,6.43,6.42,
2017-06-21,6.74,6.73,6.73,6.76,
2017-06-30,6.54,6.53,6.52,6.44,
2017-07-05,6.63,6.63,6.63,6.64,
2017-07-12,6.74,6.77,6.77,6.77,
2017-07-19,6.83,6.89,6.92,6.91,
2017-07-26,7.06,7.05,7.04,7.04,
2017-08-08,7.25,7.23,7.2,7.19,
2017-08-16,6.79,6.84,6.84,6.86,
2017-08-23,6.96,6.97,6.95,6.91,
2017-08-30,6.59,6.63,6.67,6.76,
2017-09-06,6.75,6.75,6.75,6.76,
2017-09-11,6.5,6.52,6.52,6.52,6.51
2017-09-20,6.83,6.83,6.85,6.89,6.91
2017-09-27,6.38,6.51,6.58,6.58,6.58
2017-10-04,6.55,6.55,6.54,6.53,6.53
2017-10-11,6.43,6.45,6.45,6.45,6.44
2017-10-17,6.41,6.41,6.41,,6.41
2017-10-25,6.2,6.2,6.2,6.2,6.19
2017-11-03,6.07,6.06,6.05,6.05,6.04
2017-11-08,5.62,5.62,5.62,5.62,5.62
2017-11-15,5.38,5.38,5.38,5.38,5.38
2017-11-22,5.37,5.37,5.37,5.37,5.37
2017-11-28,5.35,5.36,5.37,5.37,5.37
2017-12-05,4.85,4.85,4.85,4.85,4.85
2017-12-13,4.82,4.83,4.89,4.89,4.85
2017-12-18,4.88,4.87,4.86,4.83,4.81
2017-12-26,4.77,4.8,4.85,4.91,4.91
2018-01-02,4.94,4.94,4.95,4.99,4.99
2018-01-09,4.91,4.9,4.9,4.96,5.01
2018-01-17,4.77,4.77,4.77,4.77,
2018-01-24,4.92,4.92,4.94,4.95,
2018-01-31,4.88,4.87,4.87,4.87,
2018-02-12,4.57,4.58,4.58,4.59,
2018-02-20,4.85,4.85,4.86,4.86,
2018-02-27,4.87,4.88,4.88,4.87,4.87
2018-03-07,4.84,4.93,4.97,4.97,
2018-03-08,5.04,5.01,4.99,4.97,4.98
2018-03-13,5.17,5.17,5.17,5.17,
2018-03-26,4.92,4.91,4.91,4.89,4.87
2018-04-05,5.33,5.33,5.32,5.31,
2018-04-17,5.46,5.48,5.48,5.48,
2018-04-27,5.54,5.54,5.54,5.53,
2018-05-02,5.36,5.63,5.66,,
2018-05-11,6.01,6.02,6.03,6.03,
2018-05-16,6.04,6.04,6.04,6.05,
2018-05-22,6.15,6.14,6.14,6.14,6.14
2018-05-30,6.27,6.27,6.26,6.26,
2018-06-08,6.33,6.33,6.33,6.33,
2018-06-12,6.46,6.46,6.46,6.47,
2018-06-20,6.78,6.81,6.79,6.71,
2018-06-26,6.87,6.93,6.97,6.98,
2018-07-04,6.96,6.95,6.94,6.94,
2018-07-10,7.0,7.03,7.04,7.05,
2018-07-19,6.89,7.06,7.14,7.14,
2018-07-24,7.09,7.1,7.11,7.11,
2018-08-03,7.36,7.36,7.32,7.3,
2018-08-09,7.49,7.49,7.49,7.49,
2018-08-14,7.41,7.42,7.42,7.42,
2018-08-23,7.23,7.25,7.29,7.34,7.35
2018-08-29,7.36,7.34,7.33,7.33,7.33
2018-09-04,7.23,7.31,7.29,7.26,
2018-09-13,7.0,7.02,7.04,7.05,
2018-09-20,7.02,7.03,7.05,7.05,
2018-09-25,7.03,7.04,7.06,7.07,
2018-10-03,6.75,6.75,6.75,6.75,
2018-10-10,6.35,6.33,6.33,6.35,
2018-10-17,6.38,6.38,6.38,6.38,
2018-10-24,6.35,6.37,6.38,6.38,
2018-10-31,5.44,5.44,5.44,5.51,
2018-11-07,5.18,5.26,5.37,5.42,
2018-11-28,5.29,5.29,5.28,5.24,
2018-12-04,5.22,5.29,5.3,5.3,
2018-12-11,5.13,5.19,5.15,5.16,
2018-12-19,5.0,5.0,5.0,5.01,
2018-12-26,5.02,5.02,5.02,5.02,
2019-01-03,4.98,4.98,4.99,4.99,
2019-01-09,4.89,4.92,4.93,,
2019-01-17,4.79,4.85,4.87,4.87,
2019-01-25,4.65,4.74,4.76,4.76,
2019-02-06,4.72,4.75,4.76,4.78,
2019-02-12,4.93,4.92,4.92,4.93,
2019-02-20,5.05,5.05,5.07,5.06,
2019-02-26,5.12,5.11,5.09,5.08,
2019-03-05,5.16,5.34,5.34,5.34,
2019-03-12,5.29,5.46,5.45,5.44,
2019-03-28,5.33,5.31,5.25,5.21,
2019-04-02,5.22,5.26,5.33,,
2019-04-15,5.55,5.57,5.58,5.58,
2019-04-24,5.16,5.16,5.16,5.17,
2019-04-30,5.59,5.58,5.58,5.58,
2019-05-08,5.83,5.83,5.83,,
2019-05-15,6.09,6.09,6.09,6.11,
2019-05-21,6.11,6.11,6.12,6.12,
2019-06-04,6.4,6.39,6.38,6.38,
