Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0
2016-08-02,5.13,5.14,4.28,,
2016-08-04,6.6,6.44,4.8,,
2016-08-09,4.89,4.88,4.33,,
2016-08-25,4.89,4.9,3.9,,
2016-08-30,2.78,2.75,2.21,,
2016-09-06,4.35,4.47,4.08,,
2016-09-08,4.47,4.08,3.95,,
2016-09-22,6.24,6.08,5.46,4.02,
2016-09-29,5.12,5.12,4.68,5.12,
2016-10-06,5.22,5.11,4.34,4.77,
2016-10-14,5.71,5.24,5.29,5.04,4.61
2016-10-21,4.76,3.78,3.07,2.83,2.8
2016-10-28,5.25,5.04,4.86,4.87,4.57
2016-11-03,5.87,5.68,5.39,5.33,5.14
2016-11-11,5.25,5.29,5.24,5.16,5.12
2016-11-18,7.04,7.14,6.08,5.83,5.83
2016-11-22,6.48,6.46,6.28,6.25,6.24
2016-12-02,6.72,6.74,6.67,6.45,6.1
2016-12-13,6.46,6.64,6.99,6.72,
2017-01-12,8.14,8.18,8.17,8.17,8.1
2017-01-26,8.11,8.13,8.11,7.99,7.92
2017-02-03,7.32,7.33,7.3,7.13,6.89
2017-02-10,7.64,7.5,7.28,7.21,7.12
2017-02-16,7.03,7.02,7.04,7.05,7.02
2017-02-24,6.81,6.9,7.0,7.0,6.99
2017-03-02,6.76,6.72,6.69,6.62,6.61
2017-03-22,6.39,6.18,6.08,6.06,
2017-03-30,6.09,6.11,6.07,6.02,
2017-04-05,6.03,6.0,5.99,6.0,
2017-04-12,5.9,5.91,5.91,5.93,
2017-04-18,5.76,5.89,5.88,5.89,
2017-04-25,6.28,5.52,4.83,4.62,
2017-05-04,5.93,6.0,5.94,5.58,
2017-05-10,6.23,6.21,5.71,4.88,
2017-05-19,5.75,5.74,5.72,5.67,
2017-05-24,5.55,5.61,5.52,5.31,
2017-06-02,5.39,5.35,5.33,5.23,
2017-06-06,6.18,6.09,6.01,6.02,
2017-06-13,5.88,5.81,5.68,5.39,
2017-06-21,4.86,4.87,4.9,5.12,
2017-06-30,4.95,5.0,5.03,5.46,
2017-07-05,5.53,5.44,5.32,5.24,
2017-07-12,5.27,5.84,5.02,3.81,
2017-07-19,4.95,4.94,4.88,4.72,
2017-07-26,4.87,5.03,5.21,5.2,
2017-08-08,5.92,5.36,5.3,5.05,
2017-08-16,4.6,4.17,4.03,3.78,
2017-08-23,5.16,4.88,3.89,2.72,
2017-08-30,5.18,5.1,4.99,4.39,
2017-09-06,4.34,4.36,4.33,3.15,
2017-09-11,4.56,4.55,4.54,4.52,4.55
2017-09-20,6.73,6.73,6.56,4.98,4.0
2017-09-27,5.89,5.86,5.46,5.32,5.22
2017-10-04,4.46,4.82,4.85,4.14,4.02
2017-10-11,5.1,5.25,5.26,5.15,4.47
