Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0
2016-08-02,45.92,45.91,45.78,,
2016-08-04,46.04,46.03,46.1,,
2016-08-09,46.38,46.37,46.35,,
2016-08-25,45.94,46.57,46.49,,
2016-08-30,46.73,46.73,46.7,,
2016-09-06,46.71,46.74,46.71,,
2016-09-08,46.59,46.73,46.75,,
2016-09-22,46.54,46.84,46.79,47.17,
2016-09-29,46.85,46.85,46.79,46.85,
2016-10-06,46.81,46.89,46.76,46.94,
2016-10-14,46.53,46.59,46.36,46.39,46.87
2016-10-21,46.79,46.83,46.88,46.92,46.92
2016-10-28,46.65,46.69,46.69,46.69,46.71
2016-11-03,46.55,46.58,46.6,46.63,46.64
2016-11-11,46.37,46.37,46.37,46.36,46.36
2016-11-18,44.23,45.51,46.05,46.24,46.25
2016-11-22,46.12,46.26,46.31,46.32,46.32
2016-12-02,45.55,45.57,45.58,45.61,45.65
2016-12-13,42.47,45.01,45.17,45.31,
2017-01-12,40.5,40.5,40.5,40.52,40.53
2017-01-26,39.83,39.83,39.83,39.89,39.92
2017-02-03,40.07,40.07,40.08,40.11,40.14
2017-02-10,40.18,40.34,40.54,40.54,40.52
2017-02-16,40.48,40.47,40.48,40.48,40.48
2017-02-24,40.58,40.58,40.57,40.57,40.57
2017-03-02,39.89,40.37,40.37,40.36,40.36
2017-03-22,40.12,40.23,40.35,40.35,
2017-03-30,40.45,40.45,40.44,40.44,
2017-04-05,40.21,40.42,40.36,40.42,
2017-04-12,40.69,40.69,40.69,40.69,
2017-04-18,40.75,40.84,40.84,40.84,
2017-04-25,41.01,41.09,41.16,41.18,
2017-05-04,40.81,41.04,41.25,41.26,
2017-05-10,40.97,40.99,41.16,41.26,
2017-05-19,41.31,41.36,41.43,41.45,
2017-05-24,41.34,41.72,41.73,41.76,
2017-06-02,42.12,42.12,42.12,42.12,
2017-06-06,42.08,42.1,42.12,42.13,
2017-06-13,42.22,42.35,42.47,42.56,
2017-06-21,42.5,42.51,42.53,42.67,
2017-06-30,42.94,42.94,42.94,42.98,
2017-07-05,43.21,43.21,43.22,43.23,
2017-07-12,43.15,43.32,43.36,43.44,
2017-07-19,43.01,43.36,43.53,43.53,
2017-07-26,43.65,43.64,43.66,43.65,
2017-08-08,43.99,44.02,44.04,44.03,
2017-08-16,43.97,44.26,44.33,44.4,
2017-08-23,44.21,44.32,44.33,44.32,
2017-08-30,43.29,43.42,43.56,43.81,
2017-09-06,44.1,44.11,44.1,44.18,
2017-09-11,43.94,44.04,44.04,44.04,44.04
2017-09-20,46.89,46.89,46.94,47.07,47.14
2017-09-27,43.64,44.51,44.79,44.8,44.81
2017-10-04,44.67,44.73,44.75,44.81,44.81
2017-10-11,44.6,44.65,44.65,44.66,44.69
2017-10-17,44.71,44.73,44.74,,44.76
2017-10-25,44.7,44.71,44.72,44.71,44.7
2017-11-03,44.7,44.71,44.7,44.71,44.71
2017-11-08,44.52,44.52,44.52,44.52,44.52
2017-11-15,44.64,44.64,44.64,44.64,44.64
2017-11-22,44.53,44.53,44.55,44.56,44.57
2017-11-28,44.38,44.45,44.59,44.59,44.59
2017-12-05,44.48,44.48,44.48,44.48,44.48
2017-12-13,43.9,43.95,44.18,44.25,44.22
2017-12-18,44.22,44.22,44.22,44.27,44.26
2017-12-26,42.78,43.04,43.48,43.89,43.92
2018-01-02,43.81,43.83,43.89,44.09,44.09
2018-01-09,43.57,43.57,43.57,43.7,43.85
2018-01-17,43.28,43.28,43.28,43.24,
2018-01-24,43.02,43.38,43.49,43.55,
2018-01-31,43.22,43.22,43.22,43.22,
2018-02-12,42.39,42.42,42.45,42.45,
2018-02-20,42.44,42.44,42.5,42.63,
2018-02-27,42.46,42.54,42.67,42.72,42.72
2018-03-07,42.02,42.65,42.78,42.79,
2018-03-08,40.6,40.58,40.58,40.58,40.58
2018-03-13,42.89,42.89,42.89,42.89,
2018-03-26,42.71,42.72,42.73,42.78,42.78
2018-04-05,42.96,42.97,42.99,43.0,
2018-04-17,43.16,43.3,43.3,43.31,
2018-04-27,42.96,42.96,42.95,42.94,
2018-05-02,42.3,43.23,43.32,,
2018-05-11,43.5,43.54,43.57,43.58,
2018-05-16,43.75,43.75,43.76,43.79,
2018-05-22,43.72,43.72,43.73,43.73,43.72
2018-05-30,43.85,43.85,43.87,43.98,
2018-06-08,44.08,44.08,44.08,44.1,
2018-06-12,44.2,44.2,44.2,44.2,
2018-06-20,44.36,44.52,44.51,44.41,
2018-06-26,44.22,44.5,44.63,44.72,
2018-07-04,44.94,44.96,44.96,44.96,
2018-07-10,44.94,45.07,45.16,45.16,
2018-07-19,44.32,45.16,45.51,45.52,
2018-07-24,45.33,45.39,45.44,45.44,
2018-08-03,45.66,45.74,45.77,45.77,
2018-08-09,45.83,45.83,45.83,45.82,
2018-08-14,45.8,45.88,45.88,45.88,
2018-08-23,45.8,45.9,46.07,46.21,46.26
2018-08-29,46.33,46.34,46.33,46.33,46.33
2018-09-04,45.9,46.44,46.45,46.47,
2018-09-13,46.32,46.4,46.48,46.54,
2018-09-20,46.03,46.13,46.21,46.22,
2018-09-25,45.97,45.99,46.06,46.11,
2018-10-03,46.07,46.07,46.07,46.07,
2018-10-10,45.3,45.51,45.57,45.6,
2018-10-17,46.11,46.12,46.16,46.17,
2018-10-24,46.3,46.32,46.36,46.37,
2018-10-31,44.74,44.75,44.76,44.99,
2018-11-07,42.13,42.62,43.2,43.42,
2018-11-28,43.73,43.83,43.85,43.87,
2018-12-04,43.64,43.95,44.07,44.08,
2018-12-11,43.6,43.92,43.91,43.91,
2018-12-19,43.44,43.47,43.47,43.49,
2018-12-26,43.74,43.75,43.77,43.78,
2019-01-03,43.67,43.71,43.72,43.71,
2019-01-09,43.27,43.43,43.48,,
2019-01-17,42.74,43.54,43.64,43.67,
2019-01-25,42.17,43.3,43.41,43.42,
2019-02-06,43.35,43.67,43.82,43.86,
2019-02-12,43.82,43.81,43.81,43.81,
2019-02-20,43.62,43.66,43.8,43.81,
2019-02-26,43.47,43.61,43.62,43.61,
2019-03-05,41.9,43.69,43.73,43.73,
2019-03-12,42.41,43.97,43.97,43.98,
2019-03-28,43.5,43.61,43.55,43.47,
2019-04-02,42.68,42.97,43.31,,
2019-04-15,43.51,43.72,43.8,43.8,
2019-04-24,41.5,41.5,41.52,41.52,
2019-04-30,42.58,42.56,42.56,42.56,
2019-05-08,42.51,42.54,42.51,,
2019-05-15,42.81,42.81,42.81,42.87,
2019-05-21,42.96,43.0,43.08,43.19,
2019-06-04,43.55,43.57,43.64,43.69,
