Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0
2016-08-02,28.58,28.58,28.47,,
2016-08-04,28.93,28.97,29.19,,
2016-08-09,28.63,28.57,28.53,,
2016-08-25,27.84,27.67,27.54,,
2016-08-30,27.54,27.52,27.45,,
2016-09-06,28.15,28.04,27.93,,
2016-09-08,28.19,28.1,28.03,,
2016-09-22,24.72,24.82,24.81,24.81,
2016-09-29,24.37,24.36,24.35,24.36,
2016-10-06,24.44,24.5,24.47,24.5,
2016-10-14,22.51,22.65,22.49,22.63,23.08
2016-10-21,22.41,22.39,22.43,22.46,22.47
2016-10-28,22.57,22.45,22.38,22.35,22.28
2016-11-03,21.69,21.65,21.62,21.64,21.64
2016-11-11,17.12,17.04,16.93,16.91,16.9
2016-11-18,16.08,15.7,15.61,15.73,15.74
2016-11-22,16.0,15.88,15.9,15.91,15.91
2016-12-02,14.98,14.95,14.94,14.95,14.88
2016-12-13,14.54,15.09,15.4,15.66,
2017-01-12,12.22,12.21,12.21,12.18,12.18
2017-01-26,10.11,10.09,10.08,10.1,10.08
2017-02-03,11.64,11.64,11.63,11.61,11.56
2017-02-10,12.01,12.02,12.05,11.78,11.75
2017-02-16,13.19,13.18,13.16,13.16,13.16
2017-02-24,14.1,13.98,13.92,13.89,13.89
2017-03-02,15.69,15.65,15.59,15.56,15.56
2017-03-22,16.77,16.85,16.8,16.78,
2017-03-30,17.53,17.48,17.39,17.3,
2017-04-05,18.28,18.18,17.84,17.86,
2017-04-12,19.47,19.46,19.45,19.44,
2017-04-18,21.12,21.17,21.17,21.17,
2017-04-25,18.96,18.95,18.96,18.97,
2017-05-04,19.56,19.58,19.59,19.47,
2017-05-10,21.98,21.94,21.77,21.52,
2017-05-19,22.79,22.83,22.89,22.92,
2017-05-24,23.27,23.27,23.31,23.37,
2017-06-02,24.76,24.76,24.74,24.72,
2017-06-06,25.46,25.46,25.48,25.48,
2017-06-13,26.05,26.09,26.05,25.89,
2017-06-21,28.51,28.47,28.39,28.5,
2017-06-30,26.44,26.4,26.32,25.61,
2017-07-05,26.86,26.86,26.89,26.9,
2017-07-12,27.81,27.84,27.8,27.76,
2017-07-19,28.65,28.8,28.81,28.77,
2017-07-26,29.75,29.7,29.63,29.61,
2017-08-08,30.85,30.65,30.45,30.38,
2017-08-16,27.29,27.38,27.37,27.41,
2017-08-23,28.36,28.35,28.19,27.89,
2017-08-30,26.44,26.65,26.86,27.23,
2017-09-06,26.85,26.85,26.85,26.85,
