Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0
2016-08-02,5.91,5.97,6.33,,
2016-08-04,4.79,5.5,5.93,,
2016-08-09,3.51,3.46,3.95,,
2016-08-25,7.4,9.72,10.6,,
2016-08-30,6.48,7.18,7.6,,
2016-09-06,6.22,6.47,6.87,,
2016-09-08,3.03,5.28,6.33,,
2016-09-22,6.81,9.68,9.21,11.71,
2016-09-29,10.67,11.13,11.63,11.32,
2016-10-06,7.27,8.34,8.24,10.97,
2016-10-14,9.68,8.44,8.54,9.09,10.68
2016-10-21,6.5,6.41,6.87,7.78,8.9
2016-10-28,5.16,6.81,6.69,7.22,6.85
2016-11-03,4.31,5.13,5.79,6.12,6.48
2016-11-11,6.77,7.04,6.95,7.15,7.61
2016-11-18,4.23,4.61,5.27,5.94,6.08
2016-11-22,4.39,5.63,6.05,6.21,6.24
2016-12-02,4.27,4.22,4.18,4.27,4.34
2016-12-13,2.24,2.77,3.27,3.38,
2017-01-12,5.66,5.77,5.81,5.5,5.65
2017-01-26,8.26,8.41,8.48,8.3,7.66
2017-02-03,3.37,3.46,3.48,3.4,3.06
2017-02-10,5.0,6.22,8.17,10.81,10.64
2017-02-16,3.63,3.78,3.89,4.0,4.05
2017-02-24,1.54,1.7,1.93,2.21,2.77
2017-03-02,1.5,2.17,2.27,2.2,2.22
2017-03-22,1.41,1.27,1.23,1.27,
2017-03-30,1.09,0.78,0.8,1.33,
2017-04-05,0.69,0.76,1.47,1.51,
2017-04-12,0.98,1.01,0.99,1.2,
2017-04-18,1.96,1.77,1.82,1.79,
2017-04-25,1.35,1.47,1.37,1.19,
2017-05-04,1.1,1.32,1.61,1.95,
2017-05-10,1.43,1.43,1.63,1.82,
2017-05-19,0.08,0.94,1.13,1.27,
2017-05-24,0.87,1.11,1.14,1.18,
2017-06-02,0.08,0.82,1.17,1.23,
2017-06-06,0.94,1.09,0.9,0.95,
2017-06-13,0.97,0.98,1.09,1.2,
2017-06-21,0.63,0.66,0.72,0.83,
2017-06-30,0.31,1.3,1.34,1.39,
2017-07-05,1.2,1.36,1.4,1.41,
2017-07-12,1.98,1.75,1.99,2.23,
2017-07-19,1.34,1.42,1.64,1.65,
2017-07-26,1.25,1.67,1.79,2.14,
2017-08-08,3.4,4.08,3.96,4.57,
2017-08-16,3.96,3.94,3.83,3.81,
2017-08-23,4.22,4.6,4.77,4.74,
2017-08-30,6.74,6.43,6.31,6.42,
2017-09-06,4.68,5.19,5.26,5.42,
2017-09-11,4.57,5.26,5.39,5.22,5.16
2017-09-20,2.7,1.75,2.05,3.54,4.88
2017-09-27,4.37,5.14,5.88,6.56,7.12
2017-10-04,6.1,6.25,6.55,7.87,9.09
2017-10-11,4.72,4.79,4.58,4.51,4.6
2017-10-17,6.57,6.37,6.29,,6.41
2017-10-25,4.14,4.36,4.59,4.96,5.7
2017-11-03,4.59,4.65,4.83,4.84,5.51
2017-11-08,5.66,7.16,7.13,7.23,7.31
2017-11-15,4.51,4.45,4.52,4.72,4.85
2017-11-22,4.37,4.44,4.33,4.46,4.46
2017-11-28,4.22,4.4,4.52,4.4,4.37
2017-12-05,5.49,5.66,5.59,5.73,5.68
2017-12-13,5.15,5.16,5.65,6.16,6.42
2017-12-18,3.75,3.98,4.15,4.37,4.17
2017-12-26,2.82,2.92,3.16,3.59,3.44
2018-01-02,3.78,4.4,4.48,4.87,6.87
2018-01-09,2.57,2.57,2.64,2.67,2.77
2018-01-17,4.37,4.37,4.34,4.35,
2018-01-24,2.1,2.87,3.76,3.77,
2018-01-31,2.99,3.05,3.31,3.15,
2018-02-12,4.38,5.77,7.06,8.97,
2018-02-20,2.85,2.72,2.77,3.01,
2018-02-27,2.91,2.98,3.21,3.78,3.79
2018-03-07,2.46,3.0,3.14,3.33,
2018-03-08,1.88,2.22,2.59,2.9,3.13
2018-03-13,2.63,2.68,2.61,2.84,
2018-03-26,11.09,13.19,13.27,12.1,10.56
2018-04-05,2.15,2.28,2.3,2.01,
2018-04-17,1.58,1.93,2.15,2.35,
2018-04-27,3.36,3.34,3.49,3.49,
2018-05-02,0.03,1.64,2.72,,
2018-05-11,1.47,1.59,1.89,1.94,
2018-05-16,0.27,1.68,1.79,2.42,
2018-05-22,1.31,1.47,1.69,1.95,1.98
2018-05-30,1.46,1.51,1.59,1.91,
2018-06-08,0.18,0.9,1.96,2.38,
2018-06-12,1.59,1.62,1.72,1.75,
2018-06-20,0.92,1.14,1.14,1.26,
2018-06-26,0.93,0.91,1.07,1.46,
2018-07-04,1.17,1.34,1.7,1.74,
2018-07-10,0.16,0.39,1.1,1.19,
2018-07-19,1.1,1.2,1.04,0.94,
2018-07-24,0.0,0.6,0.96,1.03,
2018-08-03,1.02,1.29,1.1,1.2,
2018-08-09,0.99,1.01,0.99,1.0,
2018-08-14,0.62,0.61,0.62,0.6,
2018-08-23,0.91,0.89,0.91,0.77,0.66
2018-08-29,1.01,1.06,0.88,0.94,0.83
2018-09-04,0.81,1.33,1.46,1.02,
2018-09-13,0.02,0.76,1.17,0.92,
2018-09-20,1.11,1.1,1.06,0.94,
2018-09-25,0.8,1.29,1.25,1.25,
2018-10-03,1.13,1.12,1.1,1.12,
2018-10-10,1.01,1.15,0.92,1.49,
2018-10-17,0.72,0.77,0.72,0.78,
2018-10-24,0.9,0.79,0.82,0.9,
2018-10-31,0.17,0.9,0.81,0.75,
2018-11-07,1.74,2.08,2.14,1.31,
2018-11-28,0.58,0.74,1.15,1.17,
2018-12-04,0.13,0.46,0.73,0.48,
2018-12-11,0.7,0.75,0.71,0.71,
2018-12-19,1.16,1.2,1.16,1.22,
2018-12-26,0.67,0.69,0.68,0.64,
2019-01-03,0.49,0.51,0.49,0.66,
2019-01-09,0.54,0.49,0.56,,
2019-01-17,0.53,0.56,0.47,0.49,
2019-01-25,0.12,0.71,0.76,0.68,
2019-02-06,2.63,2.52,3.91,2.08,
2019-02-12,0.72,1.02,0.97,1.02,
2019-02-20,0.72,0.8,0.73,0.54,
2019-02-26,0.14,0.39,0.81,0.86,
2019-03-05,0.47,0.58,0.57,0.6,
2019-03-12,0.35,0.85,0.77,0.89,
2019-03-28,1.31,1.16,1.01,0.9,
2019-04-02,0.98,0.99,0.99,,
2019-04-15,0.64,0.81,0.71,0.65,
2019-04-24,2.43,2.44,2.52,2.59,
2019-04-30,2.68,2.86,2.83,2.74,
2019-05-08,0.94,0.97,1.11,,
2019-05-15,1.31,1.32,1.26,1.44,
2019-05-21,1.78,1.98,2.15,2.16,
2019-06-04,1.52,1.62,1.66,1.75,
2019-06-18,1.33,1.52,1.94,1.98,1.91
2019-06-25,1.46,1.54,1.61,1.68,
2019-07-04,1.47,1.47,1.5,1.54,
2019-07-11,0.13,0.5,1.25,1.24,1.26
2019-07-19,0.0,0.38,1.15,1.16,1.16
2019-07-26,0.82,0.98,1.0,1.01,0.99
2019-07-30,0.52,0.65,1.0,1.07,
2019-08-06,0.74,0.93,1.56,1.37,
2019-08-14,1.93,2.13,2.43,3.21,
2019-08-22,3.09,3.14,3.37,3.93,
2019-08-29,2.61,2.6,3.05,3.31,
2019-09-04,2.13,2.67,2.77,2.92,
2019-09-10,1.89,1.88,1.87,1.92,
2019-09-17,6.56,5.56,6.32,5.92,5.52
2019-09-18,7.03,7.13,7.05,7.64,6.69
2019-09-19,7.2,7.38,7.39,4.51,4.08
2019-09-26,1.5,2.74,3.56,3.38,3.55
2019-10-03,0.14,2.32,2.36,2.39,2.4
2019-10-15,6.47,6.44,6.51,6.39,6.68
2019-10-16,6.43,6.53,5.89,5.46,11.7
2019-10-25,6.21,6.1,6.0,4.01,4.11
2019-11-04,1.22,6.85,7.27,7.54,
2019-11-07,7.46,7.68,7.66,6.84,7.0
2019-11-14,17.33,25.1,28.4,30.06,36.07
2019-11-21,5.18,6.28,7.46,9.87,10.15
2019-11-27,7.95,8.93,8.99,8.52,8.81
2019-12-05,20.05,21.16,22.94,24.08,23.82
2019-12-11,6.25,8.13,8.5,8.71,9.23
2019-12-16,3.42,3.89,5.04,6.08,8.7
2019-12-26,0.65,1.37,2.75,3.44,4.02
2020-01-03,1.79,1.85,1.86,1.88,1.94
2020-01-08,1.42,1.47,1.64,1.66,1.7
2020-01-17,1.32,1.34,1.43,1.43,1.4
2020-01-23,10.39,10.31,10.97,11.87,12.48
2020-01-29,4.16,4.97,5.07,4.54,4.51
2020-02-04,1.54,1.59,1.61,2.42,3.52
2020-02-11,2.78,2.88,3.49,3.41,
2020-02-20,0.14,2.78,3.12,3.21,
2020-02-25,1.3,1.43,2.58,2.75,
2020-03-05,4.95,4.92,4.65,4.81,
2020-03-11,3.94,4.08,4.21,4.36,
2020-03-27,12.62,12.61,12.3,12.68,
2020-04-01,2.82,3.05,3.08,3.03,
2020-04-07,1.66,2.6,2.71,2.82,
2020-04-14,3.31,3.61,3.67,4.17,
