Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,72.46,72.25,72.31,,,,,,,,
2016-08-04,72.98,72.99,72.87,,,,,,,,
2016-08-09,72.7,72.69,72.38,,,,,,,,
2016-08-22,6.91,6.91,6.9,6.92,6.94,,,,,,
2016-09-06,7.34,,,,,,,,,,
2016-09-08,7.37,7.36,7.36,,,,,,,,
2016-09-29,6.87,6.87,6.86,6.86,,,,,,,
2016-10-06,6.83,6.8,6.82,6.82,,,,,,,
2016-10-14,6.65,6.65,6.65,6.65,6.65,,,,,,
2016-10-21,6.54,6.53,6.53,6.54,6.54,,,,,,
2016-10-28,6.56,6.55,6.53,6.53,6.53,,,,,,
2016-11-03,6.36,6.36,6.37,6.38,6.38,,,,,,
2016-11-11,5.86,5.85,5.84,5.84,5.83,,,,,,
2016-11-18,5.63,5.61,5.6,5.59,5.59,,,,,,
2016-11-22,5.65,5.65,5.64,5.64,5.62,5.62,,,,,
2016-12-02,5.38,5.43,5.43,5.45,5.48,5.49,,,,,
2016-12-13,5.44,5.45,5.45,5.45,5.45,,,,,,
2017-01-12,4.63,4.63,4.63,4.63,4.63,4.63,,,,,
2017-01-26,4.31,4.31,4.31,4.31,4.3,4.3,,,,,
2017-02-03,4.44,4.44,4.43,4.44,4.44,4.43,,,,,
2017-02-10,4.53,4.53,4.53,4.52,4.52,4.52,,,,,
2017-02-16,4.68,4.68,4.68,4.68,4.68,4.68,,,,,
2017-02-24,4.77,4.76,4.76,4.76,4.76,4.76,,,,,
2017-03-02,4.92,4.92,4.91,4.91,4.91,4.91,,,,,
2017-03-22,5.08,5.07,5.06,5.06,5.06,5.05,,,,,
2017-03-30,5.11,5.11,5.11,5.11,5.11,5.11,,,,,
2017-04-05,5.3,5.3,5.29,5.28,5.26,5.26,,,,,
2017-04-12,5.45,5.43,5.43,5.42,5.43,5.43,,,,,
2017-04-18,5.66,5.67,5.66,5.66,5.66,5.66,,,,,
2017-04-25,5.4,5.39,5.39,5.39,5.39,5.39,,,,,
2017-05-04,5.51,5.5,5.5,5.49,5.48,5.47,,,,,
2017-05-10,5.82,5.81,5.81,5.8,5.79,5.78,,,,,
2017-05-19,5.96,5.96,5.96,5.96,5.96,5.96,,,,,
2017-05-24,6.02,6.02,6.02,6.02,6.02,6.02,,,,,
2017-06-02,6.22,6.22,6.22,6.22,6.22,6.22,,,,,
2017-06-06,6.33,6.35,6.35,6.35,6.35,6.35,,,,,
2017-06-13,6.49,6.49,6.49,6.49,6.49,6.49,,,,,
2017-06-21,6.73,6.73,6.73,6.73,6.73,6.73,,,,,
2017-06-30,6.71,6.71,6.71,6.71,6.71,6.71,,,,,
2017-07-05,6.57,6.6,6.6,6.6,6.63,6.65,,,,,
2017-07-12,6.82,6.82,6.82,6.82,6.82,,6.81,,,,
2017-07-19,6.98,6.98,6.99,6.99,6.99,6.98,,,,,
2017-07-26,7.03,7.03,7.04,7.04,7.05,7.05,,,,,
2017-08-08,7.21,7.21,7.23,7.24,7.25,7.24,,,,,
2017-08-16,6.84,6.84,6.84,6.84,6.84,6.84,,,,,
2017-08-23,7.01,7.01,7.01,7.01,7.01,7.01,,,,,
2017-08-30,6.88,6.89,6.89,6.9,6.92,6.93,,,,,
2017-09-06,6.8,6.8,6.8,6.8,6.8,6.8,,,,,
2017-09-11,6.63,6.64,6.64,6.64,6.64,6.64,,,,,
2017-09-20,6.97,6.97,6.97,6.97,6.97,6.97,,,,,
2017-09-27,6.57,6.58,6.58,6.58,6.58,6.58,,,,,
2017-10-04,6.63,6.63,6.62,6.61,6.61,6.61,,,,,
2017-10-11,6.55,6.57,6.57,6.57,6.57,6.57,,,,,
2017-10-17,6.47,6.47,6.47,6.47,6.48,6.48,,,,,
2017-10-25,6.17,6.22,6.22,6.22,6.22,6.22,,,,,
2017-11-03,6.11,6.11,6.11,6.11,6.12,6.12,,,,,
2017-11-08,5.74,5.74,5.74,5.74,5.74,5.74,,,,,
2017-11-15,5.47,5.46,5.46,5.46,5.46,5.46,,,,,
2017-11-22,5.4,5.4,5.4,5.4,5.4,5.4,,,,,
2017-11-28,5.38,5.38,5.38,5.38,5.38,5.38,,,,,
2017-12-05,4.95,4.95,4.95,4.95,4.95,4.95,,,,,
2017-12-13,4.94,4.94,4.93,4.92,4.91,4.91,,,,,
2017-12-18,4.89,4.88,4.88,4.88,4.88,4.88,,,,,
2017-12-26,4.88,4.88,4.89,4.89,4.9,4.91,,,,,
2018-01-02,4.94,4.94,4.94,4.94,4.94,4.95,,,,,
2018-01-09,4.82,4.82,4.83,4.85,4.94,4.95,,,,,
2018-01-17,4.77,4.78,4.8,4.82,4.83,4.85,,,,,
2018-01-24,4.93,4.93,4.93,4.93,4.93,4.93,,,,,
2018-01-31,4.87,4.87,4.87,4.87,4.87,4.87,,,,,
2018-02-12,4.63,4.63,4.63,4.63,4.63,4.63,,,,,
2018-02-20,4.87,4.87,4.87,4.87,4.86,4.84,,,,,
2018-02-27,4.89,4.89,4.89,4.89,4.88,4.88,,,,,
2018-03-07,4.95,4.95,4.95,4.95,4.96,4.96,,,,,
2018-03-08,4.99,4.97,4.95,4.95,4.94,4.94,,,,,
2018-03-13,5.1,5.12,5.13,5.17,5.19,5.2,,,,,
2018-03-26,4.93,4.95,4.95,4.95,4.95,4.95,,,,,
2018-04-05,5.34,5.35,5.35,5.35,5.35,5.35,,,,,
2018-04-17,5.44,5.44,5.44,5.45,5.45,5.45,,,,,
2018-04-27,5.64,5.62,5.62,5.61,5.61,5.61,,,,,
2018-05-02,5.65,5.65,5.65,5.64,5.64,5.64,,,,,
2018-05-11,6.04,6.04,6.04,6.04,6.05,6.05,,,,,
2018-05-16,6.06,6.06,6.06,6.06,6.07,6.07,,,,,
2018-05-22,6.22,6.22,6.22,6.22,6.22,6.22,,,,,
2018-06-08,6.39,6.41,6.43,6.43,6.43,6.43,,,,,
2018-06-12,6.55,6.55,6.55,6.55,6.55,6.55,,,,,
2018-06-20,6.79,6.79,6.79,6.79,6.79,6.79,,,,,
2018-06-26,6.94,6.94,6.94,6.94,6.94,6.94,,,,,
2018-07-04,7.02,7.01,7.01,7.02,7.02,7.01,,,,,
2018-07-10,7.03,7.03,7.03,7.03,7.03,7.04,,,,,
2018-07-19,7.09,7.11,7.11,7.11,7.11,7.11,,,,,
2018-07-24,7.16,7.18,7.18,7.18,7.18,7.18,,,,,
2018-08-03,7.4,7.4,7.4,7.4,7.4,7.4,,,,,
2018-08-09,7.5,7.53,7.53,7.53,7.53,7.53,,,,,
2018-08-14,7.49,7.49,7.49,7.49,7.49,7.51,,,,,
2018-08-23,7.37,7.37,7.36,7.36,7.36,7.36,,,,,
2018-08-29,7.38,7.36,7.35,7.35,7.36,7.36,,,,,
2018-09-04,7.36,7.36,7.36,7.36,7.36,7.36,,,,,
2018-09-13,7.02,7.04,7.04,7.04,7.04,7.04,,,,,
2018-09-20,7.04,7.05,7.05,7.05,7.06,7.08,,,,,
2018-09-25,7.09,7.09,7.09,7.09,7.09,7.09,,,,,
2018-10-03,6.77,6.76,6.76,6.76,6.76,6.76,,,,,
2018-10-10,6.5,6.5,6.5,6.5,6.5,6.49,,,,,
2018-10-17,6.39,6.4,6.4,6.4,6.4,6.4,,,,,
2018-10-24,6.53,6.52,6.53,6.53,6.54,6.54,,,,,
2018-10-31,5.76,5.76,5.76,5.76,5.76,5.76,,,,,
2018-11-07,5.59,5.59,5.59,5.59,5.59,5.59,,,,,
2018-11-21,5.46,5.46,5.46,5.46,5.46,5.46,,,,,
2018-11-28,5.37,5.37,5.36,5.36,5.36,5.35,,,,,
2018-12-04,5.29,5.29,5.29,5.28,5.28,5.28,,,,,
2018-12-11,5.26,5.26,5.26,5.27,5.28,5.29,,,,,
2018-12-19,5.08,5.08,5.1,5.1,5.1,5.11,,,,,
2018-12-26,5.05,5.05,5.05,5.05,5.07,5.07,,,,,
2019-01-03,4.98,4.98,4.98,4.98,4.98,4.98,,,,,
2019-01-09,4.89,4.9,4.9,4.9,4.9,4.9,,,,,
2019-01-17,4.81,4.81,4.81,4.81,4.81,4.81,,,,,
2019-01-25,4.77,4.77,4.77,4.77,4.76,4.77,,,,,
2019-02-06,4.78,4.78,4.79,4.8,4.8,4.8,,,,,
2019-02-12,4.92,4.92,4.92,4.92,4.92,4.92,,,,,
2019-02-20,5.06,5.06,5.05,5.05,5.05,5.05,,,,,
2019-02-26,5.16,5.16,5.16,5.15,5.15,5.15,,,,,
2019-03-05,5.32,5.3,5.3,5.31,5.31,5.31,,,,,
2019-03-12,5.43,5.44,5.43,5.43,5.43,5.43,,,,,
2019-03-28,5.36,5.35,5.33,5.32,5.32,5.32,,,,,
2019-04-02,5.33,5.33,5.32,5.32,5.32,5.32,,,,,
2019-04-15,5.55,5.54,5.53,5.54,5.54,5.54,,,,,
2019-04-24,5.27,5.28,5.29,5.28,5.28,5.29,,,,,
2019-04-30,5.64,5.63,5.62,5.61,5.61,5.61,,,,,
2019-05-08,5.89,5.87,5.86,5.85,5.85,5.85,,,,,
2019-05-15,6.13,6.13,6.13,6.13,6.12,6.12,,,,,
2019-05-21,6.15,6.15,6.15,6.15,6.15,6.14,,,,,
2019-05-29,6.24,6.24,6.24,6.24,6.24,6.24,,,,,
2019-06-04,6.4,6.39,6.39,6.38,6.38,6.38,,,,,
2019-06-18,6.41,6.39,6.39,6.38,6.38,6.38,,,,,
2019-06-25,6.76,6.75,6.74,6.73,6.73,6.69,,,,,
2019-07-04,7.01,7.0,7.0,6.99,6.99,6.99,,,,,
2019-07-11,6.91,6.91,6.93,6.93,6.93,6.93,,,,,
2019-07-19,7.17,7.17,7.17,7.17,7.16,7.16,,,,,
2019-07-26,7.12,7.12,7.12,7.12,7.12,7.12,,,,,
2019-07-30,7.18,7.17,7.16,7.15,7.15,7.15,,,,,
2019-08-06,7.22,7.21,7.21,7.2,7.2,7.2,,,,,
2019-08-14,7.24,7.23,7.2,7.2,7.2,7.21,,,,,
2019-08-22,7.31,7.3,7.3,7.3,7.29,7.29,,,,,
2019-08-29,7.1,7.09,7.11,7.11,7.11,7.11,,,,,
