Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,6.72,7.02,7.14,,,,,,,,
2016-08-04,6.09,5.91,6.06,,,,,,,,
2016-08-09,3.99,4.09,4.48,,,,,,,,
2016-08-22,6.77,7.21,7.56,7.82,8.49,,,,,,
2016-09-06,3.33,,,,,,,,,,
2016-09-08,3.69,4.07,4.19,,,,,,,,
2016-09-29,9.23,10.16,10.69,10.73,,,,,,,
2016-10-06,8.12,8.13,8.65,8.56,,,,,,,
2016-10-14,7.92,8.5,8.74,8.95,9.99,,,,,,
2016-10-21,6.6,6.45,6.37,6.41,7.05,,,,,,
2016-10-28,6.76,6.94,7.12,7.02,7.37,,,,,,
2016-11-03,4.3,4.45,4.64,4.61,4.9,,,,,,
2016-11-11,7.12,7.53,7.75,7.73,7.72,,,,,,
2016-11-18,6.38,6.92,7.16,7.08,7.04,,,,,,
2016-11-22,4.67,4.86,4.77,4.79,5.51,6.89,,,,,
2016-12-02,4.66,4.75,4.83,4.84,4.67,5.08,,,,,
2016-12-13,3.79,3.8,3.63,3.6,3.59,,,,,,
2017-01-12,5.31,5.35,5.36,5.35,5.27,5.17,,,,,
2017-01-26,6.93,7.08,7.1,7.26,7.2,6.22,,,,,
2017-02-03,3.4,3.45,3.64,3.94,4.28,4.52,,,,,
2017-02-10,6.11,6.25,6.31,6.37,6.17,6.08,,,,,
2017-02-16,4.5,4.69,4.66,4.77,4.73,4.73,,,,,
2017-02-24,2.42,2.48,2.54,2.56,2.5,2.65,,,,,
2017-03-02,2.34,2.64,2.73,2.71,2.61,2.53,,,,,
2017-03-22,2.32,2.3,2.34,2.48,2.45,2.86,,,,,
2017-03-30,2.52,2.17,2.44,2.48,2.56,2.9,,,,,
2017-04-05,1.72,1.72,1.66,1.87,2.22,2.25,,,,,
2017-04-12,2.14,2.43,2.91,3.1,2.81,3.26,,,,,
2017-04-18,1.72,1.72,1.78,1.89,2.22,2.51,,,,,
2017-04-25,1.83,1.84,1.99,1.92,2.07,2.98,,,,,
2017-05-04,1.38,1.54,1.74,2.01,2.8,3.51,,,,,
2017-05-10,1.06,1.05,1.07,1.1,1.06,1.61,,,,,
2017-05-19,1.26,1.64,1.61,1.56,1.75,1.83,,,,,
2017-05-24,1.68,2.18,2.21,2.25,2.2,2.16,,,,,
2017-06-02,1.37,1.47,1.47,1.63,1.66,1.62,,,,,
2017-06-06,0.89,0.87,0.83,0.94,1.16,1.03,,,,,
2017-06-13,1.29,1.35,1.38,1.49,1.31,1.4,,,,,
2017-06-21,0.77,0.81,0.81,0.8,0.78,0.72,,,,,
2017-06-30,2.48,2.4,2.42,2.52,2.46,2.4,,,,,
2017-07-05,1.36,1.16,1.32,1.35,1.31,1.0,,,,,
2017-07-12,1.24,1.28,1.24,1.25,1.23,,1.23,,,,
2017-07-19,0.57,0.76,0.8,0.79,0.78,1.3,,,,,
2017-07-26,1.03,1.15,1.14,1.14,1.19,1.19,,,,,
2017-08-08,2.46,2.52,2.52,2.52,2.48,2.49,,,,,
2017-08-16,4.18,4.13,4.17,4.06,4.12,4.07,,,,,
2017-08-23,4.28,4.44,4.45,4.44,4.44,4.62,,,,,
2017-08-30,6.36,6.37,6.49,6.62,6.77,7.56,,,,,
2017-09-06,7.82,6.25,6.24,6.54,6.64,6.52,,,,,
2017-09-11,5.19,5.21,5.22,5.29,5.33,5.42,,,,,
2017-09-20,2.39,2.48,2.73,2.67,2.56,2.41,,,,,
2017-09-27,5.73,5.72,5.62,5.5,5.32,5.85,,,,,
2017-10-04,5.8,6.05,6.3,6.36,6.27,6.92,,,,,
2017-10-11,4.47,4.56,4.49,4.51,4.59,4.71,,,,,
2017-10-17,5.64,5.62,5.73,5.86,5.76,6.29,,,,,
2017-10-25,4.24,4.08,4.34,4.38,4.52,4.33,,,,,
2017-11-03,4.12,4.54,4.76,4.55,4.34,4.98,,,,,
2017-11-08,5.85,6.2,6.17,6.16,6.05,6.95,,,,,
2017-11-15,4.37,4.53,4.59,4.63,4.71,4.47,,,,,
2017-11-22,4.12,4.24,4.41,4.35,4.56,4.33,,,,,
2017-11-28,4.29,4.32,4.33,4.34,4.3,4.29,,,,,
2017-12-05,4.84,5.12,4.94,4.99,5.19,5.11,,,,,
2017-12-13,4.48,4.97,5.01,5.07,5.01,4.84,,,,,
2017-12-18,3.7,3.89,4.08,4.03,4.05,4.02,,,,,
2017-12-26,3.81,3.76,3.55,3.49,4.02,5.19,,,,,
2018-01-02,3.45,3.43,3.42,3.41,3.46,3.37,,,,,
2018-01-09,2.86,2.8,2.86,2.81,2.83,3.04,,,,,
2018-01-17,1.91,2.21,2.35,2.41,2.47,2.51,,,,,
2018-01-24,0.39,2.41,2.44,2.45,2.33,2.36,,,,,
2018-01-31,2.88,2.75,2.87,2.8,2.77,2.76,,,,,
2018-02-12,2.91,3.04,3.04,3.02,3.05,2.98,,,,,
2018-02-20,2.85,2.9,2.84,2.76,2.76,2.2,,,,,
2018-02-27,2.23,2.29,2.27,2.31,2.35,2.31,,,,,
2018-03-07,2.58,2.61,2.64,2.65,2.65,2.65,,,,,
2018-03-08,1.54,1.6,1.75,1.79,1.92,2.17,,,,,
2018-03-13,2.47,2.26,2.26,2.4,2.74,2.97,,,,,
2018-03-26,5.68,5.78,5.72,5.71,5.55,5.46,,,,,
2018-04-05,0.39,1.72,1.84,1.93,2.04,2.46,,,,,
2018-04-17,1.71,1.73,1.79,1.78,1.9,1.87,,,,,
2018-04-27,1.29,2.48,2.54,2.5,2.51,2.49,,,,,
2018-05-02,0.12,0.9,1.99,1.95,1.95,1.87,,,,,
2018-05-11,1.16,1.22,1.26,1.24,1.28,1.26,,,,,
2018-05-16,1.32,1.35,1.46,1.4,1.44,1.5,,,,,
2018-05-22,0.12,0.62,1.32,1.33,1.3,1.32,,,,,
2018-06-08,1.43,1.45,1.5,1.34,1.45,1.39,,,,,
2018-06-12,1.14,1.26,1.35,1.35,1.32,1.41,,,,,
2018-06-20,0.43,0.9,1.02,0.97,0.96,0.95,,,,,
2018-06-26,1.35,1.51,1.55,1.56,1.71,1.74,,,,,
2018-07-04,1.31,1.97,1.95,1.96,2.06,2.42,,,,,
2018-07-10,1.34,1.29,1.34,1.31,1.34,1.75,,,,,
2018-07-19,1.71,1.75,1.72,1.82,2.43,2.29,,,,,
2018-07-24,0.58,1.07,1.57,1.6,1.58,1.6,,,,,
2018-08-03,2.81,2.99,3.03,2.99,3.03,3.06,,,,,
2018-08-09,1.51,1.65,1.62,1.62,1.72,1.72,,,,,
2018-08-14,0.91,1.11,1.17,1.12,1.19,1.84,,,,,
2018-08-23,1.57,1.7,1.75,1.76,1.85,2.17,,,,,
2018-08-29,0.43,1.3,1.92,2.97,3.35,4.64,,,,,
2018-09-04,0.56,2.73,2.73,2.67,2.66,3.04,,,,,
2018-09-13,0.02,0.79,1.98,2.06,2.29,5.97,,,,,
2018-09-20,0.35,1.05,1.35,1.46,1.37,3.16,,,,,
2018-09-25,1.4,1.44,1.46,1.43,1.42,1.49,,,,,
2018-10-03,1.24,1.68,3.01,3.1,3.07,3.47,,,,,
2018-10-10,0.15,1.1,1.2,1.19,1.22,1.3,,,,,
2018-10-17,0.12,1.03,2.03,2.07,2.23,2.13,,,,,
2018-10-24,0.59,0.91,1.03,1.07,1.42,1.61,,,,,
2018-10-31,1.5,1.48,1.52,1.5,1.57,1.62,,,,,
2018-11-07,0.14,0.41,0.85,0.89,0.89,0.95,,,,,
2018-11-21,1.79,1.87,1.86,1.85,1.97,1.93,,,,,
2018-11-28,1.11,1.25,1.17,1.0,0.98,0.99,,,,,
2018-12-04,0.95,0.99,0.97,1.01,1.05,1.08,,,,,
2018-12-11,1.09,1.01,1.05,1.15,1.32,1.72,,,,,
2018-12-19,1.17,1.25,1.24,1.24,1.09,1.0,,,,,
2018-12-26,0.74,0.74,0.77,0.75,0.9,0.91,,,,,
2019-01-03,0.97,0.98,0.95,0.99,1.05,1.25,,,,,
2019-01-09,0.15,0.26,0.67,0.63,0.66,0.67,,,,,
2019-01-17,0.5,0.55,0.57,0.59,0.57,0.57,,,,,
2019-01-25,0.29,0.63,0.73,0.78,0.76,0.75,,,,,
2019-02-06,2.9,2.93,2.76,2.61,1.96,1.28,,,,,
2019-02-12,0.98,1.12,1.12,1.13,1.1,1.12,,,,,
2019-02-20,0.13,0.79,1.5,1.32,1.23,1.29,,,,,
2019-02-26,0.16,0.79,0.97,1.01,0.99,1.09,,,,,
2019-03-05,0.86,1.13,1.36,1.41,1.49,1.68,,,,,
2019-03-12,0.42,0.79,0.96,1.1,1.3,1.47,,,,,
2019-03-28,2.35,2.61,2.53,2.82,3.56,3.8,,,,,
2019-04-02,0.96,1.12,1.11,1.04,1.02,1.02,,,,,
2019-04-15,1.08,1.15,1.3,1.58,1.69,1.75,,,,,
2019-04-24,2.74,2.84,2.82,3.07,2.88,2.65,,,,,
2019-04-30,1.3,1.5,1.7,1.97,2.14,3.13,,,,,
2019-05-08,1.21,1.48,1.9,1.95,2.07,2.44,,,,,
2019-05-15,0.45,1.69,1.85,1.89,2.28,2.81,,,,,
2019-05-21,1.69,1.85,1.9,1.92,1.97,2.7,,,,,
2019-05-29,1.5,1.93,2.01,1.92,1.96,1.97,,,,,
