Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,15.92,14.43,15.42,,,,,,,,
2016-08-04,12.1,12.09,10.63,,,,,,,,
2016-08-09,11.29,11.12,12.21,,,,,,,,
2016-08-25,18.26,16.0,14.99,,,,,,,,
2016-08-30,14.06,13.9,13.85,,,,,,,,
2016-09-06,18.53,16.62,14.72,,,,,,,,
2016-09-08,17.47,15.67,13.22,,,,,,,,
2016-09-22,14.6,14.21,14.13,,,,,,,,
2016-09-29,12.31,12.97,11.94,,,,,,,,
2016-10-06,15.2,14.19,16.89,,,,,,,,
2016-10-14,20.4,19.3,23.13,18.99,20.65,,,,,,
2016-10-21,18.92,17.68,16.2,,,,,,,,
2016-10-28,16.14,14.65,14.44,14.09,,,,,,,
2016-11-03,19.58,20.24,19.25,18.34,18.21,,,,,,
2016-11-11,9.06,10.49,10.57,10.45,,,,,,,
2016-11-18,15.65,21.95,24.15,23.69,23.76,,,,,,
2016-11-22,14.98,23.84,26.67,22.13,18.8,,,,,,
2016-12-02,10.93,14.08,22.69,27.73,28.27,,,,,,
2016-12-13,17.69,28.47,32.46,31.41,31.35,,,,,,
2016-12-21,25.78,25.08,25.88,25.72,,,,,,,
2016-12-29,28.65,,,,,,,,,,
2017-01-12,48.97,55.6,59.8,61.51,,,,,,,
2017-01-26,47.0,46.76,46.02,46.17,46.19,,,,,,
2017-02-03,22.97,24.86,28.74,31.03,43.98,46.18,,,,,
2017-02-10,22.69,25.5,26.59,27.31,28.07,30.38,,,,,
2017-02-16,18.05,21.32,26.23,28.02,,29.98,,,,,
2017-02-24,14.09,21.41,29.62,33.1,33.81,,,,,,
2017-03-02,12.83,16.78,22.63,25.28,26.17,25.74,,,,,
2017-03-22,4.22,4.57,5.36,5.97,6.41,6.67,,,,,
2017-03-30,7.51,7.77,8.27,8.57,8.67,8.66,,,,,
2017-04-05,5.09,5.33,5.67,5.73,5.82,6.39,,,,,
2017-04-12,5.77,7.09,8.31,9.73,10.32,10.29,,,,,
2017-04-18,,4.08,4.36,4.47,4.88,5.24,5.62,,,,
2017-04-25,8.03,8.08,8.27,8.33,8.2,8.38,,,,,
2017-05-04,4.56,5.17,5.69,5.45,,,,,,,
2017-05-10,4.11,4.48,4.99,5.37,5.9,5.17,,,,,
2017-05-19,0.97,1.09,1.39,1.62,1.64,1.73,,,,,
2017-05-24,0.93,1.13,1.34,1.47,1.5,1.73,,,,,
2017-06-02,2.34,2.9,3.21,3.34,2.64,2.3,,,,,
2017-06-06,1.93,2.63,3.27,3.6,3.66,3.89,,,,,
2017-06-13,0.67,1.36,1.65,1.64,1.78,1.82,,,,,
2017-06-21,1.49,1.57,1.59,1.62,1.64,1.73,,,,,
2017-06-30,0.46,0.74,0.84,0.9,0.97,,,,,,
2017-07-05,2.09,2.64,2.83,2.87,2.93,2.83,,,,,
2017-07-12,1.72,1.83,1.92,1.93,1.73,1.77,,,,,
2017-07-19,2.28,2.42,2.48,2.48,2.33,3.6,,,,,
2017-07-26,1.98,1.99,2.04,2.13,2.18,2.25,,,,,
2017-08-08,2.7,2.75,2.78,2.92,2.93,2.94,,,,,
2017-08-16,5.77,5.84,5.77,5.82,5.79,5.86,,,,,
