Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,45.72,45.63,45.59,,,,,,,,
2016-08-04,45.6,45.59,45.49,,,,,,,,
2016-08-09,46.02,46.03,45.79,,,,,,,,
2016-08-25,46.21,46.2,46.15,,,,,,,,
2016-08-30,46.22,46.15,46.12,,,,,,,,
2016-09-06,46.09,46.09,46.07,,,,,,,,
2016-09-08,46.2,46.21,46.15,,,,,,,,
2016-09-22,46.8,46.46,46.52,,,,,,,,
2016-09-29,46.39,46.33,46.39,,,,,,,,
2016-10-06,46.64,46.64,46.4,,,,,,,,
2016-10-14,45.39,45.4,45.08,45.39,45.66,,,,,,
2016-10-21,46.33,46.36,46.43,,,,,,,,
2016-10-28,46.15,46.15,46.16,46.17,,,,,,,
2016-11-03,46.36,46.36,46.36,46.36,46.36,,,,,,
2016-11-11,46.53,46.53,46.53,46.53,,,,,,,
2016-11-18,46.67,46.67,46.67,46.67,46.67,,,,,,
2016-11-22,46.34,46.42,46.51,46.56,46.66,,,,,,
2016-12-02,45.77,45.92,45.93,45.94,45.94,,,,,,
2016-12-13,45.49,45.49,45.49,45.49,45.49,,,,,,
2016-12-21,42.04,42.18,42.18,42.2,,,,,,,
2016-12-29,40.36,,,,,,,,,,
2017-01-12,41.01,41.01,41.02,41.11,,,,,,,
2017-01-26,40.56,40.56,40.56,40.56,40.56,,,,,,
2017-02-03,40.43,40.5,40.54,40.54,40.57,40.54,,,,,
2017-02-10,40.42,40.42,40.42,40.42,40.42,40.45,,,,,
2017-02-16,40.24,40.24,40.24,40.24,,40.25,,,,,
2017-02-24,40.28,40.31,40.37,40.38,40.38,,,,,,
2017-03-02,40.44,40.44,40.44,40.44,40.44,40.44,,,,,
2017-03-22,40.37,40.37,40.37,40.37,40.37,40.37,,,,,
2017-03-30,40.43,40.43,40.43,40.44,40.44,40.44,,,,,
2017-04-05,40.49,40.5,40.5,40.5,40.5,40.49,,,,,
2017-04-12,40.7,40.7,40.68,40.69,40.7,40.7,,,,,
2017-04-18,,40.58,40.69,40.68,40.69,40.68,40.7,,,,
2017-04-25,41.02,41.02,41.02,41.02,41.02,41.02,,,,,
2017-05-04,41.16,41.16,41.16,41.16,,,,,,,
2017-05-10,41.06,41.06,41.06,41.07,41.07,41.07,,,,,
2017-05-19,41.36,41.36,41.36,41.35,41.35,41.35,,,,,
2017-05-24,41.52,41.52,41.52,41.52,41.52,41.51,,,,,
2017-06-02,41.63,41.63,41.63,41.64,41.68,41.73,,,,,
2017-06-06,41.86,41.86,41.86,41.86,41.86,41.86,,,,,
2017-06-13,41.89,42.09,42.09,42.09,42.09,42.09,,,,,
2017-06-21,42.26,42.26,42.26,42.25,42.25,42.25,,,,,
2017-06-30,42.46,42.77,42.77,42.77,42.77,,,,,,
2017-07-05,43.11,43.11,43.11,43.11,43.11,43.11,,,,,
2017-07-12,42.82,42.82,42.82,42.82,42.83,42.83,,,,,
2017-07-19,43.16,43.16,43.16,43.16,43.16,43.16,,,,,
2017-07-26,43.09,43.09,43.09,43.09,43.09,43.09,,,,,
2017-08-08,43.56,43.57,43.57,43.57,43.57,43.57,,,,,
2017-08-16,44.07,44.07,44.07,44.07,44.07,44.07,,,,,
2017-08-23,43.86,44.17,44.17,44.17,44.17,44.17,,,,,
2017-08-30,44.0,44.01,44.01,44.0,44.0,44.0,,,,,
2017-09-06,43.75,43.75,43.77,43.9,43.96,43.96,,,,,
2017-09-11,44.35,44.28,44.27,44.26,44.28,44.29,,,,,
2017-09-20,46.83,46.84,46.84,46.84,46.84,46.84,,,,,
2017-09-27,44.49,44.54,44.55,44.55,44.55,44.55,,,,,
2017-10-04,44.4,44.47,44.47,44.48,44.48,44.48,,,,,
2017-10-11,43.46,44.38,44.38,44.38,44.38,44.38,,,,,
2017-10-17,44.45,44.55,44.55,44.55,44.55,44.55,,,,,
2017-10-25,44.14,44.52,44.52,44.52,44.52,44.52,,,,,
2017-11-03,44.21,44.21,44.21,44.21,44.21,44.21,,,,,
2017-11-08,44.62,44.62,44.62,44.62,44.62,44.62,,,,,
2017-11-15,44.58,44.58,44.61,44.7,44.73,44.73,,,,,
2017-11-22,44.11,44.19,44.58,44.85,44.86,44.87,,,,,
2017-11-28,44.19,44.27,44.45,44.47,44.49,44.61,,,,,
2017-12-05,44.35,44.34,44.35,44.35,44.35,44.37,,,,,
2017-12-13,44.35,44.36,44.34,44.34,44.34,44.34,,,,,
2017-12-18,44.24,44.24,44.24,44.24,44.24,44.25,,,,,
