Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,28.83,28.78,28.63,,,,,,,,
2016-08-04,28.53,28.56,28.87,,,,,,,,
2016-08-09,28.71,28.71,28.61,,,,,,,,
2016-08-25,27.95,27.93,27.89,,,,,,,,
2016-08-30,28.24,28.18,28.19,,,,,,,,
2016-09-06,28.21,28.21,28.2,,,,,,,,
2016-09-08,29.07,29.04,29.03,,,,,,,,
2016-09-22,25.38,25.5,25.54,,,,,,,,
2016-09-29,24.04,24.03,24.04,,,,,,,,
2016-10-06,24.72,24.72,24.67,,,,,,,,
2016-10-14,22.56,22.56,22.5,22.63,23.06,,,,,,
2016-10-21,22.58,22.59,22.64,,,,,,,,
2016-10-28,22.69,22.7,22.7,22.7,,,,,,,
2016-11-03,21.52,21.51,21.5,21.5,21.5,,,,,,
2016-11-11,16.79,16.77,16.75,16.75,,,,,,,
2016-11-18,15.8,15.8,15.8,15.8,15.8,,,,,,
2016-11-22,16.15,16.17,16.2,16.16,16.15,,,,,,
2016-12-02,15.02,15.05,15.07,15.1,15.11,,,,,,
2016-12-13,15.04,15.04,15.04,15.04,15.04,,,,,,
2016-12-21,13.18,13.2,13.2,13.22,,,,,,,
2016-12-29,12.94,,,,,,,,,,
2017-01-12,12.08,12.08,12.13,12.33,,,,,,,
2017-01-26,9.53,9.53,9.53,9.54,9.54,,,,,,
2017-02-03,11.48,11.53,11.5,11.47,11.38,11.2,,,,,
2017-02-10,11.79,11.81,11.81,11.8,11.79,11.81,,,,,
2017-02-16,13.24,13.24,13.24,13.24,,13.22,,,,,
2017-02-24,13.74,13.79,13.83,13.82,13.82,,,,,,
2017-03-02,15.31,15.3,15.3,15.3,15.3,15.3,,,,,
2017-03-22,17.0,17.0,17.0,16.99,16.98,16.98,,,,,
2017-03-30,17.61,17.61,17.61,17.62,17.62,17.62,,,,,
2017-04-05,18.53,18.54,18.53,18.53,18.53,18.53,,,,,
2017-04-12,20.41,19.92,19.78,19.78,19.8,19.8,,,,,
2017-04-18,,21.63,21.66,21.63,21.55,21.44,21.33,,,,
2017-04-25,19.2,19.2,19.2,19.2,19.2,19.2,,,,,
2017-05-04,19.6,19.6,19.58,19.54,,,,,,,
2017-05-10,22.1,22.09,22.08,22.07,22.07,22.07,,,,,
2017-05-19,23.35,23.35,23.35,23.34,23.34,23.34,,,,,
2017-05-24,23.3,23.29,23.29,23.29,23.29,23.29,,,,,
2017-06-02,24.55,24.55,24.54,24.55,24.59,24.62,,,,,
2017-06-06,25.47,25.46,25.46,25.46,25.46,25.45,,,,,
2017-06-13,26.08,26.19,26.19,26.19,26.19,26.19,,,,,
2017-06-21,28.13,28.13,28.12,28.12,28.11,28.11,,,,,
2017-06-30,27.44,27.55,27.54,27.54,27.54,,,,,,
2017-07-05,26.81,26.81,26.81,26.81,26.81,26.81,,,,,
2017-07-12,28.46,28.46,28.46,28.46,28.46,28.45,,,,,
2017-07-19,28.96,28.96,28.96,28.96,28.96,28.96,,,,,
2017-07-26,29.62,29.61,29.61,29.62,29.62,29.62,,,,,
2017-08-08,31.17,31.17,31.17,31.17,31.16,31.16,,,,,
2017-08-16,27.61,27.61,27.61,27.61,27.62,27.62,,,,,
2017-08-23,28.56,28.67,28.67,28.67,28.67,28.66,,,,,
2017-08-30,27.72,27.73,27.72,27.71,27.71,27.69,,,,,
2017-09-06,27.48,27.49,27.52,27.61,27.62,27.61,,,,,
2017-09-11,26.06,26.01,25.97,25.87,25.77,25.77,,,,,
2017-09-20,25.18,25.19,25.2,25.2,25.19,25.19,,,,,
2017-09-27,24.9,24.93,24.94,24.94,24.94,24.94,,,,,
2017-10-04,25.04,25.08,25.08,25.08,25.08,25.08,,,,,
2017-10-11,24.53,24.56,24.55,24.55,24.55,24.54,,,,,
2017-10-17,23.84,23.87,23.88,23.88,23.88,23.88,,,,,
2017-10-25,22.04,22.15,22.14,22.14,22.14,22.13,,,,,
2017-11-03,21.29,21.29,21.29,21.29,21.29,21.29,,,,,
2017-11-08,18.6,18.6,18.6,18.6,18.59,18.59,,,,,
2017-11-15,16.03,16.03,16.03,16.0,15.98,15.98,,,,,
2017-11-22,15.71,15.77,16.11,16.17,16.14,16.11,,,,,
2017-11-28,15.4,15.48,15.61,15.62,15.66,15.75,,,,,
2017-12-05,12.04,12.04,12.06,12.06,12.06,12.09,,,,,
2017-12-13,12.29,12.16,12.08,12.05,12.05,12.05,,,,,
2017-12-18,11.5,11.51,11.5,11.51,11.51,11.49,,,,,
2017-12-26,11.6,11.6,11.6,11.6,11.6,11.61,,,,,
2018-01-02,11.92,11.93,11.93,11.93,11.93,11.93,,,,,
2018-01-09,11.81,11.95,12.35,12.57,12.63,12.66,,,,,
2018-01-17,11.52,11.52,11.52,11.53,11.54,11.54,,,,,
2018-01-24,12.65,12.51,12.44,12.48,12.53,12.54,,,,,
2018-01-31,12.34,12.34,12.34,12.35,12.35,12.35,,,,,
2018-02-12,10.61,10.61,10.61,10.61,10.61,10.61,,,,,
2018-02-20,13.1,13.1,12.95,12.58,12.5,12.5,,,,,
2018-02-27,12.9,12.9,12.89,12.9,12.9,,,,,,
2018-03-07,13.56,13.55,13.55,13.54,13.53,13.53,,,,,
2018-03-08,15.31,15.3,15.3,15.29,15.29,15.29,,,,,
2018-03-13,15.09,15.09,15.09,15.1,15.1,15.1,,,,,
2018-03-26,13.26,13.26,13.26,13.26,13.26,13.27,,,,,
2018-04-05,17.23,17.03,16.91,16.86,16.85,16.86,,,,,
2018-04-17,17.55,17.56,17.56,17.55,17.55,17.55,,,,,
2018-04-27,18.49,18.5,18.5,18.5,18.49,,,,,,
2018-05-02,18.75,18.74,18.75,18.75,18.75,18.75,,,,,
2018-05-11,21.68,21.68,21.68,21.68,21.68,21.68,,,,,
2018-05-16,21.62,21.62,21.62,21.62,21.62,21.62,,,,,
2018-05-22,22.94,22.94,22.95,22.95,22.94,22.93,,,,,
2018-05-30,23.93,23.94,23.94,23.94,23.94,23.93,,,,,
2018-06-08,23.95,23.93,23.88,23.83,23.83,23.83,,,,,
2018-06-12,25.04,25.04,25.05,25.06,25.08,25.07,,,,,
2018-06-20,26.56,26.56,26.57,26.56,26.55,26.55,,,,,
2018-06-26,27.52,27.52,27.52,27.52,27.52,27.51,,,,,
2018-07-04,28.14,28.14,28.14,28.14,28.14,28.14,,,,,
2018-07-10,27.91,27.99,27.99,27.99,27.99,27.98,,,,,
2018-07-19,28.19,28.23,28.23,28.24,28.24,28.23,,,,,
2018-07-24,29.14,29.17,29.17,29.17,29.17,29.17,,,,,
2018-08-03,30.23,30.23,30.23,30.22,30.22,30.22,,,,,
2018-08-09,30.71,30.71,30.71,30.71,30.72,30.72,,,,,
2018-08-14,30.12,30.13,30.13,30.13,30.13,30.13,,,,,
2018-08-23,29.04,29.03,29.03,29.03,29.03,29.03,,,,,
2018-08-29,28.87,28.87,28.87,28.87,28.87,28.87,,,,,
2018-09-04,28.61,28.63,28.63,28.63,28.64,28.64,,,,,
2018-09-13,26.6,26.65,26.66,26.68,26.79,26.88,,,,,
2018-09-20,26.94,27.0,27.0,27.0,27.0,27.0,,,,,
2018-09-25,27.52,27.51,27.51,27.51,27.51,27.52,,,,,
2018-10-03,25.14,25.14,25.14,25.15,25.15,25.15,,,,,
2018-10-10,22.66,22.88,22.96,22.98,23.01,23.03,,,,,
2018-10-17,22.13,22.12,22.12,22.12,22.09,22.08,,,,,
2018-10-24,22.15,22.16,22.15,22.11,22.08,22.07,,,,,
2018-10-31,17.21,17.2,17.2,17.13,,,,,,,
2018-11-07,16.18,16.11,16.06,15.97,15.94,15.95,,,,,
2018-11-21,16.66,16.68,16.71,16.71,16.71,16.71,,,,,
2018-11-28,15.56,15.52,15.47,15.46,15.46,15.48,,,,,
2018-12-04,14.61,14.6,14.63,14.74,14.75,14.75,,,,,
2018-12-11,14.78,14.84,14.85,14.86,14.89,14.9,,,,,
2018-12-19,13.24,13.24,13.24,13.24,13.24,13.24,,,,,
2018-12-26,12.86,13.09,13.22,13.17,13.17,13.17,,,,,
2019-01-03,12.67,12.67,12.68,12.67,12.68,12.69,,,,,
2019-01-09,12.04,12.04,12.04,12.05,12.05,12.05,,,,,
2019-01-17,11.36,11.39,11.5,11.65,11.64,11.64,,,,,
2019-01-25,10.97,10.99,11.0,11.01,11.06,11.09,,,,,
2019-02-06,10.97,10.97,10.97,10.97,10.97,10.97,,,,,
2019-02-12,12.59,12.61,12.62,12.61,12.62,12.69,,,,,
2019-02-20,13.09,13.09,13.1,13.09,13.09,13.1,,,,,
2019-02-26,14.08,14.08,14.08,14.07,14.07,14.07,,,,,
2019-03-05,15.69,15.7,15.7,15.69,15.66,15.64,,,,,
2019-03-12,16.55,16.53,16.5,16.55,16.63,16.65,,,,,
2019-03-28,15.56,15.55,15.54,15.53,15.53,15.53,,,,,
2019-04-02,15.62,15.7,15.74,15.73,15.72,15.72,,,,,
2019-04-15,18.13,18.12,18.12,18.12,18.12,18.13,,,,,
2019-04-24,16.43,16.49,16.5,16.49,16.5,16.49,,,,,
2019-04-30,19.03,19.04,19.04,19.06,19.05,19.06,,,,,
2019-05-08,21.03,21.03,21.02,21.02,21.02,21.01,,,,,
2019-05-15,23.34,23.35,23.35,23.36,23.36,,,,,,
2019-05-21,22.74,22.74,22.73,22.73,22.73,22.73,,,,,
2019-05-29,23.35,,23.5,,,,,23.44,23.5,23.5,23.5
2019-06-04,24.74,24.72,24.7,24.69,24.69,24.68,,,,,
2019-06-18,24.32,24.3,24.3,24.29,24.29,24.28,,,,,
2019-06-25,26.45,26.45,26.46,26.62,26.37,26.35,,,,,
2019-07-04,28.23,28.23,28.23,28.23,28.24,28.25,,,,,
2019-07-11,27.52,28.23,28.25,28.25,28.25,,,,,,
2019-07-19,29.19,29.19,29.19,29.19,29.19,29.2,,,,,
2019-07-26,28.37,28.43,28.64,28.69,28.71,28.7,,,,,
2019-07-30,28.67,28.68,28.67,28.67,28.67,28.67,,,,,
2019-08-06,29.19,29.19,29.21,29.22,29.21,29.21,,,,,
2019-08-14,28.81,28.8,28.8,28.8,28.8,28.8,,,,,
2019-08-22,29.1,29.11,29.19,29.01,28.76,28.75,,,,,
2019-08-29,28.08,28.05,28.18,28.19,,28.2,,,,,
2019-09-04,28.69,28.69,28.69,28.69,28.69,28.69,,,,,
2019-09-10,27.03,27.03,27.03,27.02,27.02,27.02,,,,,
2019-09-17,25.27,25.63,25.34,24.82,24.34,24.36,,,,,
2019-09-18,24.54,24.76,24.0,23.98,24.01,24.01,,,,,
2019-09-19,25.8,25.32,24.84,24.54,24.26,24.26,,,,,
2019-09-26,25.55,25.65,25.59,25.48,25.27,24.73,,,,,
2019-10-03,25.23,25.22,25.22,25.22,25.28,25.14,,,,,
2019-10-15,23.87,23.87,23.87,23.98,24.94,24.96,,,,,
2019-10-16,23.12,23.13,23.15,23.24,24.61,24.88,,,,,
2019-10-25,19.9,19.89,19.86,19.84,19.83,19.83,,,,,
2019-11-04,19.9,19.88,19.85,19.83,19.83,19.83,,,,,
2019-11-07,18.55,18.52,18.48,18.54,18.57,18.57,,,,,
2019-11-14,15.49,15.5,15.5,15.5,15.5,15.5,,,,,
2019-11-21,13.69,13.68,13.68,13.68,13.68,13.68,,,,,
2019-11-27,13.76,13.75,13.75,13.67,13.76,13.78,,,,,
2019-12-05,13.18,13.22,13.28,13.46,13.69,,,,,,
2019-12-11,13.83,13.8,13.64,13.44,13.43,13.44,,,,,
2019-12-16,13.26,13.23,13.22,13.15,13.0,12.97,,,,,
2019-12-26,13.75,13.76,13.75,13.76,13.75,13.75,,,,,
2020-01-03,13.63,13.63,13.63,13.62,13.62,13.61,,,,,
2020-01-08,12.93,12.92,12.92,12.93,12.93,12.92,,,,,
2020-01-17,11.85,11.98,11.98,11.98,11.98,11.97,,,,,
2020-01-23,10.99,11.54,11.58,11.62,11.5,11.45,,,,,
2020-01-29,12.09,12.09,12.1,12.12,12.1,12.1,,,,,
2020-02-04,13.9,13.9,13.88,13.82,13.28,13.26,,,,,
2020-02-11,14.52,14.56,14.57,14.57,14.57,14.62,,,,,
2020-02-20,15.67,15.74,15.74,15.74,15.74,15.74,,,,,
2020-02-25,15.63,15.57,15.63,15.74,15.74,15.74,,,,,
2020-03-05,16.43,16.52,16.52,16.52,16.43,16.29,,,,,
2020-03-11,16.33,16.29,16.35,16.34,16.34,,,,,,
2020-03-17,17.44,17.53,17.56,17.56,17.56,17.57,,,,,
2020-03-27,15.28,15.39,15.39,15.39,15.38,15.38,,,,,
2020-04-01,16.12,16.13,16.15,16.16,16.15,16.09,,,,,
2020-04-07,17.91,17.88,17.92,17.92,17.92,17.93,,,,,
2020-04-14,18.64,18.63,18.68,18.68,18.63,18.52,,,,,
2020-04-21,19.22,19.22,19.22,19.21,19.22,19.21,,,,,
