Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2016-08-02,,,,,,,,,,,
2016-08-04,,,,,,,,,,,
2016-08-09,,,,,,,,,,,
2016-08-25,,,,,,,,,,,
2016-08-30,,,,,,,,,,,
2016-09-06,,,,,,,,,,,
2016-09-08,,,,,,,,,,,
2016-09-22,,,,,,,,,,,
2016-09-29,,,,,,,,,,,
2016-10-06,,,,,,,,,,,
2016-10-14,,,,,,,,,,,
2016-10-21,,,,,,,,,,,
2016-10-28,,,,,,,,,,,
2016-11-03,,,,,,,,,,,
2016-11-11,,,,,,,,,,,
2016-11-18,,,,,,,,,,,
2016-11-22,,,,,,,,,,,
2016-12-02,,,,,,,,,,,
2016-12-13,,,,,,,,,,,
2016-12-21,,,,,,,,,,,
2016-12-29,,,,,,,,,,,
2017-01-12,,,,,,,,,,,
2017-01-26,,,,,,,,,,,
2017-02-03,,,,,,,,,,,
2017-02-10,,,,,,,,,,,
2017-02-16,,,,,,,,,,,
2017-02-24,,,,,,,,,,,
2017-03-02,,,,,,,,,,,
2017-03-22,251.95,140.8,132.88,139.47,124.06,92.35,,,,,
2017-03-30,297.27,131.77,87.7,65.35,49.45,38.51,,,,,
2017-04-05,210.25,85.21,87.9,104.53,94.57,72.64,,,,,
2017-04-12,537.29,194.4,228.84,278.13,289.13,294.28,,,,,
2017-04-18,,466.17,188.83,220.17,281.04,337.21,303.31,,,,
2017-04-25,187.14,93.34,73.13,54.67,39.96,28.32,,,,,
2017-05-04,1421.6,976.18,540.43,275.89,,,,,,,
2017-05-10,384.31,284.18,294.54,261.1,242.47,225.91,,,,,
2017-05-19,,,,,,,,,,,
2017-05-24,,,,,,,,,,,
2017-06-02,,,,,,,,,,,
2017-06-06,,,,,,,,,,,
2017-06-13,,,,,,,,,,,
2017-06-21,,,,,,,,,,,
2017-06-30,,,,,,,,,,,
2017-07-05,,,,,,,,,,,
2017-07-12,,,,,,,,,,,
2017-07-19,,,,,,,,,,,
2017-07-26,,,,,,,,,,,
2017-08-08,,,,,,,,,,,
2017-08-16,,,,,,,,,,,
2017-08-23,,,,,,,,,,,
2017-08-30,,,,,,,,,,,
2017-09-06,,,,,,,,,,,
2017-09-11,,,,,,,,,,,
2017-09-20,,,,,,,,,,,
2017-09-27,,,,,,,,,,,
2017-10-04,,,,,,,,,,,
2017-10-11,,,,,,,,,,,
2017-10-17,,,,,,,,,,,
2017-10-25,,,,,,,,,,,
2017-11-03,,,,,,,,,,,
2017-11-08,,,,,,,,,,,
2017-11-15,,,,,,,,,,,
2017-11-22,,,,,,,,,,,
2017-11-28,,,,,,,,,,,
2017-12-05,,,,,,,,,,,
2017-12-13,,,,,,,,,,,
