Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-1.6666666666666665,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-0.2857142857142857,profundidad_-0.5714285714285714,profundidad_-0.8571428571428571,profundidad_-1.1428571428571428,profundidad_-1.4285714285714284,profundidad_-1.7142857142857142
2016-08-02,15.69,14.32,13.93,,,,,,,,,,,,,,,,,,
2016-08-04,10.54,10.91,10.87,,,,,,,,,,,,,,,,,,
2016-08-09,12.56,11.59,11.75,,,,,,,,,,,,,,,,,,
2016-08-25,15.98,14.98,12.9,,,,,,,,,,,,,,,,,,
2016-08-30,15.38,15.42,15.48,,,,,,,,,,,,,,,,,,
2016-09-06,16.77,15.75,15.77,,,,,,,,,,,,,,,,,,
2016-09-08,14.11,11.3,13.57,,,,,,,,,,,,,,,,,,
2016-09-22,12.65,10.37,13.64,12.5,11.84,,,,,,,,,,,,,,,,
2016-09-29,11.96,11.86,13.61,13.95,11.85,,,,,,,,,,,,,,,,
2016-10-06,15.34,14.48,16.41,14.36,14.3,,,,,,,,,,,,,,,,
2016-10-14,19.1,18.14,20.44,20.68,17.5,,,,,,,,,,,,,,,,
2016-10-21,20.48,18.78,18.39,17.45,14.24,,,,,,,,,,,,,,,,
2016-10-28,18.69,17.7,17.08,16.97,16.42,,,,,,,,,,,,,,,,
2016-11-03,21.73,22.86,21.9,21.26,21.04,,,,,,,,,,,,,,,,
2016-11-11,12.37,17.39,20.3,20.1,19.91,,,,,,,,,,,,,,,,
2016-11-18,13.82,20.72,25.56,25.42,24.64,,,,,,,,,,,,,,,,
2016-11-22,6.77,19.41,28.42,29.84,30.71,,,,,,,,,,,,,,,,
2016-12-02,18.61,29.68,33.81,33.28,30.32,,,,,,,,,,,,,,,,
2016-12-13,18.66,22.69,29.24,31.25,31.45,,,,,,,,,,,,,,,,
2016-12-21,28.17,,26.28,,,23.04,24.91,,,,,,,,,,,,,,
2017-01-12,48.29,54.06,55.81,56.15,,,,55.63,,,,,,,,,,,,,
2017-01-26,38.21,40.21,41.48,41.72,41.63,,,,,,,,,,,,,,,,
2017-02-03,20.09,25.78,32.08,35.89,35.63,,,33.97,,,,,,,,,,,,,
2017-02-10,8.13,16.35,24.49,28.15,30.19,,,30.88,,,,,,,,,,,,,
2017-02-16,18.85,23.59,29.17,30.26,30.73,,,30.76,,,,,,,,,,,,,
2017-02-24,11.27,13.91,16.91,23.27,25.91,,,27.41,,,,,,,,,,,,,
2017-03-02,11.7,14.4,16.76,18.46,19.71,,,20.69,,,,,,,,,,,,,
2017-03-22,4.22,4.71,5.24,5.61,6.17,,,6.57,,,,,,,,,,,,,
2017-03-30,4.26,4.61,5.34,5.67,5.93,,,6.05,,,,,,,,,,,,,
2017-04-05,4.58,4.89,5.05,5.08,5.23,,,5.27,,,,,,,,,,,,,
2017-04-12,9.78,10.12,10.52,10.56,10.72,,,10.68,,,,,,,,,,,,,
2017-04-18,4.66,4.7,4.5,4.76,5.03,,,5.04,,,,,,,,,,,,,
2017-04-25,10.7,10.67,10.48,9.88,8.37,,,6.4,,,,,,,,,,,,,
2017-05-04,4.59,5.12,5.62,5.62,5.12,,,4.94,,,,,,,,,,,,,
2017-05-10,5.07,5.39,5.47,4.71,3.81,,,3.64,,,,,,,,,,,,,
2017-05-19,1.36,1.42,1.5,1.61,1.65,,,1.56,,,,,,,,,,,,,
2017-05-24,1.09,1.25,1.28,1.34,1.43,,,1.68,,,,,,,,,,,,,
2017-06-02,1.14,1.46,2.12,2.46,2.92,,,2.58,,,,,,,,,,,,,
2017-06-06,0.74,0.79,0.94,0.92,0.94,,,0.89,,,,,,,,,,,,,
2017-06-13,1.64,1.93,1.99,1.9,1.96,,,2.05,,,,,,,,,,,,,
2017-06-21,1.09,1.29,1.46,1.51,1.42,,,1.35,,,,,,,,,,,,,
2017-06-30,1.24,1.24,1.59,1.77,1.81,,,1.9,,,,,,,,,,,,,
2017-07-05,1.47,1.76,1.83,1.76,1.08,,,0.65,,,,,,,,,,,,,
2017-07-12,1.83,1.98,2.03,2.09,1.53,,,0.53,,,,,,,,,,,,,
2017-07-19,1.81,1.9,1.99,2.03,2.05,,,2.08,,,,,,,,,,,,,
2017-07-26,1.3,1.35,1.43,1.47,1.42,,,1.43,,,,,,,,,,,,,
2017-08-08,1.78,2.33,3.09,3.55,3.79,,,4.08,,,,,,,,,,,,,
2017-08-16,3.3,5.45,7.09,7.37,6.5,,,5.71,,,,,,,,,,,,,
2017-08-23,3.5,5.71,7.47,7.6,7.08,,,5.96,,,,,,,,,,,,,
2017-08-30,5.38,5.27,5.26,5.22,5.19,,,5.2,,,,,,,,,,,,,
2017-09-06,4.34,6.46,8.19,7.32,6.52,,,6.21,,,,,,,,,,,,,
2017-09-11,2.37,2.72,3.96,5.29,5.98,,,6.09,,,,,,,,,,,,,
2017-09-20,2.76,4.61,6.82,6.53,6.8,,,6.99,,,,,,,,,,,,,
2017-09-27,5.84,5.72,5.8,5.91,5.87,,,5.79,5.87,,,,,,,,,,,,
2017-10-04,5.16,5.46,5.83,5.87,5.85,,,5.79,5.78,,,,,,,,,,,,
