Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-1.6666666666666665,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-0.2857142857142857,profundidad_-0.5714285714285714,profundidad_-0.8571428571428571,profundidad_-1.1428571428571428,profundidad_-1.4285714285714284,profundidad_-1.7142857142857142
2016-08-02,7.21,7.18,7.2,,,,,,,,,,,,,,,,,,
2016-08-04,72.13,72.13,71.72,,,,,,,,,,,,,,,,,,
2016-08-09,72.07,72.06,71.8,,,,,,,,,,,,,,,,,,
2016-08-25,7.07,7.05,7.02,,,,,,,,,,,,,,,,,,
2016-08-30,7.2,7.17,7.17,,,,,,,,,,,,,,,,,,
2016-09-06,7.27,7.27,7.27,,,,,,,,,,,,,,,,,,
2016-09-08,7.25,7.25,7.26,,,,,,,,,,,,,,,,,,
2016-09-22,6.87,6.87,6.96,6.98,6.97,,,,,,,,,,,,,,,,
2016-09-29,6.79,6.8,6.78,6.77,6.8,,,,,,,,,,,,,,,,
2016-10-06,6.78,6.78,6.74,6.77,6.78,,,,,,,,,,,,,,,,
2016-10-14,6.57,6.57,6.53,6.52,6.61,,,,,,,,,,,,,,,,
2016-10-21,6.44,6.44,6.44,6.44,6.47,,,,,,,,,,,,,,,,
2016-10-28,6.46,6.46,6.46,6.46,6.46,,,,,,,,,,,,,,,,
2016-11-03,6.37,6.37,6.37,6.38,6.38,,,,,,,,,,,,,,,,
2016-11-11,5.89,5.9,5.9,5.89,5.89,,,,,,,,,,,,,,,,
2016-11-18,5.65,5.65,5.65,5.65,5.65,,,,,,,,,,,,,,,,
2016-11-22,5.58,5.63,5.67,5.67,5.67,,,,,,,,,,,,,,,,
2016-12-02,5.5,5.48,5.48,5.48,5.48,,,,,,,,,,,,,,,,
2016-12-13,5.43,5.44,5.44,5.44,5.44,,,,,,,,,,,,,,,,
2016-12-21,4.79,,4.81,,,4.81,4.81,,,,,,,,,,,,,,
2017-01-12,4.61,4.61,4.61,4.61,,,,4.83,,,,,,,,,,,,,
2017-01-26,4.31,4.31,4.31,4.31,4.31,,,,,,,,,,,,,,,,
2017-02-03,4.46,4.46,4.47,4.48,4.46,,,4.44,,,,,,,,,,,,,
2017-02-10,4.51,4.51,4.53,4.53,4.52,,,4.52,,,,,,,,,,,,,
2017-02-16,4.67,4.67,4.67,4.67,4.67,,,4.67,,,,,,,,,,,,,
2017-02-24,4.74,4.74,4.75,4.75,4.75,,,4.75,,,,,,,,,,,,,
2017-03-02,4.9,4.9,4.9,4.9,4.9,,,4.9,,,,,,,,,,,,,
2017-03-22,5.06,5.06,5.06,5.06,5.06,,,5.06,,,,,,,,,,,,,
2017-03-30,5.15,5.15,5.15,5.15,5.15,,,5.15,,,,,,,,,,,,,
2017-04-05,5.26,5.26,5.26,5.26,5.26,,,5.26,,,,,,,,,,,,,
2017-04-12,5.4,5.4,5.4,5.4,5.4,,,5.4,,,,,,,,,,,,,
2017-04-18,5.66,5.66,5.65,5.64,5.64,,,5.64,,,,,,,,,,,,,
2017-04-25,5.42,5.42,5.42,5.42,5.42,,,5.4,,,,,,,,,,,,,
2017-05-04,5.45,5.45,5.45,5.46,5.47,,,5.47,,,,,,,,,,,,,
2017-05-10,5.72,5.72,5.72,5.72,5.71,,,5.71,,,,,,,,,,,,,
2017-05-19,5.92,5.92,5.92,5.92,5.92,,,5.92,,,,,,,,,,,,,
2017-05-24,5.93,5.93,5.93,5.93,5.93,,,5.93,,,,,,,,,,,,,
2017-06-02,6.16,6.16,6.15,6.15,6.15,,,6.15,,,,,,,,,,,,,
2017-06-06,6.28,6.28,6.28,6.28,6.27,,,6.27,,,,,,,,,,,,,
2017-06-13,6.39,6.39,6.39,6.39,6.39,,,6.39,,,,,,,,,,,,,
2017-06-21,6.63,6.63,6.63,6.63,6.63,,,6.63,,,,,,,,,,,,,
2017-06-30,6.56,6.61,6.61,6.61,6.61,,,6.61,,,,,,,,,,,,,
2017-07-05,6.48,6.48,6.49,6.51,6.59,,,6.61,,,,,,,,,,,,,
2017-07-12,6.72,6.72,6.72,6.72,6.72,,,6.73,,,,,,,,,,,,,
2017-07-19,6.84,6.84,6.84,6.84,6.84,,,6.84,,,,,,,,,,,,,
2017-07-26,6.99,6.99,6.99,6.99,6.99,,,6.99,,,,,,,,,,,,,
2017-08-08,7.24,7.21,7.2,7.19,7.19,,,7.19,,,,,,,,,,,,,
2017-08-16,6.85,6.81,6.81,6.83,6.84,,,6.84,,,,,,,,,,,,,
2017-08-23,6.99,6.98,6.97,6.96,6.96,,,6.96,,,,,,,,,,,,,
2017-08-30,6.85,6.85,6.85,6.85,6.85,,,6.85,,,,,,,,,,,,,
2017-09-06,6.79,6.78,6.76,6.76,6.79,,,6.85,,,,,,,,,,,,,
2017-09-11,6.63,6.64,6.64,6.64,6.65,,,6.65,,,,,,,,,,,,,
2017-09-20,6.92,6.89,6.86,6.86,6.86,,,6.86,,,,,,,,,,,,,
2017-09-27,6.45,6.47,6.48,6.51,6.55,,,6.56,6.56,,,,,,,,,,,,
2017-10-04,6.53,6.54,6.54,6.54,6.54,,,6.54,6.54,,,,,,,,,,,,
2017-10-11,6.44,6.45,6.45,6.48,6.5,,,6.51,6.51,,,,,,,,,,,,
2017-10-17,6.4,6.41,6.41,6.41,6.41,,,6.41,6.41,,,,,,,,,,,,
2017-10-25,6.12,6.18,6.18,6.18,6.18,,,6.18,,,,,,,,,,,,,
2017-11-03,6.03,6.03,6.03,6.04,6.09,,,6.11,,,,,,,,,,,,,
2017-11-08,5.82,5.78,5.77,5.77,5.77,,,5.77,,,,,,,,,,,,,
2017-11-15,5.43,5.43,5.43,5.43,5.43,,,5.44,,,,,,,,,,,,,
2017-11-22,5.36,5.36,5.39,5.42,5.42,,,5.42,,,,,,,,,,,,,
2017-11-28,5.36,5.36,5.36,5.36,5.37,,,5.37,,,,,,,,,,,,,
2017-12-05,4.95,4.95,4.94,4.94,4.94,,,4.94,,,,,,,,,,,,,
2017-12-13,4.91,4.91,4.92,4.92,4.94,,,4.97,,,,,,,,,,,,,
2017-12-18,4.87,4.86,4.86,4.86,4.86,,,4.87,,,,,,,,,,,,,
2017-12-26,4.89,4.88,4.88,4.88,4.89,,,4.92,,,,,,,,,,,,,
2018-01-02,4.94,4.94,4.94,4.94,4.94,,,4.94,,,,,,,,,,,,,
2018-01-09,4.85,4.95,4.97,4.97,4.97,,,4.97,,,,,,,,,,,,,
2018-01-17,4.82,4.82,4.82,4.82,4.82,,,4.82,,,,,,,,,,,,,
2018-01-24,4.9,4.93,4.96,4.94,4.93,,,4.94,,,,,,,,,,,,,
2018-01-31,4.9,4.9,4.9,4.89,4.89,,,4.89,,,,,,,,,,,,,
2018-02-12,4.66,4.66,4.66,4.66,4.65,,,4.65,,,,,,,,,,,,,
2018-02-20,4.9,4.9,4.9,4.89,4.88,,,4.87,,,,,,,,,,,,,
2018-02-27,4.81,4.82,4.83,4.85,4.86,,,4.87,,,,,,,,,,,,,
2018-03-07,4.92,4.92,4.92,4.92,4.92,,,4.95,,,,,,,,,,,,,
2018-03-08,4.95,4.95,4.95,4.95,4.95,,,4.95,,,,,,,,,,,,,
2018-03-13,5.14,5.14,5.14,5.15,5.18,,,5.18,,,,,,,,,,,,,
2018-03-26,4.93,4.93,4.93,4.93,4.93,,,4.93,,,,,,,,,,,,,
2018-04-05,5.39,5.39,5.39,5.39,5.37,,,5.37,,,,,,,,,,,,,
2018-04-17,5.41,5.41,5.42,5.43,5.44,,,5.44,,,,,,,,,,,,,
2018-04-27,5.58,5.58,5.58,5.58,5.58,,,5.58,,,,,,,,,,,,,
2018-05-02,5.65,5.65,5.65,5.65,5.65,,,5.65,,,,,,,,,,,,,
2018-05-11,5.95,5.95,5.95,5.95,5.96,,,5.98,,,,,,,,,,,,,
2018-05-16,5.99,5.99,5.99,5.99,5.99,,,5.99,,,,,,,,,,,,,
2018-05-22,6.21,6.18,6.18,6.18,6.17,,,6.17,,,,,,,,,,,,,
2018-05-30,6.32,6.32,6.32,6.32,6.32,,,6.32,,,,,,,,,,,,,
2018-06-08,6.33,6.36,6.36,6.36,6.36,,,6.36,,,,,,,,,,,,,
2018-06-12,6.43,6.43,6.43,6.43,6.43,,,6.43,,,,,,,,,,,,,
2018-06-20,6.66,6.66,6.66,6.66,6.66,,,6.68,,,,,,,,,,,,,
2018-06-26,6.83,6.83,6.83,6.83,6.84,,,6.84,,,,,,,,,,,,,
2018-07-04,6.89,6.89,6.9,6.9,6.92,,,6.92,,,,,,,,,,,,,
2018-07-10,6.94,6.94,6.94,6.94,6.94,,,6.94,,,,,,,,,,,,,
2018-07-19,7.0,7.01,7.01,7.01,7.01,,,7.01,,,,,,,,,,,,,
2018-07-24,7.12,7.14,7.14,7.14,7.14,,,7.14,7.14,,,,,,,,,,,,
2018-08-03,7.33,7.33,7.33,7.33,7.33,,,7.33,,,,,,,,,,,,,
