Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-1.6666666666666665,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-0.2857142857142857,profundidad_-0.5714285714285714,profundidad_-0.8571428571428571,profundidad_-1.1428571428571428,profundidad_-1.4285714285714284,profundidad_-1.7142857142857142
2016-08-02,5.53,4.62,5.15,,,,,,,,,,,,,,,,,,
2016-08-04,5.57,5.56,4.36,,,,,,,,,,,,,,,,,,
2016-08-09,5.6,5.61,4.71,,,,,,,,,,,,,,,,,,
2016-08-25,5.85,5.67,4.55,,,,,,,,,,,,,,,,,,
2016-08-30,5.92,4.91,4.92,,,,,,,,,,,,,,,,,,
2016-09-06,5.59,5.6,5.32,,,,,,,,,,,,,,,,,,
2016-09-08,5.51,5.49,5.51,,,,,,,,,,,,,,,,,,
2016-09-22,6.16,5.44,6.11,5.79,5.46,,,,,,,,,,,,,,,,
2016-09-29,5.35,5.39,4.81,4.58,5.45,,,,,,,,,,,,,,,,
2016-10-06,5.53,5.53,4.81,5.55,5.56,,,,,,,,,,,,,,,,
2016-10-14,5.33,5.37,4.78,4.53,5.16,,,,,,,,,,,,,,,,
2016-10-21,6.32,6.32,6.3,6.33,5.99,,,,,,,,,,,,,,,,
2016-10-28,5.97,5.97,5.98,5.97,5.97,,,,,,,,,,,,,,,,
2016-11-03,5.47,5.5,5.47,5.49,5.47,,,,,,,,,,,,,,,,
2016-11-11,5.1,5.11,5.1,5.11,5.14,,,,,,,,,,,,,,,,
2016-11-18,6.66,6.67,6.66,6.67,6.66,,,,,,,,,,,,,,,,
2016-11-22,7.07,7.27,7.1,6.85,6.7,,,,,,,,,,,,,,,,
2016-12-02,7.18,7.15,7.07,6.96,6.87,,,,,,,,,,,,,,,,
2016-12-13,7.03,7.3,7.3,7.32,7.33,,,,,,,,,,,,,,,,
2016-12-21,6.55,,7.27,,,7.16,7.25,,,,,,,,,,,,,,
2017-01-12,8.7,8.67,8.64,8.57,,,,8.37,,,,,,,,,,,,,
2017-01-26,8.57,8.58,8.57,8.58,8.55,,,,,,,,,,,,,,,,
2017-02-03,8.52,8.66,8.8,8.88,8.42,,,7.84,,,,,,,,,,,,,
2017-02-10,8.04,8.27,8.38,8.3,8.24,,,8.22,,,,,,,,,,,,,
