Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-1.6666666666666665,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-0.2857142857142857,profundidad_-0.5714285714285714,profundidad_-0.8571428571428571,profundidad_-1.1428571428571428,profundidad_-1.4285714285714284,profundidad_-1.7142857142857142
2016-08-02,45.68,45.54,45.63,,,,,,,,,,,,,,,,,,
2016-08-04,45.6,45.6,45.45,,,,,,,,,,,,,,,,,,
2016-08-09,45.75,45.75,45.61,,,,,,,,,,,,,,,,,,
2016-08-25,45.97,45.94,45.8,,,,,,,,,,,,,,,,,,
2016-08-30,46.11,46.02,46.0,,,,,,,,,,,,,,,,,,
2016-09-06,46.27,46.27,46.24,,,,,,,,,,,,,,,,,,
2016-09-08,46.01,46.0,46.04,,,,,,,,,,,,,,,,,,
2016-09-22,46.34,46.28,46.71,46.89,46.91,,,,,,,,,,,,,,,,
2016-09-29,46.52,46.56,46.41,46.38,46.55,,,,,,,,,,,,,,,,
2016-10-06,46.57,46.57,46.36,46.56,46.57,,,,,,,,,,,,,,,,
2016-10-14,46.23,46.23,45.96,45.85,46.4,,,,,,,,,,,,,,,,
2016-10-21,46.19,46.19,46.19,46.2,46.26,,,,,,,,,,,,,,,,
2016-10-28,46.15,46.15,46.16,46.16,46.17,,,,,,,,,,,,,,,,
2016-11-03,46.43,46.43,46.43,46.44,46.43,,,,,,,,,,,,,,,,
2016-11-11,46.58,46.58,46.58,46.58,46.58,,,,,,,,,,,,,,,,
2016-11-18,46.62,46.62,46.62,46.62,46.62,,,,,,,,,,,,,,,,
2016-11-22,45.07,45.97,46.45,46.51,46.54,,,,,,,,,,,,,,,,
2016-12-02,45.95,45.94,45.95,45.95,45.99,,,,,,,,,,,,,,,,
2016-12-13,45.49,45.54,45.54,45.54,45.54,,,,,,,,,,,,,,,,
2016-12-21,41.7,,41.87,,,41.86,41.87,,,,,,,,,,,,,,
2017-01-12,40.84,40.84,40.84,40.85,,,,42.33,,,,,,,,,,,,,
2017-01-26,40.61,40.61,40.61,40.61,40.61,,,,,,,,,,,,,,,,
2017-02-03,40.28,40.32,40.41,40.46,40.59,,,40.6,,,,,,,,,,,,,
2017-02-10,39.58,39.86,40.37,40.44,40.45,,,40.45,,,,,,,,,,,,,
2017-02-16,40.29,40.28,40.29,40.29,40.29,,,40.29,,,,,,,,,,,,,
2017-02-24,40.35,40.39,40.44,40.48,40.49,,,40.49,,,,,,,,,,,,,
2017-03-02,40.41,40.41,40.41,40.41,40.41,,,40.41,,,,,,,,,,,,,
2017-03-22,40.31,40.31,40.31,40.31,40.31,,,40.31,,,,,,,,,,,,,
2017-03-30,40.42,40.42,40.42,40.42,40.42,,,40.42,,,,,,,,,,,,,
2017-04-05,40.41,40.41,40.41,40.41,40.41,,,40.41,,,,,,,,,,,,,
2017-04-12,40.58,40.58,40.58,40.58,40.58,,,40.58,,,,,,,,,,,,,
