Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-1.6666666666666665,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-0.2857142857142857,profundidad_-0.5714285714285714,profundidad_-0.8571428571428571,profundidad_-1.1428571428571428,profundidad_-1.4285714285714284,profundidad_-1.7142857142857142
2016-08-02,28.78,28.67,28.71,,,,,,,,,,,,,,,,,,
2016-08-04,28.85,28.85,28.71,,,,,,,,,,,,,,,,,,
2016-08-09,28.65,28.65,28.6,,,,,,,,,,,,,,,,,,
2016-08-25,27.37,27.31,27.22,,,,,,,,,,,,,,,,,,
2016-08-30,28.24,28.11,28.11,,,,,,,,,,,,,,,,,,
2016-09-06,28.6,28.6,28.6,,,,,,,,,,,,,,,,,,
2016-09-08,28.74,28.74,28.75,,,,,,,,,,,,,,,,,,
2016-09-22,25.58,25.58,25.89,25.84,25.72,,,,,,,,,,,,,,,,
2016-09-29,24.79,24.8,24.77,24.76,24.8,,,,,,,,,,,,,,,,
2016-10-06,24.65,24.65,24.57,24.61,24.63,,,,,,,,,,,,,,,,
2016-10-14,23.38,23.39,23.34,23.33,23.51,,,,,,,,,,,,,,,,
2016-10-21,22.4,22.41,22.42,22.45,22.57,,,,,,,,,,,,,,,,
2016-10-28,22.61,22.61,22.61,22.62,22.62,,,,,,,,,,,,,,,,
2016-11-03,21.7,21.7,21.71,21.71,21.71,,,,,,,,,,,,,,,,
2016-11-11,17.87,17.88,17.87,17.86,17.86,,,,,,,,,,,,,,,,
2016-11-18,15.93,15.93,15.93,15.93,15.93,,,,,,,,,,,,,,,,
2016-11-22,16.68,16.33,16.22,16.16,16.16,,,,,,,,,,,,,,,,
2016-12-02,15.26,15.14,15.1,15.09,15.13,,,,,,,,,,,,,,,,
2016-12-13,15.14,15.15,15.15,15.15,15.15,,,,,,,,,,,,,,,,
2016-12-21,13.02,,13.06,,,13.05,13.06,,,,,,,,,,,,,,
2017-01-12,12.16,12.16,12.17,12.19,,,,12.82,,,,,,,,,,,,,
2017-01-26,9.65,9.65,9.65,9.65,9.65,,,,,,,,,,,,,,,,
2017-02-03,11.31,11.28,11.3,11.36,11.05,,,10.85,,,,,,,,,,,,,
2017-02-10,12.42,12.2,11.86,11.77,11.72,,,11.7,,,,,,,,,,,,,
