Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-1.6666666666666665,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-0.2857142857142857,profundidad_-0.5714285714285714,profundidad_-0.8571428571428571,profundidad_-1.1428571428571428,profundidad_-1.4285714285714284,profundidad_-1.7142857142857142
2016-08-02,4.5,4.76,4.91,,,,,,,,,,,,,,,,,,
2016-08-04,3.88,3.96,3.97,,,,,,,,,,,,,,,,,,
2016-08-09,3.76,3.76,4.04,,,,,,,,,,,,,,,,,,
2016-08-25,4.77,4.64,4.96,,,,,,,,,,,,,,,,,,
2016-08-30,5.0,4.98,4.89,,,,,,,,,,,,,,,,,,
2016-09-06,3.6,3.5,4.0,,,,,,,,,,,,,,,,,,
2016-09-08,3.56,3.68,3.92,,,,,,,,,,,,,,,,,,
2016-09-22,5.97,6.71,6.98,7.45,7.71,,,,,,,,,,,,,,,,
2016-09-29,6.05,6.72,6.53,6.82,6.78,,,,,,,,,,,,,,,,
2016-10-06,5.14,5.24,5.85,5.83,5.7,,,,,,,,,,,,,,,,
2016-10-14,5.27,5.24,5.79,5.88,5.96,,,,,,,,,,,,,,,,
2016-10-21,4.96,5.06,5.15,5.18,5.16,,,,,,,,,,,,,,,,
2016-10-28,5.08,4.98,5.2,5.55,5.53,,,,,,,,,,,,,,,,
2016-11-03,6.22,6.2,6.24,6.39,6.46,,,,,,,,,,,,,,,,
2016-11-11,5.18,5.35,5.41,5.07,4.94,,,,,,,,,,,,,,,,
2016-11-18,5.65,5.78,5.52,5.59,5.69,,,,,,,,,,,,,,,,
2016-11-22,5.74,5.9,6.29,5.54,5.86,,,,,,,,,,,,,,,,
2016-12-02,3.46,3.57,3.68,3.67,3.52,,,,,,,,,,,,,,,,
2016-12-13,3.78,3.78,3.72,3.77,3.79,,,,,,,,,,,,,,,,
2016-12-21,7.61,,7.73,,,8.04,8.04,,,,,,,,,,,,,,
2017-01-12,4.45,4.56,4.61,4.53,,,,4.4,,,,,,,,,,,,,
2017-01-26,4.55,4.63,4.72,4.96,5.02,,,,,,,,,,,,,,,,
2017-02-03,3.27,3.56,3.88,3.96,4.11,,,3.63,,,,,,,,,,,,,
2017-02-10,3.56,3.47,4.03,3.91,3.84,,,3.88,,,,,,,,,,,,,
2017-02-16,5.92,5.58,5.68,5.69,5.7,,,5.45,,,,,,,,,,,,,
2017-02-24,2.89,2.84,2.65,2.5,2.78,,,2.94,,,,,,,,,,,,,
2017-03-02,2.27,2.19,2.22,2.28,2.29,,,2.33,,,,,,,,,,,,,
2017-03-22,1.76,1.76,1.79,1.83,1.68,,,1.8,,,,,,,,,,,,,
2017-03-30,1.32,1.38,1.53,1.46,1.48,,,1.43,,,,,,,,,,,,,
2017-04-05,1.54,1.52,1.71,1.63,1.55,,,1.64,,,,,,,,,,,,,
2017-04-12,1.66,1.59,1.63,1.65,1.66,,,1.67,,,,,,,,,,,,,
2017-04-18,0.93,0.87,1.04,1.33,1.78,,,1.81,,,,,,,,,,,,,
2017-04-25,1.56,1.59,1.61,1.56,1.52,,,1.13,,,,,,,,,,,,,
2017-05-04,0.97,1.09,1.01,1.0,0.94,,,0.91,,,,,,,,,,,,,
2017-05-10,0.98,0.93,1.04,1.01,1.09,,,1.69,,,,,,,,,,,,,
2017-05-19,1.01,1.09,1.17,1.08,1.27,,,1.2,,,,,,,,,,,,,
