Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.5,profundidad_-1.5,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-6.0
2016-06-29,14.65,14.83,8.92,12.23,12.9,,,,,,,,
2016-08-02,11.17,13.29,12.46,,,,,,,,,,
2016-08-04,7.95,7.14,7.03,,,,,,,,,,
2016-08-09,8.48,9.2,7.58,,,,,,,,,,
2016-08-25,16.52,,,,,,,,,,,,
2016-08-26,,16.76,,,,,,,,,,,
2016-08-27,,,11.11,,,,,,,,,,
2016-08-30,12.42,12.25,12.24,,,,,,,,,,
2016-09-06,12.07,12.18,10.1,,,,,,,,,,
2016-09-08,14.72,17.37,12.38,,,,,,,,,,
2016-09-22,11.3,8.8,10.23,12.49,11.44,,,,,,,,
2016-10-06,13.88,12.81,9.73,13.66,11.63,,,,,,,,
2016-10-14,17.92,22.99,14.28,14.0,20.59,,,,,,,,
2016-10-21,10.5,9.9,9.7,9.56,9.67,,,,,,,,
2016-10-28,9.52,12.57,15.3,19.25,17.43,,,,,,,,
2016-11-03,20.76,22.53,22.53,22.48,20.74,,,,,,,,
2016-11-11,12.16,18.09,23.09,19.91,19.33,,,,,,,,
2016-11-18,19.51,24.55,26.66,24.98,25.75,,,,,,,,
2016-11-22,9.75,18.3,29.14,30.82,30.8,,,,,,,,
2016-12-02,10.53,21.92,28.81,31.51,31.33,,,,,,,,
2016-12-13,7.21,12.32,20.03,22.4,23.67,,,,,,,,
2016-12-21,,4.51,,,,,,,,,,,
2017-01-12,18.59,29.23,42.68,49.2,52.71,,,,,,,,
2017-01-26,33.58,34.7,35.59,35.78,35.76,,,,,,,,
2017-02-03,17.48,21.07,24.75,25.98,31.35,,,,,,,,
2017-02-10,3.92,6.14,9.76,12.59,13.37,,,,,,,,
2017-02-16,5.02,6.44,9.86,11.53,14.16,,,,,,,,
2017-02-24,8.29,11.17,14.66,17.73,18.53,,,,,,,,
2017-03-02,4.17,5.2,7.28,10.19,10.29,9.34,,,,,,,
2017-03-22,3.35,3.52,3.69,4.37,4.52,,,,,,,,
2017-03-30,3.78,3.99,4.49,4.54,4.52,,,,,,,,
2017-04-05,2.95,3.08,3.17,3.27,3.35,,,,,,,,
2017-04-12,5.23,5.31,5.42,5.38,5.35,,,,,,,,
2017-04-18,5.43,5.61,7.18,,,,5.52,6.04,,,,,
2017-04-25,5.02,5.43,5.26,4.33,4.44,,,,,,,,
2017-05-04,5.11,,4.83,,,,,,3.7,3.78,4.02,4.15,
2017-05-10,,5.46,5.62,4.76,4.15,,,,,,,,
2017-05-19,0.97,1.18,1.45,1.59,1.4,,,,,,,,
2017-05-24,0.51,0.59,0.57,0.57,0.64,,,,,,,,
2017-06-02,0.53,0.59,0.69,0.9,1.04,,,,,,,,
2017-06-06,0.68,1.02,1.17,1.31,1.33,,,,,,,,
2017-06-13,0.75,0.98,1.37,1.58,2.98,,,,,,,,
2017-06-21,1.75,2.04,2.55,2.76,2.72,,,,,,,,
2017-06-30,1.05,1.29,1.53,1.84,2.14,,,,,,,,
2017-07-05,1.08,1.14,1.24,1.33,1.28,,,,,,,,
2017-07-12,1.21,1.4,2.04,2.76,3.41,,,,,,,,
2017-07-19,1.41,2.01,1.6,1.53,1.68,,,,,,,,
2017-07-26,1.13,1.56,2.07,2.29,2.39,,,,,,,,
2017-08-08,3.37,4.29,5.03,5.06,4.07,,,,,,,,
2017-08-16,3.07,4.13,5.2,4.43,4.02,,,,,,,,
2017-08-23,3.37,5.23,7.27,8.23,7.51,,,,,,,,
2017-08-30,6.03,5.77,5.33,5.02,5.02,,,,,,,,
2017-09-06,4.97,7.39,8.6,6.56,5.66,,,,,,,,
2017-09-11,2.27,2.85,4.45,5.39,6.03,,,,,,,,
2017-09-20,2.93,5.27,7.6,8.91,8.52,8.54,,,,,,,
2017-09-27,4.03,4.27,5.29,5.55,5.42,,,,,,,,
2017-10-04,3.14,3.72,5.21,5.55,5.23,5.15,,,,,,,
2017-10-11,3.07,4.23,6.03,6.37,6.06,5.92,,,,,,,
2017-10-17,2.7,3.82,4.75,5.04,4.8,3.98,,,,,,,
2017-10-25,1.96,3.11,4.41,4.74,4.5,,,,,,,,
2017-11-03,6.81,9.11,9.17,7.6,6.27,,,,,,,,
2017-11-08,3.64,5.27,5.84,5.59,5.7,,,,,,,,
2017-11-15,3.22,4.8,5.25,4.97,5.0,,,,,,,,
2017-11-22,2.09,2.68,3.18,3.48,3.55,,,,,,,,
2017-11-28,2.79,3.66,3.76,3.87,3.91,,,,,,,,
2017-12-05,1.42,1.62,2.21,2.86,3.18,,,,,,,,
2017-12-13,2.78,2.88,3.09,3.28,3.11,,,,,,,,
2017-12-18,2.28,2.91,3.2,3.34,3.37,,,,,,,,
2017-12-26,0.82,1.41,1.87,1.95,2.01,,,,,,,,
2018-01-02,2.64,3.87,6.17,6.13,5.66,,,,,,,,
2018-01-09,1.57,2.23,3.4,4.24,4.06,,,,,,,,
2018-01-17,2.03,2.81,3.77,4.35,4.57,,,,,,,,
2018-01-24,1.01,1.47,2.1,3.07,3.97,,,,,,,,
2018-01-31,1.47,1.81,2.7,3.53,4.88,,,,,,,,
2018-02-12,2.96,3.83,5.39,7.08,7.79,,,,,,,,
2018-02-20,1.77,2.34,3.57,5.48,6.81,,,,,,,,
2018-02-27,4.3,5.22,6.54,7.29,7.65,,,,,,,,
2018-03-07,1.93,2.36,3.86,5.18,6.03,,,,,,,,
2018-03-08,2.56,2.77,3.88,4.85,5.66,,,,,,,,
2018-03-13,1.98,2.28,2.68,3.49,4.18,,,,,,,,
2018-03-26,0.75,1.08,1.46,2.17,3.06,,,,,,,,
2018-04-05,1.82,1.98,2.2,2.92,2.8,,,,,,,,
2018-04-17,0.84,1.11,1.27,1.51,1.67,1.77,,,,,,,
2018-04-27,0.91,1.35,1.88,2.04,2.22,,,,,,,,
2018-05-02,0.74,1.01,1.62,1.87,2.31,,,,,,,,
2018-05-11,0.72,0.84,1.12,1.38,1.69,,,,,,,,
2018-05-16,1.41,1.77,2.42,3.02,2.95,,,,,,,,
2018-05-22,0.63,0.86,0.91,0.89,0.92,,,,,,,,
2018-05-30,0.71,0.84,0.94,0.78,0.73,,,,,,,,
2018-06-08,0.41,0.49,0.48,0.5,0.57,,,,,,,,
2018-06-12,0.57,0.7,0.86,1.02,0.84,,,,,,,,
2018-06-20,0.61,0.62,0.54,0.53,0.51,,,,,,,,
2018-06-26,0.55,0.77,1.0,0.84,0.67,,,,,,,,
2018-07-04,2.22,2.95,4.62,5.95,5.14,,,,,,,,
2018-07-10,1.5,2.14,2.49,1.73,1.82,,,,,,,,
2018-07-19,0.53,0.8,1.16,1.22,0.87,,,,,,,,
2018-07-24,0.56,0.67,0.81,1.22,1.73,,,,,,,,
2018-08-03,0.99,1.1,1.38,1.81,2.53,2.92,,,,,,,
2018-08-09,0.63,0.74,0.85,0.97,0.99,,,,,,,,
2018-08-14,0.64,0.79,0.95,0.9,0.81,,,,,,,,
2018-08-23,0.57,0.82,1.39,1.02,0.86,,,,,,,,
2018-08-29,0.52,0.59,0.77,0.88,0.8,,,,,,,,
2018-09-04,0.39,0.55,0.7,0.87,0.92,,,,,,,,
2018-09-13,0.55,0.76,1.01,1.03,0.71,,,,,,,,
2018-09-20,0.78,0.87,1.09,1.23,1.25,,,,,,,,
2018-09-25,0.55,0.61,0.73,1.02,1.08,,,,,,,,
2018-10-03,0.16,0.22,0.26,0.24,0.23,,,,,,,,
2018-10-10,0.29,0.48,0.8,0.72,0.52,,,,,,,,
2018-10-17,0.55,0.68,0.91,1.05,1.15,,,,,,,,
2018-10-24,0.29,0.48,0.81,0.91,0.85,,,,,,,,
2018-10-31,0.58,0.78,1.03,1.16,1.21,,,,,,,,
2018-11-07,0.86,1.2,1.48,1.66,1.4,,,,,,,,
2018-11-21,1.11,1.06,1.29,1.42,1.25,,,,,,,,
2018-11-28,1.86,2.41,3.12,3.43,3.59,,,,,,,,
2018-12-04,1.04,1.33,1.45,1.54,1.56,,,,,,,,
2018-12-11,0.56,0.76,0.8,0.57,0.58,,,,,,,,
2018-12-19,0.51,0.59,0.64,0.68,0.7,,,,,,,,
2018-12-26,0.34,0.42,0.46,0.46,0.45,,,,,,,,
2019-01-03,0.46,0.52,0.55,0.57,0.62,,,,,,,,
2019-01-09,0.42,0.52,0.63,0.62,0.49,,,,,,,,
