Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.5,profundidad_-1.5,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-6.0
2016-06-29,6.87,6.87,6.86,6.87,6.88,,,,,,,,
2016-08-02,72.37,72.3,72.19,,,,,,,,,,
2016-08-04,73.43,72.9,72.99,,,,,,,,,,
2016-08-09,72.19,72.37,72.39,,,,,,,,,,
2016-08-25,6.92,,,,,,,,,,,,
2016-08-26,,7.14,,,,,,,,,,,
2016-08-27,,,7.1,,,,,,,,,,
2016-08-30,7.17,7.17,7.14,,,,,,,,,,
2016-09-06,7.25,7.24,7.24,,,,,,,,,,
2016-09-08,7.07,7.3,7.32,,,,,,,,,,
2016-09-22,6.75,6.9,6.9,6.9,6.88,,,,,,,,
2016-10-06,6.79,6.83,6.82,6.83,6.83,,,,,,,,
2016-10-14,6.08,6.2,6.16,6.39,6.63,,,,,,,,
2016-10-21,6.46,6.53,6.53,6.54,6.56,,,,,,,,
2016-10-28,6.54,6.53,6.5,6.5,6.52,,,,,,,,
2016-11-03,6.23,6.37,6.39,6.38,6.38,,,,,,,,
2016-11-11,5.65,5.67,5.76,5.81,5.85,,,,,,,,
2016-11-18,5.62,5.64,5.65,5.64,5.65,,,,,,,,
2016-11-22,5.45,5.61,5.65,5.65,5.65,,,,,,,,
2016-12-02,5.4,5.49,5.48,5.49,5.49,,,,,,,,
2016-12-13,5.2,5.43,5.49,5.49,5.48,,,,,,,,
2016-12-21,,4.84,,,,,,,,,,,
2017-01-12,4.52,4.53,4.56,4.59,4.63,,,,,,,,
2017-01-26,4.35,4.35,4.35,4.35,4.35,,,,,,,,
2017-02-03,4.47,4.47,4.47,4.47,4.48,,,,,,,,
2017-02-10,4.47,4.48,4.5,4.51,4.51,,,,,,,,
2017-02-16,4.68,4.68,4.68,4.68,4.68,,,,,,,,
2017-02-24,4.71,4.75,4.75,4.75,4.75,,,,,,,,
2017-03-02,4.9,4.91,4.91,4.91,4.94,4.95,,,,,,,
2017-03-22,5.04,5.09,5.09,5.09,5.09,,,,,,,,
2017-03-30,5.13,5.13,5.14,5.14,5.14,,,,,,,,
2017-04-05,5.18,5.23,5.27,5.27,5.27,,,,,,,,
2017-04-12,5.38,5.37,5.37,5.37,5.37,,,,,,,,
2017-04-18,5.55,5.6,5.64,,,,5.58,5.62,,,,,
2017-04-25,5.38,5.38,5.38,5.38,5.38,,,,,,,,
2017-05-04,5.6,,5.45,,,,,,5.46,5.46,5.46,5.45,
2017-05-10,,5.73,5.76,5.76,5.75,,,,,,,,
2017-05-19,5.71,5.87,5.89,5.9,5.9,,,,,,,,
2017-05-24,5.92,5.92,5.92,5.93,5.93,,,,,,,,
2017-06-02,6.16,6.16,6.16,6.16,6.17,,,,,,,,
2017-06-06,6.25,6.28,6.31,6.31,6.31,,,,,,,,
2017-06-13,6.38,6.43,6.41,6.41,6.41,,,,,,,,
2017-06-21,6.66,6.66,6.66,6.66,6.66,,,,,,,,
2017-06-30,6.39,6.4,6.4,6.36,6.33,,,,,,,,
2017-07-05,6.49,6.58,6.6,6.6,6.6,,,,,,,,
2017-07-12,6.75,6.75,6.75,6.75,6.76,,,,,,,,
2017-07-19,6.61,6.78,6.9,6.9,6.9,,,,,,,,
2017-07-26,6.96,6.99,7.0,7.01,7.02,,,,,,,,
2017-08-08,7.16,7.22,7.22,7.24,7.24,,,,,,,,
2017-08-16,6.82,6.81,6.81,6.82,6.83,,,,,,,,
2017-08-23,6.87,6.94,6.96,6.95,6.96,,,,,,,,
2017-08-30,6.81,6.84,6.88,6.91,6.92,,,,,,,,
2017-09-06,6.83,6.83,6.84,6.84,6.82,,,,,,,,
2017-09-11,6.51,6.52,6.54,6.58,6.59,,,,,,,,
2017-09-20,6.86,6.87,6.88,6.9,6.91,6.91,,,,,,,
2017-09-27,6.56,6.57,6.57,6.55,6.54,,,,,,,,
2017-10-04,6.54,6.53,6.52,6.54,6.53,6.52,,,,,,,
2017-10-11,6.5,6.54,6.55,6.53,6.53,6.53,,,,,,,
