Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.5,profundidad_-1.5,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-6.0
2016-06-29,5.34,5.3,4.64,5.33,5.2,,,,,,,,
2016-08-02,5.49,5.46,4.57,,,,,,,,,,
2016-08-04,4.13,4.42,4.49,,,,,,,,,,
2016-08-09,4.58,4.34,3.89,,,,,,,,,,
2016-08-25,5.34,,,,,,,,,,,,
2016-08-26,,5.27,,,,,,,,,,,
2016-08-27,,,4.46,,,,,,,,,,
2016-08-30,3.79,3.65,2.9,,,,,,,,,,
2016-09-06,4.44,4.36,4.05,,,,,,,,,,
2016-09-08,5.33,4.47,4.16,,,,,,,,,,
2016-09-22,5.94,5.15,5.0,5.32,4.85,,,,,,,,
2016-10-06,5.04,4.88,4.63,4.78,4.33,,,,,,,,
2016-10-14,5.96,5.77,5.47,5.13,5.45,,,,,,,,
2016-10-21,4.08,4.04,3.96,3.71,3.49,,,,,,,,
2016-10-28,5.08,5.01,4.86,4.74,4.89,,,,,,,,
2016-11-03,5.61,5.45,5.46,5.18,5.16,,,,,,,,
2016-11-11,5.7,5.68,5.62,5.43,5.25,,,,,,,,
2016-11-18,7.24,7.19,7.22,7.21,6.91,,,,,,,,
2016-11-22,7.06,7.22,7.15,7.06,7.03,,,,,,,,
2016-12-02,7.15,7.15,7.08,6.99,6.86,,,,,,,,
2016-12-13,6.87,7.25,7.2,7.09,7.05,,,,,,,,
2016-12-21,,6.97,,,,,,,,,,,
2017-01-12,8.24,8.24,8.4,8.44,8.17,,,,,,,,
2017-01-26,8.49,8.48,8.48,8.47,8.47,,,,,,,,
2017-02-03,8.03,8.08,8.15,8.16,8.0,,,,,,,,
2017-02-10,7.74,7.72,7.61,7.42,7.38,,,,,,,,
2017-02-16,7.26,7.28,7.24,7.23,7.24,,,,,,,,
2017-02-24,7.77,7.76,7.66,7.54,7.31,,,,,,,,
2017-03-02,7.54,7.53,7.52,7.48,7.15,6.94,,,,,,,
2017-03-22,7.37,7.39,7.25,7.2,7.11,,,,,,,,
2017-03-30,6.86,6.83,6.85,6.85,6.85,,,,,,,,
2017-04-05,6.91,6.81,6.69,6.69,6.72,,,,,,,,
2017-04-12,6.9,6.83,6.81,6.73,6.72,,,,,,,,
2017-04-18,6.41,6.68,6.55,,,,6.78,6.61,,,,,
2017-04-25,7.28,7.16,6.77,6.11,5.87,,,,,,,,
2017-05-04,6.74,,6.83,,,,,,6.7,6.53,6.57,6.73,
2017-05-10,,6.56,6.61,6.31,5.97,,,,,,,,
2017-05-19,6.24,6.06,6.05,6.03,5.98,,,,,,,,
2017-05-24,5.44,5.41,5.48,5.38,5.32,,,,,,,,
2017-06-02,5.2,5.21,5.2,5.11,4.82,,,,,,,,
2017-06-06,6.1,6.08,5.95,5.93,5.93,,,,,,,,
2017-06-13,5.76,5.6,5.86,6.01,6.06,,,,,,,,
2017-06-21,6.03,6.16,6.31,6.42,6.43,,,,,,,,
2017-06-30,5.05,4.95,4.91,4.88,4.89,,,,,,,,
2017-07-05,5.2,4.95,4.99,5.15,5.2,,,,,,,,
2017-07-12,5.12,5.05,4.59,4.64,4.89,,,,,,,,
2017-07-19,4.93,4.8,4.52,4.39,4.31,,,,,,,,
2017-07-26,4.18,4.13,4.04,3.63,3.39,,,,,,,,
2017-08-08,4.2,4.42,4.72,4.45,4.07,,,,,,,,
2017-08-16,4.8,4.71,4.25,3.32,3.04,,,,,,,,
2017-08-23,4.48,4.56,4.22,3.16,3.01,,,,,,,,
2017-08-30,4.01,4.11,3.84,3.31,3.27,,,,,,,,
2017-09-06,4.85,4.75,4.31,3.7,2.81,,,,,,,,
2017-09-11,4.79,4.84,4.62,4.51,4.39,,,,,,,,
2017-09-20,6.24,6.25,6.22,5.94,5.65,5.72,,,,,,,
2017-09-27,5.64,5.78,5.63,4.65,4.34,,,,,,,,
2017-10-04,4.91,5.21,4.87,3.74,3.29,3.24,,,,,,,
2017-10-11,4.36,3.91,3.97,4.11,4.02,3.97,,,,,,,
2017-10-17,5.18,5.42,4.98,4.6,4.49,3.9,,,,,,,
2017-10-25,5.6,5.16,5.15,4.52,4.43,,,,,,,,
2017-11-03,6.25,6.39,6.21,5.84,5.41,,,,,,,,
2017-11-08,7.36,7.11,6.78,6.59,6.59,,,,,,,,
2017-11-15,7.44,7.36,6.7,6.26,6.18,,,,,,,,
2017-11-22,7.18,7.38,7.3,6.91,6.55,,,,,,,,
2017-11-28,6.6,6.59,6.44,6.34,6.3,,,,,,,,
2017-12-05,7.72,7.68,7.52,7.46,7.4,,,,,,,,
2017-12-13,7.02,7.02,7.02,7.0,6.8,,,,,,,,
2017-12-18,7.26,7.26,7.25,7.25,7.25,,,,,,,,
2017-12-26,7.66,7.54,7.26,7.25,7.26,,,,,,,,
2018-01-02,8.07,8.1,8.1,7.83,7.5,,,,,,,,
2018-01-09,8.0,8.0,7.93,7.58,7.35,,,,,,,,
2018-01-17,7.9,7.93,7.94,7.93,7.92,,,,,,,,
2018-01-24,8.01,8.18,8.07,7.59,7.43,,,,,,,,
2018-01-31,8.05,8.05,8.06,8.06,8.03,,,,,,,,
2018-02-12,8.68,8.79,8.78,8.71,8.47,,,,,,,,
2018-02-20,8.89,9.04,9.13,9.07,8.87,,,,,,,,
2018-02-27,8.19,8.27,8.27,8.29,8.27,,,,,,,,
2018-03-07,7.72,7.75,7.83,7.82,7.75,,,,,,,,
2018-03-08,7.04,7.06,7.12,7.14,7.17,,,,,,,,
2018-03-13,7.29,7.31,7.32,7.28,7.09,,,,,,,,
2018-03-26,7.56,7.52,7.53,7.47,7.38,,,,,,,,
2018-04-05,7.4,7.22,7.16,7.49,7.21,,,,,,,,
2018-04-17,7.37,7.35,7.33,7.2,7.05,6.97,,,,,,,
2018-04-27,7.01,7.06,7.07,7.05,6.92,,,,,,,,
2018-05-02,7.18,7.19,7.19,7.22,7.33,,,,,,,,
2018-05-11,6.11,6.07,6.1,6.15,6.19,,,,,,,,
2018-05-16,7.21,7.21,7.19,7.19,7.12,,,,,,,,
2018-05-22,6.82,6.51,6.68,6.71,6.75,,,,,,,,
2018-05-30,6.33,6.31,6.26,6.2,6.22,,,,,,,,
2018-06-08,6.21,6.21,6.3,6.36,6.52,,,,,,,,
2018-06-12,6.36,6.36,6.34,6.32,6.17,,,,,,,,
2018-06-20,5.67,5.51,5.52,5.53,5.5,,,,,,,,
2018-06-26,6.23,6.18,6.07,5.05,4.88,,,,,,,,
2018-07-04,5.81,5.83,5.72,5.64,5.46,,,,,,,,
2018-07-10,6.49,6.47,6.31,5.7,5.68,,,,,,,,
2018-07-19,5.62,5.82,5.8,5.76,4.81,,,,,,,,
2018-07-24,6.35,6.75,6.75,6.67,5.93,,,,,,,,
2018-08-03,6.62,6.53,6.23,6.09,6.13,6.09,,,,,,,
2018-08-09,5.7,5.76,5.75,5.73,5.71,,,,,,,,
2018-08-14,5.49,5.47,5.44,5.75,5.82,,,,,,,,
2018-08-23,5.81,5.39,5.41,6.14,6.39,,,,,,,,
2018-08-29,5.5,5.11,5.0,4.89,4.77,,,,,,,,
2018-09-04,4.83,5.05,4.87,4.77,4.71,,,,,,,,
2018-09-13,4.49,4.92,5.06,5.04,4.27,,,,,,,,
2018-09-20,6.59,6.56,6.53,6.37,5.98,,,,,,,,
2018-09-25,4.94,4.91,4.79,5.08,5.56,,,,,,,,
2018-10-03,5.83,5.59,5.78,5.99,6.04,,,,,,,,
2018-10-10,4.67,4.67,4.51,4.66,4.77,,,,,,,,
2018-10-17,4.92,5.43,5.42,5.49,5.55,,,,,,,,
2018-10-24,4.67,4.87,5.12,5.29,5.25,,,,,,,,
2018-10-31,6.44,6.43,6.44,6.43,6.44,,,,,,,,
2018-11-07,7.25,7.33,7.44,7.46,7.36,,,,,,,,
2018-11-21,6.84,6.76,6.81,6.84,6.66,,,,,,,,
