Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.5,profundidad_-1.5,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-6.0
2016-06-29,47.19,47.19,47.1,47.2,47.25,,,,,,,,
2016-08-02,45.74,45.74,45.69,,,,,,,,,,
2016-08-04,45.58,45.6,45.86,,,,,,,,,,
2016-08-09,45.63,45.89,45.9,,,,,,,,,,
2016-08-25,44.53,,,,,,,,,,,,
2016-08-26,,46.07,,,,,,,,,,,
2016-08-27,,,46.12,,,,,,,,,,
2016-08-30,46.32,46.33,46.22,,,,,,,,,,
2016-09-06,46.47,46.5,46.53,,,,,,,,,,
2016-09-08,44.62,46.39,46.65,,,,,,,,,,
2016-09-22,45.42,46.61,46.66,46.8,47.03,,,,,,,,
2016-10-06,46.61,46.9,46.8,46.93,46.99,,,,,,,,
2016-10-14,44.13,44.51,44.4,45.51,46.82,,,,,,,,
2016-10-21,46.09,46.62,46.63,46.66,46.77,,,,,,,,
2016-10-28,46.47,46.49,46.51,46.56,46.67,,,,,,,,
2016-11-03,45.26,46.09,46.27,46.32,46.33,,,,,,,,
2016-11-11,45.34,45.4,45.81,46.04,46.24,,,,,,,,
2016-11-18,46.22,46.33,46.44,46.45,46.53,,,,,,,,
2016-11-22,44.04,45.97,46.5,46.54,46.54,,,,,,,,
2016-12-02,45.15,46.08,46.09,46.1,46.13,,,,,,,,
2016-12-13,43.04,45.16,45.54,45.56,45.56,,,,,,,,
2016-12-21,,42.06,,,,,,,,,,,
2017-01-12,40.12,40.25,40.42,40.58,40.96,,,,,,,,
2017-01-26,40.6,40.6,40.6,40.6,40.6,,,,,,,,
2017-02-03,40.09,40.29,40.35,40.35,40.44,,,,,,,,
2017-02-10,38.86,39.32,40.07,40.45,40.56,,,,,,,,
2017-02-16,40.42,40.43,40.44,40.44,40.46,,,,,,,,
2017-02-24,39.97,40.41,40.46,40.46,40.48,,,,,,,,
2017-03-02,40.21,40.26,40.27,40.28,40.37,40.46,,,,,,,
2017-03-22,39.86,40.31,40.36,40.36,40.36,,,,,,,,
2017-03-30,40.37,40.39,40.41,40.41,40.41,,,,,,,,
2017-04-05,39.85,40.18,40.47,40.47,40.47,,,,,,,,
2017-04-12,40.52,40.49,40.5,40.5,40.5,,,,,,,,
2017-04-18,40.46,40.69,40.85,,,,40.64,40.79,,,,,
2017-04-25,40.98,41.03,41.07,41.09,41.1,,,,,,,,
2017-05-04,40.45,,41.13,,,,,,40.9,41.12,41.13,41.13,
2017-05-10,,41.19,41.36,41.39,41.4,,,,,,,,
2017-05-19,40.18,41.1,41.23,41.25,41.26,,,,,,,,
2017-05-24,41.15,41.18,41.22,41.29,41.33,,,,,,,,
2017-06-02,41.76,41.76,41.77,41.82,41.88,,,,,,,,
2017-06-06,41.55,41.8,42.01,42.01,42.01,,,,,,,,
2017-06-13,41.79,42.06,42.06,42.09,42.12,,,,,,,,
2017-06-21,42.11,42.14,42.16,42.16,42.16,,,,,,,,
2017-06-30,41.87,42.06,42.1,42.04,41.99,,,,,,,,
2017-07-05,42.11,42.69,42.81,42.83,42.83,,,,,,,,
2017-07-12,42.86,42.89,43.04,43.19,43.22,,,,,,,,
2017-07-19,41.45,42.43,43.17,43.17,43.16,,,,,,,,
2017-07-26,42.9,43.13,43.26,43.32,43.37,,,,,,,,
2017-08-08,43.32,43.66,43.83,44.04,44.08,,,,,,,,
2017-08-16,43.83,43.83,43.86,44.0,44.07,,,,,,,,
2017-08-23,43.24,43.75,43.97,44.09,44.16,,,,,,,,
2017-08-30,43.91,44.02,44.19,44.34,44.34,,,,,,,,
2017-09-06,44.1,44.19,44.35,44.4,44.43,,,,,,,,
2017-09-11,43.39,43.45,43.61,43.78,43.83,,,,,,,,
2017-09-20,46.64,46.79,46.9,47.09,47.24,47.26,,,,,,,
2017-09-27,44.36,44.38,44.43,44.4,44.38,,,,,,,,
2017-10-04,44.43,44.47,44.51,44.67,44.76,44.76,,,,,,,
2017-10-11,44.32,44.6,44.83,44.91,44.92,44.92,,,,,,,
2017-10-17,44.34,44.45,44.55,44.65,44.72,44.81,,,,,,,
2017-10-25,40.84,43.41,44.54,44.59,44.61,,,,,,,,
2017-11-03,44.72,44.76,44.84,44.88,44.9,,,,,,,,
2017-11-08,43.68,44.08,44.43,44.46,44.46,,,,,,,,
2017-11-15,42.71,43.99,44.57,44.69,44.74,,,,,,,,
2017-11-22,43.63,44.57,44.73,44.75,44.78,,,,,,,,
2017-11-28,43.38,44.43,44.6,44.61,44.61,,,,,,,,
2017-12-05,43.87,43.93,44.0,44.11,44.16,,,,,,,,
2017-12-13,43.84,43.84,43.84,43.85,43.92,,,,,,,,
2017-12-18,44.05,44.05,44.05,44.05,44.05,,,,,,,,
2017-12-26,41.1,42.93,44.19,44.2,44.2,,,,,,,,
2018-01-02,43.11,43.18,43.45,43.72,43.89,,,,,,,,
2018-01-09,42.43,42.5,42.71,43.53,43.82,,,,,,,,
2018-01-17,43.27,43.36,43.42,43.48,43.49,,,,,,,,
2018-01-24,40.63,42.94,43.55,43.63,43.67,,,,,,,,
2018-01-31,43.22,43.22,43.22,43.24,43.24,,,,,,,,
2018-02-12,40.42,42.6,43.02,43.03,43.04,,,,,,,,
