Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.5,profundidad_-1.5,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-6.0
2016-06-29,24.74,24.73,24.74,24.72,24.75,,,,,,,,
2016-08-02,28.9,28.84,28.81,,,,,,,,,,
2016-08-04,29.85,29.43,29.22,,,,,,,,,,
2016-08-09,28.87,28.74,28.74,,,,,,,,,,
2016-08-25,27.73,,,,,,,,,,,,
2016-08-26,,27.84,,,,,,,,,,,
2016-08-27,,,27.45,,,,,,,,,,
2016-08-30,27.8,27.8,27.7,,,,,,,,,,
2016-09-06,28.23,28.14,28.09,,,,,,,,,,
2016-09-08,28.81,28.69,28.57,,,,,,,,,,
2016-09-22,25.55,25.54,25.49,25.34,24.98,,,,,,,,
2016-10-06,24.7,24.71,24.71,24.68,24.62,,,,,,,,
2016-10-14,21.59,22.15,21.97,22.66,23.3,,,,,,,,
2016-10-21,22.7,22.7,22.71,22.74,22.79,,,,,,,,
2016-10-28,22.94,22.8,22.56,22.55,22.56,,,,,,,,
2016-11-03,21.7,21.95,21.97,21.87,21.86,,,,,,,,
2016-11-11,16.98,17.08,17.46,17.64,17.83,,,,,,,,
2016-11-18,16.02,16.09,16.04,15.97,15.99,,,,,,,,
2016-11-22,16.56,16.17,16.01,16.01,16.01,,,,,,,,
2016-12-02,15.19,15.07,15.04,15.04,15.05,,,,,,,,
2016-12-13,15.39,15.4,15.54,15.54,15.47,,,,,,,,
2016-12-21,,13.13,,,,,,,,,,,
2017-01-12,12.04,12.0,12.09,12.22,12.28,,,,,,,,
2017-01-26,10.01,10.01,10.0,10.0,10.0,,,,,,,,
2017-02-03,11.54,11.38,11.31,11.29,11.31,,,,,,,,
2017-02-10,12.74,12.42,11.89,11.61,11.55,,,,,,,,
2017-02-16,13.19,13.18,13.16,13.15,13.14,,,,,,,,
2017-02-24,13.92,13.81,13.81,13.78,13.74,,,,,,,,
2017-03-02,15.42,15.42,15.41,15.42,15.56,15.63,,,,,,,
2017-03-22,16.96,16.97,16.93,16.92,16.92,,,,,,,,
2017-03-30,17.29,17.31,17.3,17.29,17.3,,,,,,,,
2017-04-05,18.26,18.35,18.43,18.42,18.43,,,,,,,,
2017-04-12,19.33,19.25,19.23,19.23,19.23,,,,,,,,
2017-04-18,20.85,21.03,21.23,,,,20.96,21.12,,,,,
2017-04-25,18.89,18.85,18.8,18.74,18.74,,,,,,,,
2017-05-04,21.31,,19.29,,,,,,19.62,19.44,19.36,19.31,
2017-05-10,,21.67,21.71,21.68,21.63,,,,,,,,
2017-05-19,22.54,22.92,22.97,22.98,22.99,,,,,,,,
2017-05-24,23.31,23.24,23.18,23.2,23.21,,,,,,,,
2017-06-02,24.65,24.65,24.63,24.58,24.57,,,,,,,,
2017-06-06,25.64,25.56,25.59,25.56,25.57,,,,,,,,
2017-06-13,26.43,26.5,26.37,26.3,26.3,,,,,,,,
2017-06-21,28.35,28.32,28.29,28.28,28.28,,,,,,,,
2017-06-30,26.38,26.25,26.22,25.97,25.75,,,,,,,,
2017-07-05,26.92,27.05,27.05,27.04,27.04,,,,,,,,
2017-07-12,28.21,28.17,28.04,27.88,27.86,,,,,,,,
2017-07-19,28.7,28.92,29.05,29.03,29.03,,,,,,,,
2017-07-26,29.79,29.8,29.71,29.7,29.74,,,,,,,,
2017-08-08,30.93,30.96,30.84,30.73,30.69,,,,,,,,
2017-08-16,27.74,27.64,27.57,27.57,27.57,,,,,,,,
2017-08-23,28.7,28.76,28.62,28.48,28.42,,,,,,,,
2017-08-30,27.53,27.65,27.82,27.91,27.91,,,,,,,,
2017-09-06,27.47,27.43,27.34,27.25,27.1,,,,,,,,
2017-09-11,25.76,25.74,25.77,25.87,25.92,,,,,,,,
2017-09-20,25.16,25.12,25.07,25.05,25.0,25.0,,,,,,,
2017-09-27,25.16,25.17,25.15,25.01,24.95,,,,,,,,
2017-10-04,24.88,24.83,24.67,24.64,24.47,24.45,,,,,,,
2017-10-11,24.67,24.7,24.57,24.36,24.33,24.33,,,,,,,
2017-10-17,23.67,23.66,23.76,23.9,23.98,24.05,,,,,,,
2017-10-25,22.3,22.35,22.18,22.15,22.18,,,,,,,,
2017-11-03,21.31,21.3,21.28,21.26,21.27,,,,,,,,
2017-11-08,17.96,18.31,18.51,18.52,18.52,,,,,,,,
2017-11-15,16.53,16.26,16.43,16.54,16.57,,,,,,,,
2017-11-22,16.15,15.89,15.73,15.7,15.68,,,,,,,,
2017-11-28,15.86,15.52,15.5,15.5,15.5,,,,,,,,
2017-12-05,11.49,11.51,11.58,11.67,11.74,,,,,,,,
2017-12-13,11.7,11.69,11.69,11.71,11.88,,,,,,,,
2017-12-18,11.36,11.36,11.35,11.32,11.28,,,,,,,,
2017-12-26,12.47,12.1,11.84,11.8,11.81,,,,,,,,
2018-01-02,12.37,12.35,12.35,12.43,12.46,,,,,,,,
2018-01-09,11.92,11.92,12.01,12.42,12.54,,,,,,,,
2018-01-17,11.6,11.64,11.67,11.7,11.72,,,,,,,,
2018-01-24,13.44,12.66,12.52,12.59,12.65,,,,,,,,
2018-01-31,12.57,12.56,12.52,12.46,12.42,,,,,,,,
2018-02-12,11.89,11.0,10.83,10.79,10.72,,,,,,,,
2018-02-20,12.98,12.85,12.76,12.67,12.69,,,,,,,,
2018-02-27,13.18,13.03,12.89,12.89,12.88,,,,,,,,
2018-03-07,13.31,13.39,13.66,13.72,13.8,,,,,,,,
2018-03-08,15.94,15.93,15.88,15.84,15.8,,,,,,,,
2018-03-13,15.62,15.68,15.72,15.71,15.76,,,,,,,,
2018-03-26,13.08,13.16,13.13,13.14,13.19,,,,,,,,
2018-04-05,16.65,17.29,17.39,17.01,16.93,,,,,,,,
2018-04-17,17.74,17.71,17.72,17.64,17.5,17.21,,,,,,,
2018-04-27,18.5,18.53,18.55,18.52,18.47,,,,,,,,
2018-05-02,18.42,18.49,18.6,18.69,18.8,,,,,,,,
2018-05-11,21.93,21.89,21.84,21.8,21.8,,,,,,,,
2018-05-16,21.6,21.61,21.65,21.74,21.83,,,,,,,,
2018-05-22,23.2,23.15,22.88,22.83,22.83,,,,,,,,
2018-05-30,23.99,24.13,24.14,24.07,24.06,,,,,,,,
2018-06-08,24.04,24.27,24.26,24.18,24.16,,,,,,,,
2018-06-12,24.97,24.97,24.99,25.0,25.1,,,,,,,,
2018-06-20,26.6,26.65,26.61,26.59,26.59,,,,,,,,
2018-06-26,27.94,27.85,27.72,27.59,27.63,,,,,,,,
2018-07-04,27.65,27.63,27.58,27.8,27.89,,,,,,,,
2018-07-10,28.44,28.43,28.25,28.22,28.22,,,,,,,,
2018-07-19,27.4,28.07,28.45,28.39,28.4,,,,,,,,
2018-07-24,29.13,29.12,29.1,29.1,29.21,,,,,,,,
2018-08-03,30.26,30.25,30.19,30.15,30.12,30.14,,,,,,,
2018-08-09,30.76,30.77,30.78,30.79,30.78,,,,,,,,
2018-08-14,30.38,30.41,30.48,30.54,30.55,,,,,,,,
2018-08-23,29.34,29.48,29.55,29.65,29.67,,,,,,,,
2018-08-29,28.9,29.07,29.17,29.13,29.11,,,,,,,,
2018-09-04,28.48,28.57,28.77,28.81,28.84,,,,,,,,
2018-09-13,26.74,26.79,26.78,26.82,26.95,,,,,,,,
2018-09-20,26.91,26.91,26.91,26.94,26.97,,,,,,,,
2018-09-25,27.57,27.58,27.59,27.64,27.73,,,,,,,,
2018-10-03,25.75,25.72,25.66,25.66,25.66,,,,,,,,
2018-10-10,22.99,22.99,23.02,23.11,23.15,,,,,,,,
2018-10-17,22.15,21.96,21.9,22.07,22.25,,,,,,,,
2018-10-24,22.69,22.69,21.9,21.81,21.85,,,,,,,,
2018-10-31,17.07,17.03,17.13,17.21,17.51,,,,,,,,
2018-11-07,15.51,15.99,16.17,16.15,16.18,,,,,,,,
2018-11-21,15.7,15.81,16.09,16.32,16.41,,,,,,,,
2018-11-28,14.97,14.95,14.94,14.88,14.89,,,,,,,,
2018-12-04,14.79,14.87,14.84,14.83,14.82,,,,,,,,
2018-12-11,15.31,15.0,14.89,15.11,15.17,,,,,,,,
2018-12-19,14.0,13.73,13.55,13.56,13.57,,,,,,,,
2018-12-26,13.33,13.3,13.28,13.22,13.13,,,,,,,,
2019-01-03,13.13,12.9,12.82,12.82,12.82,,,,,,,,
2019-01-09,11.83,12.19,12.38,12.38,12.33,,,,,,,,
2019-01-17,12.55,11.83,11.34,11.32,11.33,,,,,,,,
2019-01-25,11.9,11.31,11.22,11.15,11.05,,,,,,,,
2019-02-06,10.88,11.09,11.09,11.1,11.1,,,,,,,,
2019-02-12,12.36,12.36,12.35,12.36,12.36,,,,,,,,
2019-02-20,13.21,13.21,13.21,13.21,13.32,,,,,,,,
2019-02-26,14.18,14.09,14.09,14.09,14.1,,,,,,,,
2019-03-05,15.54,15.62,15.67,15.67,15.73,,,,,,,,
2019-03-12,16.72,16.71,16.66,16.62,16.58,,,,,,,,
2019-03-28,15.78,15.82,15.85,15.85,15.86,,,,,,,,
2019-04-02,15.56,15.62,15.72,15.78,15.81,,,,,,,,
2019-04-15,17.38,17.63,17.83,17.84,17.85,,,,,,,,
2019-04-24,16.37,16.38,16.41,16.32,16.18,,,,,,,,
2019-04-30,18.69,18.87,18.72,18.63,18.63,,,,,,,,
2019-05-08,20.32,20.77,21.05,21.14,21.15,,,,,,,,
2019-05-15,21.6,21.97,22.95,22.97,23.13,,,,,,,,
2019-05-21,22.98,23.05,22.94,22.88,22.88,,,,,,,,
2019-05-29,22.91,23.47,23.57,23.57,23.57,,,,,,,,
2019-06-04,24.67,24.58,24.28,24.06,24.05,,,,,,,,
2019-06-18,24.49,24.46,24.43,24.41,24.4,,,,,,,,
2019-06-25,26.26,26.37,26.33,26.17,26.14,,,,,,,,
2019-07-04,27.4,27.41,27.78,27.8,27.79,,,,,,,,
2019-07-11,27.54,27.55,27.65,27.65,27.64,27.64,,,,,,,
2019-07-19,29.31,29.31,29.3,29.3,29.32,,,,,,,,
2019-07-26,28.24,28.42,28.48,28.48,28.51,,,,,,,,
2019-07-30,28.58,28.85,28.81,28.78,28.79,,,,,,,,
2019-08-06,28.7,28.96,29.0,28.84,28.76,,,,,,,,
2019-08-14,28.84,28.89,29.01,29.09,29.1,,,,,,,,
2019-08-22,29.06,29.11,29.13,29.12,29.06,29.02,,,,,,,29.04
2019-08-29,27.97,28.03,28.04,28.04,27.99,28.04,,,,,,,
2019-09-04,28.54,28.53,28.54,28.54,28.54,28.56,,,,,,,
2019-09-10,26.23,26.76,27.21,27.21,27.21,,,,,,,,
2019-09-17,24.2,24.4,24.08,24.08,24.2,23.89,,,,,,,
