Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.5,profundidad_-1.5,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6,profundidad_-6.0
2016-06-29,5.87,5.88,6.03,5.97,6.3,,,,,,,,
2016-08-02,4.65,4.24,4.82,,,,,,,,,,
2016-08-04,3.54,4.45,4.47,,,,,,,,,,
2016-08-09,3.23,3.51,3.96,,,,,,,,,,
2016-08-25,3.66,,,,,,,,,,,,
2016-08-26,,4.37,,,,,,,,,,,
2016-08-27,,,5.35,,,,,,,,,,
2016-08-30,4.27,4.19,4.22,,,,,,,,,,
2016-09-06,3.67,3.66,4.24,,,,,,,,,,
2016-09-08,2.59,3.59,4.15,,,,,,,,,,
2016-09-22,4.49,7.16,6.86,6.48,6.95,,,,,,,,
2016-10-06,5.16,5.6,6.55,6.36,5.94,,,,,,,,
2016-10-14,5.15,5.02,5.57,7.0,7.37,,,,,,,,
2016-10-21,4.86,5.99,6.15,6.29,6.25,,,,,,,,
2016-10-28,4.77,4.87,5.15,5.48,6.64,,,,,,,,
2016-11-03,3.33,4.36,4.82,4.66,5.37,,,,,,,,
2016-11-11,3.99,3.93,4.17,4.44,4.47,,,,,,,,
2016-11-18,4.88,5.73,5.44,5.25,5.29,,,,,,,,
2016-11-22,4.02,5.54,5.42,5.41,5.53,,,,,,,,
2016-12-02,2.13,3.89,3.68,3.76,3.72,,,,,,,,
2016-12-13,2.29,2.67,3.09,3.2,3.28,,,,,,,,
2016-12-21,,8.31,,,,,,,,,,,
2017-01-12,4.36,4.32,3.99,4.25,4.51,,,,,,,,
2017-01-26,3.9,4.01,4.07,4.23,4.46,,,,,,,,
2017-02-03,2.55,2.97,3.18,3.26,3.13,,,,,,,,
2017-02-10,4.78,4.79,3.91,3.18,2.67,,,,,,,,
2017-02-16,2.77,2.87,2.78,2.55,2.46,,,,,,,,
2017-02-24,2.57,2.74,2.84,2.66,2.79,,,,,,,,
2017-03-02,1.88,1.62,1.65,1.65,1.55,1.34,,,,,,,
2017-03-22,1.52,1.87,1.95,1.98,2.02,,,,,,,,
2017-03-30,0.92,1.17,1.34,1.39,1.4,,,,,,,,
2017-04-05,1.28,1.4,1.32,1.22,1.14,,,,,,,,
2017-04-12,1.48,1.7,1.76,2.18,2.69,,,,,,,,
2017-04-18,1.22,1.18,1.56,,,,1.23,1.42,,,,,
2017-04-25,1.62,1.67,1.66,1.6,1.67,,,,,,,,
2017-05-04,1.1,,1.24,,,,,,1.22,1.21,1.36,1.31,
2017-05-10,,1.1,1.17,1.51,2.4,,,,,,,,
2017-05-19,1.11,1.34,1.45,1.66,3.1,,,,,,,,
2017-05-24,0.62,0.69,0.74,0.74,0.86,,,,,,,,
2017-06-02,0.82,0.92,0.74,0.82,1.11,,,,,,,,
2017-06-06,0.49,0.49,0.65,0.73,0.84,,,,,,,,
2017-06-13,0.82,0.75,0.8,0.76,0.96,,,,,,,,
2017-06-21,1.21,1.17,1.06,1.28,1.28,,,,,,,,
2017-06-30,2.1,2.05,1.99,2.02,2.0,,,,,,,,
2017-07-05,1.16,0.95,0.96,1.02,1.0,,,,,,,,
2017-07-12,0.98,1.08,1.27,1.23,1.37,,,,,,,,
2017-07-19,1.07,1.12,1.3,1.12,1.09,,,,,,,,
2017-07-26,0.95,0.99,1.07,1.18,1.63,,,,,,,,
2017-08-08,1.68,2.19,2.39,2.23,2.32,,,,,,,,
2017-08-16,2.77,3.4,3.52,3.48,3.98,,,,,,,,
2017-08-23,1.77,2.95,3.47,3.33,3.46,,,,,,,,
2017-08-30,4.85,4.82,4.9,4.87,5.07,,,,,,,,
2017-09-06,4.34,4.81,4.63,4.51,4.25,,,,,,,,
2017-09-11,2.35,2.39,2.42,2.34,2.48,,,,,,,,
2017-09-20,0.93,0.92,1.01,1.21,1.48,1.34,,,,,,,
2017-09-27,3.59,3.99,3.93,3.85,3.89,,,,,,,,
2017-10-04,4.17,4.1,3.92,3.87,4.11,4.3,,,,,,,
2017-10-11,3.12,3.85,3.88,3.95,4.02,4.04,,,,,,,
2017-10-17,3.37,3.32,3.37,3.52,3.57,3.77,,,,,,,
2017-10-25,1.42,2.07,2.82,2.94,3.11,,,,,,,,
2017-11-03,3.3,3.59,3.62,3.48,3.37,,,,,,,,
2017-11-08,2.71,3.23,3.34,3.19,3.28,,,,,,,,
2017-11-15,3.39,3.69,4.13,3.84,3.75,,,,,,,,
2017-11-22,2.95,3.91,4.31,4.22,4.34,,,,,,,,
2017-11-28,2.51,3.11,3.55,3.63,3.65,,,,,,,,
2017-12-05,3.4,3.6,3.6,3.72,3.97,,,,,,,,
2017-12-13,4.95,5.09,5.39,5.02,4.89,,,,,,,,
2017-12-18,3.56,3.63,3.61,3.63,3.62,,,,,,,,
2017-12-26,1.7,2.14,2.93,3.15,3.19,,,,,,,,
2018-01-02,3.13,3.12,3.09,3.16,3.22,,,,,,,,
2018-01-09,2.26,2.27,2.42,2.54,2.52,,,,,,,,
2018-01-17,4.36,4.3,3.53,3.1,2.9,,,,,,,,
2018-01-24,0.8,1.46,2.21,2.24,2.03,,,,,,,,
2018-01-31,2.06,2.16,2.23,2.29,2.28,,,,,,,,
2018-02-12,1.28,1.88,2.41,2.44,2.42,,,,,,,,
2018-02-20,2.07,2.02,2.14,2.25,2.32,,,,,,,,
2018-02-27,1.79,2.15,2.21,2.23,2.39,,,,,,,,
