Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-1.6666666666666665
2016-08-02,5.67,5.18,4.86,,,,,,,,
2016-08-04,5.44,5.45,4.11,,,,,,,,
2016-08-09,4.72,4.72,3.98,,,,,,,,
2016-08-25,5.2,4.82,4.24,,,,,,,,
2016-08-30,5.71,5.52,4.6,,,,,,,,
2016-09-06,5.34,5.41,5.17,,,,,,,,
2016-09-08,5.04,4.94,4.85,,,,,,,,
2016-09-22,5.94,5.47,5.91,5.85,,,,,,,
2016-09-29,5.34,5.33,4.86,4.74,5.28,,,,,,
2016-10-06,5.6,5.54,5.56,5.48,5.41,,,,,,
2016-10-14,5.91,5.83,5.81,5.74,5.76,5.7,,,,,
2016-10-21,5.45,5.47,5.47,5.54,5.63,5.61,,,,,
2016-10-28,5.5,5.46,5.45,5.37,5.26,5.26,,,,,
2016-11-03,5.65,5.65,5.65,5.61,5.48,5.18,,,,,
2016-11-11,5.25,5.26,5.24,5.25,5.26,5.21,,,,,
2016-11-18,7.17,7.11,6.96,6.78,6.33,5.49,,,,,
2016-11-22,7.3,7.27,7.1,6.97,6.91,6.74,,,,,
2016-12-02,7.09,7.07,7.01,6.96,6.81,6.63,,,,,
2016-12-13,7.01,7.32,7.32,7.33,7.32,7.35,,,,,
2016-12-21,,7.15,,,,,,,,,
2017-01-12,8.43,8.46,8.47,8.45,8.4,8.34,,,,,
2017-01-26,8.51,8.53,8.5,8.48,8.46,8.39,,,,,
2017-02-03,8.82,8.83,8.78,8.78,8.71,8.69,,,,,
2017-02-10,7.88,7.91,7.96,8.09,8.02,7.99,,,,,
2017-02-16,7.75,7.77,7.76,7.7,7.66,7.64,,,,,
2017-02-24,7.83,7.82,7.79,7.73,7.63,7.56,,,,,
2017-03-02,7.6,7.6,7.59,7.59,7.58,7.56,,,,,
2017-03-22,7.79,7.8,7.82,7.77,7.66,7.5,,,,,
2017-03-30,7.49,7.52,7.5,7.51,7.48,7.44,,,,,
2017-04-05,7.48,7.48,7.48,7.4,7.33,7.32,,,,,
2017-04-12,6.57,6.55,6.57,6.6,6.59,6.56,,,,,
2017-04-18,6.51,6.84,6.82,6.78,6.73,6.68,,,,,
2017-04-25,6.88,6.87,6.87,6.82,6.5,6.16,,,,,
2017-05-04,6.89,6.89,6.9,6.88,6.88,6.87,,,,,
2017-05-10,6.67,6.66,6.67,6.67,6.67,6.63,,,,,
2017-05-19,6.0,6.06,6.05,6.05,6.05,6.04,,,,,
2017-05-24,6.03,6.09,6.08,6.09,6.09,6.08,,,,,
2017-06-02,6.14,6.15,6.15,6.14,6.16,6.15,,,,,
2017-06-06,5.73,5.7,5.66,5.65,5.65,5.64,,,,,
2017-06-13,5.6,5.6,5.6,5.58,5.61,5.6,,,,,
2017-06-21,5.61,5.62,5.61,5.6,5.6,5.57,,,,,
2017-06-30,5.24,5.16,4.97,4.92,4.9,4.84,,,,,
2017-07-05,6.1,6.1,6.09,6.1,6.08,6.08,,,,,
2017-07-12,5.76,5.76,5.75,5.74,5.74,4.96,,,,,
2017-07-19,5.82,5.8,5.82,5.8,5.81,5.82,,,,,
2017-07-26,5.47,5.47,5.48,5.49,5.5,5.51,,,,,
2017-08-08,5.02,4.95,4.91,4.87,4.67,3.55,,,,,
2017-08-16,4.68,4.66,4.6,4.56,4.51,4.4,,,,,
2017-08-23,4.54,4.53,4.51,4.55,4.55,4.56,,,,,
2017-08-30,4.34,4.31,4.33,4.3,4.29,4.02,,,,,
2017-09-06,4.28,4.27,4.28,4.33,4.2,3.89,,,,,
2017-09-11,4.1,4.36,4.38,4.29,4.24,4.22,,,,,
2017-09-20,6.47,6.4,6.39,6.27,6.05,5.86,,,,,
2017-09-27,5.32,5.63,5.63,5.63,5.62,5.62,,,,,
2017-10-04,5.45,6.29,6.29,6.2,5.83,5.49,5.19,,,,
2017-10-11,5.37,5.55,5.54,5.56,5.36,4.82,3.76,,,,
2017-10-17,5.62,5.84,5.87,5.85,5.82,5.71,5.53,,,,
2017-10-25,6.19,5.19,5.18,5.17,5.19,5.19,,,,,
2017-11-03,6.59,6.55,6.49,6.37,6.18,6.02,6.01,,,,
2017-11-08,6.67,6.67,6.67,6.67,6.68,6.67,,,,,
2017-11-15,7.38,7.37,7.32,7.31,7.28,7.24,,,,,
2017-11-22,7.27,7.27,7.25,7.22,7.15,7.1,,,,,
2017-11-28,6.47,6.47,6.43,6.4,6.39,6.38,,,,,
2017-12-05,7.29,7.29,7.29,7.28,7.29,7.3,,,,,
2017-12-13,7.33,7.3,7.25,7.15,6.94,6.76,,,,,
2017-12-18,7.41,7.41,7.36,7.35,7.32,7.29,,,,,
2017-12-26,7.93,7.87,7.8,7.65,7.5,7.43,,,,,
2018-01-02,7.9,7.9,7.89,7.82,7.56,6.87,,,,,
2018-01-09,7.96,7.96,7.93,7.29,7.0,6.95,,,,,
2018-01-17,7.88,7.88,7.88,7.88,7.81,7.42,,,,,
2018-01-24,7.83,7.83,7.82,7.81,7.78,7.66,,,,,
2018-01-31,7.89,7.88,7.88,7.87,7.85,7.83,,,,,
2018-02-12,8.43,8.43,8.43,8.43,8.44,8.41,,,,,
2018-02-20,8.77,8.8,8.81,8.8,8.76,8.74,,,,,
2018-02-27,8.55,8.54,8.55,8.52,8.05,7.67,,,,,
2018-03-07,7.83,7.83,7.82,7.81,7.8,7.8,,,,,
2018-03-08,7.43,7.4,7.36,7.33,7.34,7.13,,,,,
2018-03-13,7.58,7.57,7.55,7.54,7.5,7.39,,,,,
2018-03-26,6.75,7.41,7.41,7.41,7.39,7.38,,,,,
2018-04-05,7.23,7.23,7.22,7.22,7.22,7.18,,,,,
2018-04-17,7.11,7.1,7.1,7.01,6.22,5.88,,,,,
2018-04-27,6.55,6.54,6.55,6.54,6.54,6.49,,,,,
2018-05-02,6.66,6.65,6.66,6.65,6.64,6.62,,,,,
2018-05-11,6.18,6.19,6.19,6.19,6.17,6.15,,,,,
2018-05-16,6.32,6.33,6.33,6.33,6.33,6.34,,,,,
2018-05-22,6.31,6.3,6.3,6.28,6.24,6.14,,,,,
2018-05-30,5.86,5.87,5.87,5.86,5.87,5.86,,,,,
2018-06-08,5.78,5.76,5.77,5.75,5.73,5.71,,,,,
2018-06-12,5.48,5.48,5.48,5.46,5.46,5.46,,,,,
2018-06-20,6.25,6.25,6.25,6.26,6.28,6.26,,,,,
2018-06-26,5.88,6.82,6.8,6.74,6.64,6.55,,,,,
2018-07-04,5.98,5.96,5.95,5.89,5.77,5.49,,,,,
2018-07-10,5.31,6.06,6.1,6.13,5.72,4.71,,,,,
2018-07-19,5.93,6.33,6.3,6.27,6.22,6.2,,,,,
2018-07-24,6.01,6.42,6.43,6.44,6.44,6.45,6.44,,,,
2018-08-03,5.56,5.88,5.88,5.9,5.9,5.91,,,,,
2018-08-09,5.63,5.63,5.64,5.63,5.59,5.52,5.51,,,,
2018-08-14,5.29,5.29,5.28,5.29,5.27,5.26,5.27,,,,
2018-08-23,5.95,5.95,5.96,6.03,6.11,5.99,6.0,,,,
2018-08-29,5.86,5.89,5.92,5.86,5.85,5.7,5.64,,,,
2018-09-04,5.47,5.79,5.83,5.88,6.0,6.02,,,,,
2018-09-13,4.8,4.98,5.0,5.33,5.22,5.13,,,,,
2018-09-20,5.08,5.77,5.74,5.77,5.73,5.32,,,,,
2018-09-25,5.77,5.76,5.75,5.74,5.74,5.75,,,,,
2018-10-03,5.83,5.84,5.81,5.81,5.82,5.88,,,,,
2018-10-10,4.97,4.98,4.96,4.89,4.95,4.89,,,,,
2018-10-17,4.59,5.68,6.18,6.15,6.01,5.88,,,,,
2018-10-24,4.67,5.43,5.63,5.81,5.7,5.78,,,,,
2018-10-31,6.57,6.54,6.53,6.57,6.57,6.52,,,,,
2018-11-07,6.9,6.9,6.91,6.9,6.9,6.89,,,,,
2018-11-21,6.94,6.94,6.92,6.92,6.89,6.85,,,,,
2018-11-28,7.35,7.35,7.3,7.27,7.23,7.22,,,,,
