Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.5,profundidad_-1.5,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0
2016-08-02,17.19,16.5,16.4,,,,,
2016-08-04,14.58,14.92,9.83,,,,,
2016-08-09,13.99,13.08,10.94,,,,,
2016-08-25,13.67,12.69,10.54,,,,,
2016-08-30,18.3,14.01,13.66,,,,,
2016-09-06,16.14,14.49,13.57,,,,,
2016-09-08,17.88,16.51,13.91,,,,,
2016-09-22,6.37,14.77,13.95,7.8,14.12,,,
2016-09-29,11.19,9.24,10.5,,,11.1,,
2016-10-06,14.97,14.86,15.25,,,16.03,,
2016-10-14,20.63,12.87,12.92,,,19.82,19.1,
2016-10-21,15.47,17.43,18.4,,,18.42,16.68,
2016-10-28,15.94,14.21,11.7,,,11.28,11.36,
2016-11-03,15.58,19.33,18.79,,,17.06,17.09,
2016-11-11,11.86,15.29,18.45,,,18.96,18.7,
2016-11-18,9.38,14.59,19.47,,,21.55,21.91,
2016-11-22,25.96,25.18,21.71,,,20.84,20.87,
2016-12-02,10.42,17.86,30.31,,,30.47,29.36,
2016-12-13,10.92,15.29,23.68,,,28.99,,
2016-12-21,20.03,,,,,,,
2017-01-12,25.83,42.56,55.93,,,57.82,58.57,
2017-01-26,27.39,36.89,42.72,,,43.94,43.78,
2017-02-03,18.53,29.81,44.22,,,48.03,49.99,
2017-02-10,22.69,25.5,26.59,,,27.31,28.07,
2017-02-16,16.05,25.84,31.53,,,31.15,31.99,
2017-02-24,18.98,23.12,25.96,,,27.15,27.52,
2017-03-02,5.08,7.75,14.6,,,21.65,23.44,
2017-03-22,5.41,6.22,7.85,,,9.24,9.55,
2017-03-30,5.45,6.78,8.91,,,10.09,10.57,
2017-04-05,9.65,10.44,11.0,,,11.19,11.38,
2017-04-12,9.78,10.89,12.04,,,12.27,12.3,
2017-04-18,6.24,4.17,3.95,,,4.16,,
2017-04-25,5.96,5.79,5.51,,,5.19,5.02,
2017-05-04,3.42,3.63,3.81,,,4.25,4.18,
2017-05-10,3.85,3.97,3.8,,,3.91,3.98,
2017-05-19,0.71,0.83,0.95,,,1.66,3.08,
2017-05-24,1.19,1.53,1.63,,,1.75,2.0,
2017-06-02,1.47,1.81,2.06,,,2.27,2.77,
2017-06-06,0.95,1.14,1.36,,,2.0,2.45,
2017-06-13,1.6,1.65,2.28,,,2.46,2.47,
2017-06-21,0.7,0.9,1.89,,,2.27,1.55,
2017-06-30,0.46,0.74,0.84,,,0.9,0.97,
2017-07-05,2.31,2.62,2.72,,,2.96,3.68,
2017-07-12,1.99,2.32,2.93,,,3.62,3.72,
2017-07-19,2.57,2.66,2.66,,,2.69,2.62,
2017-07-26,3.03,5.02,5.58,,,5.18,4.59,
2017-08-08,2.06,2.18,2.24,,,2.18,2.12,
2017-08-16,4.39,4.77,4.54,,,4.08,3.96,
2017-08-23,9.09,8.74,7.3,,,6.2,6.49,
2017-08-30,5.07,5.1,5.08,,,5.22,5.35,
2017-09-06,0.17,7.38,7.77,,,7.33,7.23,
2017-09-11,2.5,3.05,4.44,,,5.41,5.38,
2017-09-20,3.35,5.94,6.6,,,6.6,6.84,
2017-09-27,2.93,3.78,4.64,,,4.49,3.98,
2017-10-04,2.93,3.39,4.44,,,4.79,4.7,
2017-10-11,2.42,2.88,3.08,,,3.12,3.05,
2017-10-17,4.72,4.5,4.72,,,4.7,4.68,
2017-10-25,4.93,6.06,6.31,,,6.96,6.04,
2017-11-03,3.64,3.85,4.11,,,4.23,4.11,
2017-11-08,3.27,4.72,5.39,,,5.48,5.5,
2017-11-15,4.55,5.67,5.99,,,5.79,5.84,
2017-11-22,3.24,3.85,4.02,,,4.16,4.15,
2017-11-28,3.22,3.37,3.2,,,3.08,3.09,
2017-12-05,1.51,1.86,2.25,,,2.63,2.84,
2017-12-13,1.78,2.24,2.81,,,2.96,3.21,
2017-12-18,1.36,1.83,2.68,,,2.72,2.68,
2017-12-26,1.2,1.45,1.87,,,1.98,1.98,
2018-01-02,2.21,3.02,4.42,,,4.76,4.79,
2018-01-09,1.64,1.92,2.63,,,2.7,2.7,
2018-01-17,1.27,1.7,2.45,,,3.15,4.31,
2018-01-24,1.69,2.12,2.53,,,3.0,3.12,
2018-01-31,1.51,2.0,3.41,,,4.0,4.35,
2018-02-12,5.86,7.54,8.42,,,8.47,8.34,
2018-02-20,1.69,1.99,2.85,,,4.13,3.68,
2018-02-27,2.77,3.19,3.58,,,3.72,4.15,
2018-03-07,1.6,2.16,3.12,,,3.99,4.52,
