Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.5,profundidad_-1.5,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0
2016-08-02,28.74,28.72,28.63,,,,,
2016-08-04,29.06,29.03,28.89,,,,,
2016-08-09,28.54,28.53,28.43,,,,,
2016-08-25,28.04,28.0,27.97,,,,,
2016-08-30,28.9,28.83,28.83,,,,,
2016-09-06,28.28,28.28,28.28,,,,,
2016-09-08,28.93,28.91,28.93,,,,,
2016-09-22,25.55,25.78,25.73,25.81,25.8,,,
2016-09-29,24.58,24.57,24.58,,,24.58,,
2016-10-06,24.74,24.74,24.7,,,24.7,,
2016-10-14,23.23,23.21,23.19,,,23.18,23.17,
2016-10-21,22.62,22.61,22.6,,,22.6,22.55,
2016-10-28,22.77,22.79,22.83,,,22.9,22.93,
2016-11-03,21.41,21.35,21.34,,,21.33,21.34,
2016-11-11,17.77,17.75,17.73,,,17.72,17.72,
2016-11-18,15.91,15.86,15.75,,,15.66,15.67,
2016-11-22,15.78,15.73,15.69,,,15.68,15.68,
2016-12-02,15.3,15.31,15.45,,,15.6,15.6,
2016-12-13,15.11,15.07,15.03,,,15.02,,
2016-12-21,12.71,,,,,,,
2017-01-12,12.23,12.23,12.23,,,12.23,12.27,
2017-01-26,9.54,9.54,9.53,,,9.53,9.53,
2017-02-03,10.81,10.8,10.82,,,10.82,10.82,
2017-02-10,11.79,11.81,11.81,,,11.8,11.79,
2017-02-16,13.44,13.44,13.43,,,13.44,13.43,
2017-02-24,13.69,13.68,13.68,,,13.68,13.68,
2017-03-02,15.55,15.38,15.28,,,15.25,15.25,
2017-03-22,16.65,16.64,16.62,,,16.62,16.61,
2017-03-30,17.92,17.72,17.63,,,17.59,17.57,
2017-04-05,18.35,18.35,18.35,,,18.35,18.34,
2017-04-12,19.72,19.71,19.7,,,19.7,19.7,
2017-04-18,22.39,22.38,22.16,,,21.94,,
2017-04-25,19.03,19.01,18.99,,,19.0,19.0,
2017-05-04,19.53,19.52,19.5,,,19.49,19.4,
2017-05-10,22.51,22.44,22.4,,,22.4,22.4,
2017-05-19,23.31,23.31,23.31,,,23.31,23.31,
2017-05-24,23.19,23.19,23.19,,,23.18,23.18,
2017-06-02,24.75,24.75,24.75,,,24.75,24.75,
2017-06-06,25.87,25.82,25.79,,,25.77,25.78,
2017-06-13,26.43,26.42,26.43,,,26.43,26.43,
2017-06-21,28.62,28.59,28.55,,,28.52,28.52,
2017-06-30,27.44,27.55,27.54,,,27.54,27.54,
2017-07-05,26.57,26.57,26.57,,,26.57,26.57,
2017-07-12,28.33,28.32,28.31,,,28.32,28.33,
2017-07-19,29.12,29.12,29.12,,,29.12,29.12,
2017-07-26,29.81,29.73,29.71,,,29.69,29.69,
2017-08-08,30.89,30.89,30.88,,,30.86,30.86,
2017-08-16,27.49,27.47,27.46,,,27.45,27.46,
2017-08-23,28.64,28.61,28.61,,,28.61,28.6,
2017-08-30,27.61,27.61,27.61,,,27.6,27.6,
2017-09-06,27.69,27.72,27.68,,,27.65,27.62,
2017-09-11,26.02,25.99,25.96,,,25.94,25.92,
2017-09-20,25.16,25.03,25.01,,,24.99,24.98,
2017-09-27,24.81,24.78,24.74,,,24.71,24.7,
2017-10-04,25.08,25.08,25.08,,,25.08,25.07,
2017-10-11,24.5,24.52,24.52,,,24.52,24.52,
2017-10-17,23.89,23.93,23.94,,,23.94,23.95,
2017-10-25,21.62,21.62,21.62,,,21.62,21.62,
2017-11-03,21.32,21.31,21.31,,,21.31,21.3,
2017-11-08,18.26,18.26,18.26,,,18.26,18.25,
2017-11-15,15.63,15.63,15.62,,,15.62,15.62,
2017-11-22,15.53,15.53,15.52,,,15.53,15.52,
2017-11-28,15.18,15.49,15.5,,,15.41,15.39,
2017-12-05,11.73,11.74,11.73,,,11.73,11.73,
2017-12-13,11.72,11.72,11.71,,,11.71,11.71,
2017-12-18,11.45,11.38,11.24,,,11.22,11.22,
2017-12-26,11.6,11.6,11.6,,,11.6,11.7,
2018-01-02,12.12,12.11,12.1,,,12.1,12.09,
2018-01-09,12.31,12.31,12.4,,,12.62,12.65,
2018-01-17,11.45,11.45,11.44,,,11.44,11.44,
2018-01-24,12.54,12.49,12.47,,,12.45,12.46,
2018-01-31,12.45,12.44,12.42,,,12.4,12.38,
2018-02-12,10.63,10.59,10.58,,,10.58,10.6,
2018-02-20,12.99,12.99,12.96,,,12.92,12.88,
2018-02-27,12.82,12.82,12.82,,,12.82,12.82,
2018-03-07,13.53,13.52,13.49,,,13.46,13.44,
2018-03-08,16.15,15.91,15.55,,,15.48,15.47,
2018-03-13,15.25,15.2,15.19,,,15.18,15.18,
2018-03-26,13.3,13.31,13.31,,,13.32,13.32,
2018-04-05,16.89,16.86,16.82,,,16.79,16.79,
2018-04-17,17.28,17.23,17.21,,,17.2,17.21,
2018-04-27,18.47,18.47,18.46,,,18.46,18.45,
2018-05-02,18.65,18.63,18.62,,,18.62,18.63,
2018-05-11,21.87,21.87,21.87,,,21.87,21.86,
2018-05-16,21.61,21.7,21.7,,,21.7,21.7,
2018-05-22,22.93,22.9,22.88,,,22.88,22.87,
2018-05-30,24.08,24.08,24.07,,,24.07,24.08,
2018-06-08,24.28,24.23,24.12,,,24.07,24.08,
2018-06-12,25.08,25.07,25.05,,,25.04,25.04,
2018-06-20,26.73,26.68,26.72,,,26.72,26.71,
2018-06-26,27.81,27.77,27.73,,,27.71,27.71,
2018-07-04,27.92,27.92,27.93,,,27.93,27.93,
2018-07-10,28.17,28.07,28.01,,,28.01,28.01,
2018-07-19,28.14,28.12,28.11,,,28.1,28.11,
2018-07-24,29.1,29.11,29.08,,,29.06,29.06,
2018-08-03,30.27,30.27,30.26,,,30.26,30.25,
2018-08-09,30.59,30.56,30.55,,,30.51,30.49,
2018-08-14,30.17,30.16,30.15,,,30.15,30.16,
2018-08-23,28.99,28.89,28.85,,,28.85,28.85,
2018-08-29,29.37,29.35,29.29,,,29.11,29.06,
2018-09-04,28.95,28.75,28.72,28.89,28.73,,,
2018-09-13,26.74,26.69,26.63,,,26.62,26.76,
2018-09-20,27.19,27.14,27.19,,,27.27,27.28,
2018-09-25,27.36,27.36,27.36,,,27.36,27.37,
2018-10-03,25.03,24.78,24.75,,,24.75,24.75,
2018-10-10,22.31,22.32,22.38,,,22.45,22.45,
2018-10-17,22.43,22.43,22.39,,,22.37,22.38,
2018-10-24,21.99,21.96,21.9,,,21.87,21.88,
2018-10-31,17.81,17.81,17.81,,,17.81,17.82,
2018-11-07,16.29,16.26,16.26,,,16.26,16.28,
2018-11-21,16.61,16.64,16.67,,,16.76,16.76,
2018-11-28,15.1,15.17,15.23,,,15.23,15.24,
2018-12-04,14.28,14.29,14.29,,,14.29,14.29,
2018-12-11,14.38,14.48,14.48,,,14.49,14.49,
