Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.5,profundidad_-1.5,profundidad_-5.0
2016-06-08,7.38,7.34,7.34,,,,,
2016-08-02,72.15,72.13,71.96,,,,,
2016-08-04,73.23,73.06,73.28,,,,,
2016-08-09,72.72,72.68,72.44,,,,,
2016-08-25,7.21,7.21,7.18,,,,,
2016-08-30,7.28,7.28,7.26,,,,,
2016-09-06,7.3,7.29,7.29,,,,,
2016-09-22,6.94,6.94,6.94,6.94,,,,
2016-09-29,6.81,6.79,6.81,6.81,,,,
2016-10-06,6.79,6.79,6.77,6.79,,,,
2016-10-14,6.61,6.61,6.6,6.6,6.6,,,
2016-10-21,6.5,6.51,6.51,6.53,6.53,,,
2016-10-28,6.45,6.44,6.46,6.51,6.51,,,
2016-11-03,6.4,6.39,6.38,6.38,6.38,,,
2016-11-11,5.88,5.88,5.88,5.87,5.87,,,
2016-11-18,5.62,5.6,5.58,5.57,5.57,,,
2016-11-22,5.62,5.62,5.62,5.62,5.62,,,
2016-12-02,5.42,5.42,5.43,5.47,5.5,,,
2016-12-13,5.42,5.42,5.42,5.42,5.42,,,
2017-01-12,4.63,4.63,4.62,4.62,4.62,,,
2017-01-26,4.33,4.33,4.33,4.33,4.33,,,
2017-02-03,4.46,4.45,4.45,4.45,4.45,,,
2017-02-10,4.52,4.52,4.51,4.51,4.51,,,
2017-02-16,4.68,4.68,4.68,4.68,4.68,,,
2017-02-24,4.75,4.74,4.74,4.74,4.74,,,
2017-03-02,4.95,4.92,4.91,4.91,4.91,,,
2017-03-22,5.07,5.07,5.07,5.06,5.04,,,
2017-03-30,5.17,5.15,5.14,5.14,5.14,,,
2017-04-05,5.26,5.26,5.26,5.26,5.26,,,
2017-04-12,5.47,5.45,5.44,5.44,5.44,,,
2017-04-18,5.69,5.71,5.72,,,5.68,5.72,
2017-04-25,5.37,5.37,5.37,5.37,5.35,,,
2017-05-04,5.5,5.5,5.5,5.49,5.48,,,
2017-05-10,5.84,5.83,5.81,5.81,5.81,,,
2017-05-19,6.0,6.0,6.0,6.0,6.0,,,
2017-05-24,6.01,6.01,6.01,6.01,6.01,,,
2017-06-02,6.2,6.2,6.2,6.2,6.2,,,
2017-06-06,6.35,6.35,6.35,6.35,6.35,,,
2017-06-13,6.43,6.43,6.43,6.43,6.43,,,
2017-06-21,6.75,6.75,6.75,6.75,6.75,,,
2017-06-30,6.64,6.64,6.64,6.64,6.64,,,
2017-07-05,6.62,6.62,6.62,6.62,6.62,,,
2017-07-12,6.83,6.83,6.83,6.82,6.82,,,
2017-07-19,6.96,6.96,6.96,6.96,6.96,,,
2017-07-26,7.03,7.03,7.03,7.03,7.03,,,
2017-08-08,7.21,7.21,7.21,7.21,7.21,,,
2017-08-16,6.87,6.87,6.87,6.87,6.87,,,
2017-08-23,7.01,7.01,7.0,7.0,7.0,,,
2017-08-30,6.86,6.86,6.86,6.87,6.87,,,
2017-09-06,6.81,6.81,6.81,6.8,6.8,,,
2017-09-11,6.65,6.66,6.67,6.67,6.66,,,
2017-09-20,6.94,6.93,6.93,6.93,6.93,,,
2017-09-27,6.57,6.57,6.57,6.57,6.56,,,
2017-10-04,6.63,6.62,6.61,6.6,6.59,,,
2017-10-11,6.5,6.52,6.52,6.52,6.52,,,6.59
2017-10-17,6.42,6.42,6.42,6.42,6.42,,,
2017-10-25,6.19,6.19,6.19,6.19,6.19,,,
2017-11-03,6.05,6.05,6.05,6.05,6.05,,,
