Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.5,profundidad_-1.5,profundidad_-5.0
2016-06-08,5.26,5.0,4.81,,,,,
2016-08-02,5.24,5.15,4.61,,,,,
2016-08-04,6.42,6.37,5.14,,,,,
2016-08-09,5.35,5.31,4.8,,,,,
2016-08-25,5.4,5.31,4.36,,,,,
2016-08-30,5.5,5.5,4.56,,,,,
2016-09-06,4.88,4.88,4.6,,,,,
2016-09-22,5.41,5.41,4.39,5.39,,,,
2016-09-29,5.03,4.62,5.03,5.06,,,,
2016-10-06,5.13,5.11,4.72,4.96,,,,
2016-10-14,6.18,5.97,5.77,5.81,5.83,,,
2016-10-21,5.93,5.92,5.93,5.82,5.83,,,
2016-10-28,5.94,5.87,5.59,5.46,5.4,,,
2016-11-03,6.01,5.89,5.74,5.65,5.58,,,
2016-11-11,6.48,6.5,6.49,6.49,6.38,,,
2016-11-18,6.84,6.76,6.73,6.66,6.65,,,
2016-11-22,7.14,7.07,6.99,6.81,6.78,,,
2016-12-02,6.93,6.94,6.88,6.58,6.53,,,
2016-12-13,6.72,7.11,7.1,7.08,7.06,,,
2017-01-12,8.89,8.86,8.85,8.82,8.8,,,
2017-01-26,8.64,8.63,8.63,8.65,8.63,,,
2017-02-03,8.73,8.7,8.73,8.7,8.67,,,
2017-02-10,8.26,8.3,8.19,8.15,8.13,,,
2017-02-16,7.77,7.77,7.78,7.78,7.75,,,
2017-02-24,7.65,7.63,7.6,7.57,7.57,,,
2017-03-02,7.79,7.82,7.79,7.73,7.71,,,
2017-03-22,7.81,7.8,7.82,7.42,6.74,,,
2017-03-30,7.86,7.92,7.9,7.87,7.9,,,
2017-04-05,7.51,7.53,7.51,7.51,7.51,,,
2017-04-12,7.29,7.3,7.34,7.37,7.36,,,
2017-04-18,7.63,7.65,6.89,,,7.58,7.72,
2017-04-25,7.12,7.13,7.11,7.03,6.44,,,
2017-05-04,7.02,7.01,7.06,7.07,7.16,,,
2017-05-10,6.14,6.14,6.16,6.17,6.18,,,
2017-05-19,6.15,6.18,6.18,6.22,6.25,,,
2017-05-24,6.31,6.33,6.34,6.33,6.34,,,
2017-06-02,6.37,6.38,6.36,6.37,6.37,,,
2017-06-06,6.51,6.52,6.51,6.48,6.48,,,
2017-06-13,6.06,6.07,6.08,6.07,6.07,,,
2017-06-21,5.78,5.78,5.79,5.78,5.77,,,
2017-06-30,4.64,4.65,4.73,4.79,4.72,,,
2017-07-05,6.13,6.14,6.14,6.15,6.24,,,
2017-07-12,5.67,5.65,5.64,5.54,4.28,,,
2017-07-19,5.16,5.17,5.17,5.16,5.14,,,
2017-07-26,6.71,6.7,6.7,6.67,6.63,,,
2017-08-08,5.91,5.93,6.07,5.98,5.44,,,
2017-08-16,4.65,4.63,4.5,4.38,4.42,,,
2017-08-23,4.65,4.64,4.6,4.56,4.59,,,
2017-08-30,4.6,4.6,4.58,4.58,4.56,,,
2017-09-06,4.65,4.58,4.44,4.34,4.19,,,
2017-09-11,3.74,4.03,4.05,4.03,4.02,,,
2017-09-20,6.24,6.18,6.07,6.01,5.83,,,
2017-09-27,5.41,5.72,5.74,5.66,5.35,,,
2017-10-04,5.25,5.6,5.66,5.68,5.55,,,
2017-10-11,4.64,4.75,4.75,4.74,4.73,,,5.46
2017-10-17,5.32,5.31,5.31,5.3,5.27,,,
2017-10-25,5.58,5.57,5.55,5.56,5.59,,,
2017-11-03,5.92,5.91,5.91,5.87,5.84,,,
2017-11-08,6.72,6.71,6.69,6.68,6.66,,,
2017-11-15,7.19,7.2,7.18,7.16,7.14,,,
2017-11-22,7.07,7.05,7.06,7.05,7.03,,,
2017-11-28,6.88,6.81,6.58,5.96,5.3,,,
2017-12-05,7.36,7.35,7.35,7.35,7.35,,,
2017-12-13,7.21,7.2,7.19,7.16,7.14,,,
2017-12-18,7.33,7.34,7.33,7.27,7.26,,,
2017-12-26,7.2,7.21,7.21,7.19,7.13,,,
