Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.5,profundidad_-1.5,profundidad_-5.0
2016-06-08,46.89,46.81,46.82,,,,,
2016-08-02,45.89,45.89,45.82,,,,,
2016-08-04,46.11,46.05,46.14,,,,,
2016-08-09,46.34,46.34,46.23,,,,,
2016-08-25,46.54,46.54,46.47,,,,,
2016-08-30,46.62,46.61,46.52,,,,,
2016-09-06,46.68,46.65,46.66,,,,,
2016-09-22,47.22,47.22,47.17,47.22,,,,
2016-09-29,46.68,46.56,46.68,46.68,,,,
2016-10-06,46.82,46.82,46.69,46.8,,,,
2016-10-14,46.77,46.78,46.78,46.77,46.76,,,
2016-10-21,46.54,46.56,46.61,46.7,46.72,,,
2016-10-28,46.12,46.15,46.26,46.54,46.56,,,
2016-11-03,46.71,46.69,46.69,46.69,46.69,,,
2016-11-11,46.81,46.81,46.81,46.82,46.83,,,
2016-11-18,46.56,46.55,46.55,46.54,46.53,,,
2016-11-22,46.52,46.52,46.53,46.55,46.57,,,
2016-12-02,45.36,45.37,45.43,45.78,46.0,,,
2016-12-13,45.37,45.43,45.43,45.43,45.44,,,
2017-01-12,41.06,41.06,41.06,41.07,41.07,,,
2017-01-26,40.5,40.5,40.5,40.5,40.5,,,
2017-02-03,40.43,40.43,40.43,40.43,40.43,,,
2017-02-10,40.59,40.6,40.59,40.59,40.59,,,
2017-02-16,40.44,40.44,40.44,40.44,40.45,,,
2017-02-24,40.44,40.44,40.44,40.44,40.44,,,
2017-03-02,40.54,40.5,40.5,40.5,40.5,,,
2017-03-22,40.22,40.22,40.22,40.27,40.35,,,
2017-03-30,40.5,40.49,40.49,40.48,40.48,,,
2017-04-05,40.64,40.64,40.64,40.64,40.64,,,
2017-04-12,40.86,40.84,40.84,40.84,40.84,,,
2017-04-18,40.85,40.86,40.77,,,40.86,40.86,
2017-04-25,41.02,41.02,41.02,41.03,41.02,,,
2017-05-04,41.3,41.3,41.3,41.3,41.29,,,
2017-05-10,41.43,41.44,41.43,41.43,41.43,,,
2017-05-19,41.76,41.76,41.76,41.76,41.76,,,
2017-05-24,41.93,41.92,41.92,41.93,41.92,,,
2017-06-02,42.03,42.03,42.03,42.03,42.03,,,
2017-06-06,42.21,42.21,42.21,42.21,42.21,,,
2017-06-13,42.32,42.33,42.33,42.33,42.33,,,
2017-06-21,42.81,42.81,42.81,42.81,42.81,,,
2017-06-30,42.95,42.95,42.95,42.95,42.95,,,
2017-07-05,43.37,43.37,43.37,43.37,43.37,,,
2017-07-12,43.46,43.46,43.46,43.47,43.48,,,
2017-07-19,43.62,43.62,43.62,43.62,43.62,,,
2017-07-26,43.73,43.73,43.73,43.73,43.73,,,
2017-08-08,43.85,43.85,43.85,43.85,43.85,,,
2017-08-16,44.4,44.4,44.4,44.4,44.4,,,
2017-08-23,44.58,44.58,44.58,44.58,44.58,,,
2017-08-30,44.17,44.17,44.17,44.17,44.17,,,
2017-09-06,44.24,44.24,44.24,44.24,44.24,,,
2017-09-11,44.38,44.47,44.47,44.47,44.47,,,
2017-09-20,47.32,47.34,47.36,47.37,47.37,,,
2017-09-27,44.75,44.8,44.8,44.8,44.8,,,
2017-10-04,44.96,44.93,44.92,44.91,44.89,,,
2017-10-11,44.83,44.9,44.9,44.9,44.9,,,44.89
2017-10-17,44.78,44.78,44.78,44.78,44.78,,,
2017-10-25,44.94,44.94,44.94,44.94,44.94,,,
2017-11-03,44.41,44.41,44.41,44.41,44.41,,,
2017-11-08,44.6,44.6,44.6,44.6,44.6,,,
2017-11-15,44.89,44.89,44.89,44.89,44.89,,,
2017-11-22,44.68,44.69,44.68,44.68,44.68,,,
2017-11-28,44.49,44.5,44.58,44.71,44.75,,,
2017-12-05,44.51,44.51,44.51,44.51,44.51,,,
2017-12-13,44.52,44.52,44.52,44.52,44.51,,,
2017-12-18,44.57,44.57,44.57,44.57,44.57,,,
2017-12-26,44.38,44.38,44.38,44.38,44.39,,,
2018-01-02,44.27,44.27,44.27,44.27,44.27,,,
2018-01-09,43.5,43.51,43.55,43.94,44.3,,,
2018-01-17,43.8,43.8,43.8,43.8,43.79,,,
2018-01-24,43.82,43.82,43.82,43.82,43.82,,,
2018-01-31,43.25,43.25,43.25,43.26,43.25,,,
2018-02-12,42.78,42.78,42.79,42.81,42.82,,,
2018-02-20,42.94,42.94,42.94,42.94,42.94,,,
2018-02-27,42.99,42.99,42.99,42.99,42.99,,,
2018-03-07,42.68,42.68,42.68,42.68,42.68,,,
2018-03-08,40.6,40.61,40.59,40.59,40.58,,,
2018-03-13,42.7,42.7,42.7,42.71,42.74,,,
2018-03-26,42.85,42.85,42.84,42.84,42.84,,,
2018-04-05,42.85,42.92,42.92,42.92,42.92,,,
2018-04-17,43.24,43.24,43.24,43.24,43.25,,,
2018-04-27,43.2,43.2,43.2,43.2,43.2,,,
2018-05-02,43.49,43.49,43.48,43.48,43.48,,,
2018-05-11,43.55,43.55,43.55,43.55,43.55,,,
2018-05-16,43.63,43.63,43.63,43.63,43.63,,,
2018-05-22,43.87,43.87,43.87,43.87,43.87,,,
2018-05-30,43.7,43.7,43.7,43.7,43.7,,,
2018-06-08,44.22,44.24,44.26,44.26,44.26,,,
2018-06-12,44.26,44.29,44.29,44.3,44.3,,,
2018-06-20,44.59,44.59,44.59,44.6,44.61,,,
2018-06-26,45.02,45.03,45.04,45.05,45.05,,,
2018-07-04,45.0,45.0,45.0,45.0,45.0,,,
2018-07-10,45.14,45.15,45.16,45.17,45.16,,,
2018-07-19,45.23,45.28,45.29,45.29,45.29,,,
2018-07-24,45.41,45.48,45.48,45.48,45.48,,,
2018-08-03,45.66,45.66,45.66,45.66,45.66,,,
2018-08-09,45.8,45.8,45.8,45.8,45.8,,,
2018-08-14,45.88,46.0,46.05,46.06,46.06,,,
2018-08-23,46.49,46.48,46.48,46.48,46.48,,,
2018-08-29,46.33,46.33,46.34,46.36,46.36,,,
2018-09-04,46.49,46.51,46.51,46.5,46.5,,,
2018-09-13,46.31,46.39,46.4,46.42,46.57,,,
2018-09-20,45.77,45.79,45.84,45.93,45.95,,,
2018-09-25,46.08,46.08,46.08,46.08,46.06,,,
2018-10-03,46.18,46.18,46.17,46.17,46.17,,,
2018-10-10,46.2,46.2,46.2,46.2,46.2,,,
2018-10-17,45.74,45.91,45.92,45.92,45.92,,,
2018-10-24,46.04,46.05,46.09,46.09,46.09,,,
2018-10-31,45.73,45.73,45.73,45.73,45.73,,,
2018-11-07,45.8,45.79,45.79,45.78,45.79,,,
2018-11-21,44.29,44.3,44.31,44.48,44.85,,,
2018-11-28,44.51,44.51,44.51,44.51,44.51,,,
