Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-0.5,profundidad_-1.5,profundidad_-5.0
2016-06-08,4.23,4.44,4.93,,,,,
2016-08-02,7.53,7.69,7.93,,,,,
2016-08-04,5.8,6.34,7.18,,,,,
2016-08-09,6.09,5.95,6.3,,,,,
2016-08-25,8.75,9.25,9.77,,,,,
2016-08-30,6.48,6.98,7.07,,,,,
2016-09-06,5.75,5.7,6.17,,,,,
2016-09-22,8.3,8.39,8.77,9.13,,,,
2016-09-29,14.17,15.18,15.85,15.95,,,,
2016-10-06,9.07,9.42,10.32,10.35,,,,
2016-10-14,7.26,7.06,7.66,8.67,9.67,,,
2016-10-21,7.06,7.31,7.22,7.14,8.84,,,
2016-10-28,6.29,6.52,6.61,6.49,6.87,,,
2016-11-03,6.01,7.01,7.17,7.77,9.4,,,
2016-11-11,7.26,7.35,7.42,7.65,7.7,,,
2016-11-18,8.12,8.7,9.27,9.08,9.32,,,
2016-11-22,5.96,6.06,5.87,6.01,7.84,,,
2016-12-02,5.54,6.19,6.21,5.62,6.51,,,
2016-12-13,4.41,4.46,4.32,4.3,4.22,,,
2017-01-12,6.29,6.54,6.53,6.35,6.28,,,
2017-01-26,7.58,7.45,7.41,7.47,7.05,,,
2017-02-03,4.19,4.41,4.55,4.6,4.36,,,
2017-02-10,5.26,5.43,5.59,5.6,5.59,,,
2017-02-16,4.7,4.74,4.68,4.77,4.74,,,
2017-02-24,7.31,7.32,7.54,7.47,7.55,,,
2017-03-02,2.26,2.66,2.91,2.92,2.76,,,
2017-03-22,3.07,3.0,2.99,3.21,4.98,,,
2017-03-30,1.86,2.16,2.44,2.82,3.49,,,
2017-04-05,2.2,2.4,2.39,2.39,2.55,,,
2017-04-12,1.94,2.22,2.18,2.19,2.21,,,
2017-04-18,2.56,2.15,1.97,,,2.61,2.04,
2017-04-25,2.88,2.72,2.86,2.82,4.18,,,
2017-05-04,1.84,1.9,2.09,2.52,3.71,,,
2017-05-10,1.14,1.21,1.77,2.14,2.13,,,
2017-05-19,2.85,3.24,3.14,3.09,3.0,,,
2017-05-24,1.99,2.76,2.98,3.09,3.01,,,
2017-06-02,2.64,2.87,3.2,3.13,3.33,,,
2017-06-06,1.56,1.7,1.6,1.46,2.05,,,
