Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2016-08-02,10.98,,,
2016-08-04,10.18,,,
2016-08-09,3.66,,,
2016-08-25,14.7,,,
2016-08-30,8.44,,,
2016-09-06,6.76,,,
2016-09-08,3.8,,,
2016-09-22,8.92,,,
2016-09-29,13.75,,,
2016-10-06,1.51,,,
2016-10-14,22.0,,,
2016-10-21,16.17,,,
2016-10-28,7.61,,,
2016-11-03,8.0,,,
2016-11-11,2.53,,,
2016-11-18,3.19,,,
2016-11-22,8.1,,,
2016-12-02,12.5,,,
2016-12-13,10.74,,,
2017-01-12,,8.87,,
2017-01-26,8.68,,,
2017-02-03,13.79,18.58,19.66,
2017-02-10,3.26,,,
2017-02-16,11.52,,,
2017-02-24,9.01,,,
2017-03-02,2.14,,,
2017-03-08,1.77,,,
2017-03-22,3.35,,,
2017-03-30,2.94,,,
2017-04-05,2.74,,,
2017-04-12,2.93,,,
2017-04-18,,,,4.38
2017-04-25,2.93,,,
2017-05-04,2.76,,,
2017-05-10,3.03,,,
2017-05-19,0.79,,,
2017-05-24,0.17,,,
2017-06-02,0.98,,,
2017-06-06,0.46,,,
2017-06-13,1.03,,,
2017-06-21,0.34,,,
2017-06-30,0.81,,,
2017-07-05,0.13,,,
2017-07-12,0.47,,,
2017-07-19,0.93,,,
2017-07-26,0.71,,,
2017-08-08,4.45,,,
2017-08-16,2.23,,,
2017-08-23,2.62,,,
2017-08-30,5.6,,,
2017-09-06,,2.14,,
2017-09-11,2.74,,,
2017-09-20,2.19,,,
2017-09-27,1.96,,,
2017-10-04,1.27,,,
2017-10-11,2.93,,,
2017-10-17,2.29,,,
2017-10-25,1.77,,,
2017-11-03,3.11,,,
2017-11-08,2.24,,,
2017-11-22,1.04,,,
2017-11-28,1.92,,,
2017-12-05,0.93,,,
2017-12-13,1.1,,,
2017-12-18,0.56,,,
2017-12-26,1.09,,,
2018-01-02,1.08,,,
2018-01-09,1.19,,,
2018-01-17,1.05,,,
2018-01-24,0.71,,,
2018-01-31,3.44,,,
2018-02-12,1.57,,,
2018-02-20,1.2,,,
2018-02-27,2.11,,,
2018-03-07,0.86,,,
2018-03-13,0.4,,,
2018-03-26,0.33,,,
2018-04-05,0.21,,,
2018-04-17,0.21,,,
2018-04-27,0.51,,,
2018-05-02,0.33,,,
2018-05-11,0.52,,,
2018-05-16,0.77,,,
2018-05-22,0.41,,,
2018-05-30,0.37,,,
2018-06-08,0.47,,,
2018-06-12,0.37,,,
2018-06-20,0.37,,,
2018-06-26,0.33,,,
2018-07-04,0.45,,,
2018-07-10,0.41,,,
2018-07-19,0.52,,,
2018-07-24,0.29,,,
2018-08-03,0.4,,,
2018-08-09,0.35,,,
2018-08-14,0.31,,,
2018-08-23,0.31,,,
2018-08-29,0.2,,,
2018-09-04,0.4,,,
2018-09-13,0.6,,,
2018-09-20,0.41,,,
2018-09-25,0.83,,,
2018-10-03,0.21,,,
2018-10-10,2.68,,,
2018-10-17,,0.29,,
2018-10-24,0.39,,,
2018-11-07,0.29,,,
2018-11-21,0.46,,,
2018-11-28,0.54,,,
2018-12-04,0.48,,,
2018-12-11,0.47,,,
2018-12-19,0.28,,,
2018-12-26,0.19,,,
2019-01-03,0.39,,,
2019-01-09,0.14,,,
2019-01-17,0.1,,,
2019-01-25,0.19,,,
2019-02-06,0.17,,,
2019-02-12,0.73,,,
2019-02-20,0.13,,,
2019-02-26,0.13,,,
2019-03-05,0.1,,,
2019-03-12,0.17,,,
2019-03-28,0.1,,,
2019-04-02,0.21,,,
2019-04-15,0.23,,,
2019-04-24,0.4,,,
2019-04-30,0.02,,,
2019-05-08,0.19,,,
2019-05-15,0.3,,,
2019-05-21,0.56,,,
2019-06-04,0.77,,,
2019-06-18,0.3,,,
2019-07-04,0.29,,,
2019-07-11,0.31,,,
2019-07-19,0.27,,,
2019-07-26,0.59,,,
2019-07-30,0.33,,,
2019-08-06,0.32,,,
2019-08-14,1.34,,,
2019-08-22,1.32,,,
2019-08-29,1.55,,,
2019-09-04,0.61,,,
2019-09-10,1.13,,,
2019-09-17,9.91,,,
2019-09-18,19.32,,,
2019-09-19,25.97,,,
2019-09-26,5.23,,,
2019-10-03,6.24,,,
2019-10-15,9.59,,,
2019-10-16,11.63,,,
2019-10-25,17.27,,,
2019-11-04,18.64,,,
2019-11-07,17.19,,,
2019-11-14,6.36,,,
2019-11-21,1.02,,,
2019-11-27,1.08,,,
2019-12-05,,9.03,,
2019-12-11,4.4,,,
2019-12-16,3.6,,,
2019-12-26,0.77,,,
2020-01-03,0.75,,,
2020-01-08,,0.48,,
2020-01-17,0.4,,,
2020-01-23,8.71,,,
2020-01-29,2.18,,,
2020-02-04,1.33,,,
2020-02-11,,0.8,,
2020-02-20,2.09,,,
2020-02-25,0.55,,,
2020-03-05,1.95,,,
2020-03-11,0.7,,,
2020-03-17,1.56,,,
2020-03-27,12.86,,,
2020-04-01,3.31,,,
2020-04-07,0.54,,,
2020-04-14,1.8,,,
2020-04-21,1.22,,,
2020-05-13,1.19,,,
2020-05-20,0.67,,,
2020-06-01,0.82,,,
2020-06-15,0.63,,,
2020-06-26,1.03,,,
2020-07-02,0.82,,,
2020-07-07,0.76,,,
2020-07-17,0.44,,,
2020-07-23,1.73,,,
2020-07-28,1.12,,,
2020-08-04,0.37,,,
2020-08-13,0.67,,,
2020-08-19,0.67,,,
2020-08-26,0.69,,,
2020-09-03,0.84,,,
2020-09-10,0.68,,,
2020-09-16,0.66,,,
2020-09-24,0.85,,,
2020-09-30,1.84,,,
2020-10-08,0.74,,,
2020-10-14,0.57,,,
2020-10-22,1.49,,,
2020-10-29,1.29,,,
2020-11-04,2.58,,,
2020-11-12,0.77,,,
2020-11-18,1.05,,,
2020-11-25,1.49,,,
2020-12-03,1.02,,,
2020-12-10,0.9,,,
2020-12-15,1.05,,,
2020-12-21,0.92,,,
2020-12-29,0.81,,,
2021-01-05,0.56,,,
2021-01-13,0.62,,,
2021-01-20,0.88,,,
2021-01-27,1.1,,,
2021-02-03,0.89,,,
2021-02-12,0.77,,,
2021-02-17,0.34,,,
2021-02-24,0.76,,,
2021-03-05,0.73,,,
2021-03-10,0.53,,,
2021-03-15,0.7,,,
2021-03-24,0.55,,,
2021-04-06,0.42,,,
2021-04-13,0.39,,,
2021-04-20,0.64,,,
2021-04-27,0.41,,,
2021-05-06,0.42,,,
2021-05-13,0.37,,,
2021-05-20,0.23,,,
2021-05-25,0.36,,,
2021-06-02,0.47,,,
2021-06-08,0.35,,,
2021-06-14,0.54,,,
2021-06-22,0.43,,,
2021-07-01,0.32,,,
2021-07-06,0.4,,,
2021-07-14,0.44,,,
2021-07-20,0.39,,,
2021-07-27,0.69,,,
2021-08-03,1.55,,,
2021-08-09,0.77,,,
2021-08-13,0.84,,,
2021-08-16,0.7,,0.76,
2021-08-24,1.16,,,
2021-08-26,5.25,,,
2021-08-30,0.56,,,
2021-09-02,2.65,,,
2021-09-09,1.74,,,
2021-09-13,2.46,,,
2021-09-20,2.43,,,
2021-09-30,1.94,,,
2021-10-07,1.18,,,
2021-10-11,1.4,,,
2021-10-18,0.56,,,
2021-10-28,0.58,,,
2021-11-04,1.61,,,
2021-11-11,0.75,,,
2021-11-18,2.12,,,
2021-11-25,0.59,,,
2021-12-01,0.53,,,
2021-12-10,1.29,,,
2021-12-15,0.67,,,
2021-12-21,0.43,,,
2021-12-28,0.57,,,
2022-01-04,0.72,,,
2022-01-12,0.45,,,
