Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2016-08-02,71.91,,,
2016-08-04,74.54,,,
2016-08-09,70.64,,,
2016-08-25,7.16,,,
2016-08-30,7.28,,,
2016-09-06,7.31,,,
2016-09-08,7.47,,,
2016-09-22,6.9,,,
2016-09-29,6.64,,,
2016-10-06,6.75,,,
2016-10-14,6.58,,,
2016-10-21,6.51,,,
2016-10-28,6.47,,,
2016-11-03,6.27,,,
2016-11-11,5.68,,,
2016-11-18,5.53,,,
2016-11-22,5.64,,,
2016-12-02,5.35,,,
2016-12-13,5.42,,,
2017-01-12,,4.6,,
2017-01-26,4.25,,,
2017-02-03,4.44,4.43,4.43,
2017-02-10,4.41,,,
2017-02-16,4.74,,,
2017-02-24,4.73,,,
2017-03-02,4.97,,,
2017-03-08,5.09,,,
2017-03-22,5.06,,,
2017-03-30,5.28,,,
2017-04-05,5.38,,,
2017-04-12,5.58,,,
2017-04-18,,,,5.71
2017-04-25,5.45,,,
2017-05-04,5.73,,,
2017-05-10,5.98,,,
2017-05-19,5.99,,,
2017-05-24,6.0,,,
2017-06-02,6.25,,,
2017-06-06,6.39,,,
2017-06-13,6.48,,,
2017-06-21,6.74,,,
2017-06-30,6.57,,,
2017-07-05,6.56,,,
2017-07-12,6.94,,,
2017-07-19,6.9,,,
2017-07-26,7.05,,,
2017-08-08,7.18,,,
2017-08-16,6.89,,,
2017-08-23,6.87,,,
2017-08-30,6.59,,,
2017-09-06,,6.79,,
2017-09-11,6.33,,,
2017-09-20,6.71,,,
2017-09-27,6.55,,,
2017-10-04,6.62,,,
2017-10-11,6.4,,,
2017-10-17,6.36,,,
2017-10-25,6.1,,,
2017-11-03,6.01,,,
2017-11-08,5.62,,,
2017-11-22,5.3,,,
2017-11-28,5.39,,,
2017-12-05,4.68,,,
2017-12-13,4.9,,,
2017-12-18,4.82,,,
2017-12-26,4.9,,,
2018-01-02,4.89,,,
2018-01-09,4.73,,,
2018-01-17,4.74,,,
2018-01-24,4.96,,,
2018-01-31,4.74,,,
2018-02-12,4.66,,,
2018-02-20,4.87,,,
2018-02-27,4.92,,,
2018-03-07,4.93,,,
2018-03-13,5.15,,,
2018-03-26,4.89,,,
2018-04-05,5.44,,,
2018-04-17,5.62,,,
2018-04-27,5.5,,,
2018-05-02,5.46,,,
2018-05-11,6.2,,,
2018-05-16,6.01,,,
2018-05-22,6.25,,,
2018-05-30,6.37,,,
2018-06-08,6.32,,,
2018-06-12,6.65,,,
2018-06-20,6.75,,,
2018-06-26,6.9,,,
2018-07-04,7.02,,,
2018-07-10,7.09,,,
2018-07-19,7.04,,,
2018-07-24,7.28,,,
2018-08-03,7.42,,,
2018-08-09,7.47,,,
2018-08-14,7.39,,,
2018-08-23,7.31,,,
2018-08-29,7.4,,,
