Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2016-08-02,4.63,,,
2016-08-04,5.47,,,
2016-08-09,4.22,,,
2016-08-25,4.81,,,
2016-08-30,4.23,,,
2016-09-06,5.35,,,
2016-09-08,5.32,,,
2016-09-22,5.38,,,
2016-09-29,5.43,,,
2016-10-06,4.06,,,
2016-10-14,5.95,,,
2016-10-21,6.11,,,
2016-10-28,5.19,,,
2016-11-03,5.38,,,
2016-11-11,5.93,,,
2016-11-18,5.62,,,
2016-11-22,6.63,,,
2016-12-02,6.26,,,
2016-12-13,7.16,,,
2017-01-12,,7.55,,
2017-01-26,7.69,,,
2017-02-03,7.81,7.94,7.99,
2017-02-10,7.33,,,
2017-02-16,6.84,,,
2017-02-24,6.75,,,
2017-03-02,6.52,,,
2017-03-08,6.68,,,
2017-03-22,7.18,,,
2017-03-30,6.18,,,
2017-04-05,6.32,,,
2017-04-12,5.93,,,
2017-04-18,,,,5.9
2017-04-25,5.9,,,
2017-05-04,6.17,,,
2017-05-10,5.7,,,
2017-05-19,5.67,,,
2017-05-24,5.16,,,
2017-06-02,5.84,,,
2017-06-06,5.54,,,
2017-06-13,5.78,,,
2017-06-21,6.02,,,
2017-06-30,5.47,,,
2017-07-05,4.94,,,
2017-07-12,6.88,,,
2017-07-19,4.8,,,
2017-07-26,6.07,,,
2017-08-08,5.3,,,
2017-08-16,3.8,,,
2017-08-23,5.45,,,
2017-08-30,4.82,,,
2017-09-06,,3.85,,
2017-09-11,3.99,,,
2017-09-20,6.3,,,
2017-09-27,5.38,,,
2017-10-04,6.64,,,
2017-10-11,6.05,,,
2017-10-17,4.75,,,
2017-10-25,7.0,,,
2017-11-03,6.1,,,
2017-11-08,6.47,,,
2017-11-22,7.12,,,
2017-11-28,6.09,,,
2017-12-05,7.17,,,
2017-12-13,7.37,,,
2017-12-18,7.61,,,
2017-12-26,7.17,,,
2018-01-02,7.0,,,
2018-01-09,7.62,,,
2018-01-17,7.3,,,
2018-01-24,7.11,,,
2018-01-31,7.0,,,
2018-02-12,7.53,,,
2018-02-20,7.87,,,
2018-02-27,7.28,,,
2018-03-07,7.34,,,
2018-03-13,6.55,,,
2018-03-26,7.34,,,
2018-04-05,6.48,,,
2018-04-17,6.6,,,
2018-04-27,5.91,,,
2018-05-02,7.03,,,
2018-05-11,6.47,,,
2018-05-16,7.06,,,
2018-05-22,8.44,,,
2018-05-30,5.9,,,
2018-06-08,6.94,,,
2018-06-12,7.15,,,
2018-06-20,6.77,,,
2018-06-26,7.08,,,
2018-07-04,6.73,,,
2018-07-10,7.32,,,
2018-07-19,5.79,,,
2018-07-24,6.26,,,
2018-08-03,6.19,,,
2018-08-09,5.53,,,
2018-08-14,7.47,,,
2018-08-23,6.23,,,
2018-08-29,5.9,,,
2018-09-04,5.82,,,
2018-09-13,5.09,,,
2018-09-20,6.67,,,
2018-09-25,5.54,,,
2018-10-03,6.69,,,
2018-10-10,4.5,,,
2018-10-17,,5.86,,
2018-10-24,5.66,,,
2018-11-07,8.02,,,
2018-11-21,6.74,,,
2018-11-28,7.58,,,
2018-12-04,8.13,,,
2018-12-11,8.0,,,
2018-12-19,7.63,,,
2018-12-26,7.37,,,
2019-01-03,7.47,,,
2019-01-09,8.26,,,
2019-01-17,7.92,,,
2019-01-25,7.0,,,
2019-02-06,7.82,,,
2019-02-12,6.95,,,
2019-02-20,7.95,,,
2019-02-26,8.14,,,
2019-03-05,7.75,,,
2019-03-12,7.23,,,
2019-03-28,7.29,,,
2019-04-02,6.94,,,
2019-04-15,7.9,,,
2019-04-24,7.39,,,
2019-04-30,4.63,,,
2019-05-08,8.74,,,
2019-05-15,7.61,,,
2019-05-21,7.33,,,
2019-06-04,6.75,,,
2019-06-18,7.6,,,
2019-07-04,6.03,,,
2019-07-11,6.25,,,
2019-07-19,5.4,,,
2019-07-26,4.18,,,
2019-07-30,6.18,,,
2019-08-06,5.44,,,
2019-08-14,7.45,,,
2019-08-22,5.0,,,
2019-08-29,5.76,,,
2019-09-04,6.0,,,
2019-09-10,6.45,,,
2019-09-17,6.0,,,
2019-09-18,6.85,,,
2019-09-19,14.21,,,
2019-09-26,3.72,,,
2019-10-03,3.92,,,
2019-10-15,6.71,,,
2019-10-16,6.43,,,
2019-10-25,5.75,,,
2019-11-04,7.08,,,
2019-11-07,7.28,,,
2019-11-14,6.26,,,
2019-11-21,6.41,,,
2019-11-27,7.11,,,
2019-12-05,,5.0,,
2019-12-11,9.36,,,
2019-12-16,7.78,,,
2019-12-26,7.35,,,
2020-01-03,6.53,,,
2020-01-08,,7.53,,
2020-01-17,6.74,,,
2020-01-23,7.9,,,
2020-01-29,7.49,,,
2020-02-04,6.15,,,
2020-02-11,,6.04,,
2020-02-20,6.26,,,
2020-02-25,6.47,,,
