Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2016-08-02,46.24,,,
2016-08-04,46.8,,,
2016-08-09,46.88,,,
2016-08-25,46.59,,,
2016-08-30,46.83,,,
2016-09-06,47.2,,,
2016-09-08,47.18,,,
2016-09-22,47.63,,,
2016-09-29,47.16,,,
2016-10-06,46.91,,,
2016-10-14,46.96,,,
2016-10-21,46.74,,,
2016-10-28,46.74,,,
2016-11-03,46.85,,,
2016-11-11,46.79,,,
2016-11-18,46.5,,,
2016-11-22,46.49,,,
2016-12-02,45.35,,,
2016-12-13,45.4,,,
2017-01-12,,40.97,,
2017-01-26,40.27,,,
2017-02-03,40.38,40.39,40.4,
2017-02-10,40.46,,,
2017-02-16,40.62,,,
2017-02-24,40.02,,,
2017-03-02,40.6,,,
2017-03-08,40.59,,,
2017-03-22,40.21,,,
2017-03-30,40.71,,,
2017-04-05,41.27,,,
2017-04-12,41.2,,,
2017-04-18,,,,40.89
2017-04-25,41.09,,,
2017-05-04,41.45,,,
2017-05-10,41.58,,,
2017-05-19,42.11,,,
2017-05-24,42.26,,,
2017-06-02,42.78,,,
2017-06-06,42.79,,,
2017-06-13,42.99,,,
2017-06-21,43.07,,,
2017-06-30,43.22,,,
2017-07-05,43.73,,,
2017-07-12,44.03,,,
2017-07-19,44.34,,,
2017-07-26,44.27,,,
2017-08-08,44.41,,,
2017-08-16,44.77,,,
2017-08-23,44.74,,,
2017-08-30,43.6,,,
2017-09-06,,44.31,,
2017-09-11,44.86,,,
2017-09-20,46.49,,,
2017-09-27,44.97,,,
2017-10-04,45.35,,,
2017-10-11,45.32,,,
2017-10-17,45.55,,,
2017-10-25,45.09,,,
2017-11-03,44.68,,,
2017-11-08,44.63,,,
2017-11-22,45.02,,,
2017-11-28,44.86,,,
2017-12-05,44.39,,,
2017-12-13,44.53,,,
2017-12-18,44.51,,,
2017-12-26,44.32,,,
2018-01-02,44.56,,,
2018-01-09,43.81,,,
2018-01-17,43.81,,,
2018-01-24,43.93,,,
2018-01-31,42.31,,,
2018-02-12,43.18,,,
2018-02-20,42.8,,,
2018-02-27,42.97,,,
2018-03-07,42.88,,,
2018-03-13,43.25,,,
