Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2016-08-02,28.03,,,
2016-08-04,29.41,,,
2016-08-09,26.47,,,
2016-08-25,27.46,,,
2016-08-30,28.12,,,
2016-09-06,27.96,,,
2016-09-08,29.17,,,
2016-09-22,24.54,,,
2016-09-29,23.03,,,
2016-10-06,24.1,,,
2016-10-14,22.75,,,
2016-10-21,22.46,,,
2016-10-28,22.15,,,
2016-11-03,20.52,,,
2016-11-11,16.03,,,
2016-11-18,15.05,,,
2016-11-22,15.92,,,
2016-12-02,14.56,,,
2016-12-13,15.14,,,
2017-01-12,,12.01,,
2017-01-26,9.33,,,
2017-02-03,11.0,10.97,10.94,
2017-02-10,10.72,,,
2017-02-16,13.58,,,
2017-02-24,14.04,,,
2017-03-02,15.66,,,
2017-03-08,16.67,,,
2017-03-22,16.8,,,
2017-03-30,18.28,,,
2017-04-05,18.6,,,
2017-04-12,20.39,,,
2017-04-18,,,,21.79
2017-04-25,19.34,,,
2017-05-04,21.39,,,
2017-05-10,23.33,,,
2017-05-19,22.87,,,
2017-05-24,22.76,,,
2017-06-02,24.32,,,
2017-06-06,25.42,,,
2017-06-13,25.89,,,
2017-06-21,27.92,,,
2017-06-30,26.42,,,
2017-07-05,25.8,,,
2017-07-12,28.41,,,
2017-07-19,27.82,,,
2017-07-26,28.99,,,
2017-08-08,29.86,,,
2017-08-16,27.25,,,
2017-08-23,27.14,,,
2017-08-30,26.19,,,
2017-09-06,,26.96,,
2017-09-11,22.84,,,
2017-09-20,24.38,,,
2017-09-27,24.44,,,
2017-10-04,24.59,,,
2017-10-11,22.91,,,
2017-10-17,22.43,,,
2017-10-25,20.84,,,
2017-11-03,20.49,,,
2017-11-08,17.41,,,
2017-11-22,14.47,,,
2017-11-28,15.36,,,
2017-12-05,9.8,,,
2017-12-13,11.51,,,
2017-12-18,10.88,,,
2017-12-26,11.67,,,
2018-01-02,11.41,,,
2018-01-09,10.63,,,
2018-01-17,10.7,,,
2018-01-24,12.54,,,
2018-01-31,12.01,,,
2018-02-12,10.54,,,
2018-02-20,12.73,,,
2018-02-27,13.01,,,
2018-03-07,13.16,,,
2018-03-13,14.74,,,
2018-03-26,12.67,,,
2018-04-05,17.03,,,
2018-04-17,18.16,,,
2018-04-27,18.01,,,
2018-05-02,16.76,,,
2018-05-11,21.95,,,
2018-05-16,20.65,,,
2018-05-22,22.89,,,
2018-05-30,23.5,,,
2018-06-08,23.02,,,
2018-06-12,25.13,,,
2018-06-20,25.87,,,
2018-06-26,26.98,,,
2018-07-04,27.14,,,
2018-07-10,27.39,,,
2018-07-19,27.1,,,
2018-07-24,28.31,,,
2018-08-03,29.42,,,
2018-08-09,29.38,,,
2018-08-14,29.34,,,
2018-08-23,28.6,,,
2018-08-29,28.66,,,
2018-09-04,29.0,,,
2018-09-13,26.16,,,
