Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2016-08-02,24.44,,,
2016-08-04,7.71,,,
2016-08-09,6.2,,,
2016-08-25,22.11,,,
2016-08-30,12.22,,,
2016-09-06,5.77,,,
2016-09-08,5.55,,,
2016-09-22,9.91,,,
2016-09-29,43.47,,,
2016-10-06,12.68,,,
2016-10-14,10.64,,,
2016-10-21,9.0,,,
2016-10-28,11.51,,,
2016-11-03,5.97,,,
2016-11-11,6.13,,,
2016-11-18,7.04,,,
2016-11-22,5.17,,,
2016-12-02,22.18,,,
2016-12-13,2.48,,,
2017-01-12,,10.54,,
2017-01-26,7.85,,,
2017-02-03,3.47,3.6,3.93,
2017-02-10,4.99,,,
2017-02-16,45.85,,,
2017-02-24,31.11,,,
2017-03-02,5.67,,,
2017-03-08,3.37,,,
2017-03-22,4.29,,,
2017-03-30,2.83,,,
2017-04-05,1.65,,,
2017-04-12,2.57,,,
2017-04-18,,,,3.97
2017-04-25,2.81,,,
2017-05-04,2.62,,,
2017-05-10,0.79,,,
2017-05-19,8.79,,,
2017-05-24,11.71,,,
2017-06-02,11.46,,,
2017-06-06,1.37,,,
2017-06-13,14.34,,,
2017-06-21,2.55,,,
2017-06-30,8.21,,,
2017-07-05,7.02,,,
2017-07-12,0.9,,,
2017-07-19,6.38,,,
2017-07-26,1.33,,,
2017-08-08,3.03,,,
2017-08-16,12.13,,,
2017-08-23,10.5,,,
2017-08-30,11.31,,,
2017-09-06,,7.55,,
2017-09-11,9.99,,,
2017-09-20,1.91,,,
2017-09-27,6.87,,,
2017-10-04,5.06,,,
2017-10-11,4.36,,,
2017-10-17,8.07,,,
2017-10-25,3.89,,,
2017-11-03,4.12,,,
2017-11-08,7.52,,,
2017-11-22,3.39,,,
2017-11-28,12.38,,,
2017-12-05,4.84,,,
2017-12-13,6.0,,,
2017-12-18,1.29,,,
2017-12-26,4.16,,,
2018-01-02,4.25,,,
2018-01-09,2.61,,,
2018-01-17,4.25,,,
2018-01-24,1.77,,,
2018-01-31,75.92,,,
2018-02-12,5.25,,,
2018-02-20,3.72,,,
2018-02-27,3.23,,,
2018-03-07,1.76,,,
2018-03-13,1.12,,,
2018-03-26,2.48,,,
2018-04-05,0.4,,,
2018-04-17,0.89,,,
2018-04-27,6.34,,,
2018-05-02,1.81,,,
2018-05-11,4.38,,,
2018-05-16,3.82,,,
2018-05-22,1.41,,,
2018-05-30,1.35,,,
2018-06-08,0.88,,,
2018-06-12,0.51,,,
2018-06-20,0.99,,,
2018-06-26,0.71,,,
2018-07-04,0.67,,,
2018-07-10,0.67,,,
2018-07-19,3.44,,,
2018-07-24,0.59,,,
2018-08-03,0.71,,,
2018-08-09,1.08,,,
2018-08-14,0.69,,,
2018-08-23,0.49,,,
2018-08-29,0.71,,,
2018-09-04,0.62,,,
2018-09-13,1.81,,,
2018-09-20,1.18,,,
2018-09-25,6.52,,,
2018-10-03,1.22,,,
2018-10-10,6.59,,,
2018-10-17,,4.24,,
2018-10-24,4.1,,,
2018-11-07,0.52,,,
2018-11-21,0.82,,,
2018-11-28,0.62,,,
2018-12-04,0.58,,,
2018-12-11,0.58,,,
2018-12-19,0.85,,,
2018-12-26,0.49,,,
2019-01-03,0.94,,,
2019-01-09,0.45,,,
2019-01-17,0.58,,,
2019-01-25,0.14,,,
2019-02-06,1.27,,,
2019-02-12,3.68,,,
2019-02-20,0.63,,,
2019-02-26,0.74,,,
2019-03-05,0.58,,,
2019-03-12,0.65,,,
2019-03-28,4.34,,,
2019-04-02,4.29,,,
2019-04-15,0.94,,,
2019-04-24,6.14,,,
2019-04-30,2.96,,,
2019-05-08,1.93,,,
2019-05-15,2.12,,,
2019-05-21,1.39,,,
2019-06-04,1.36,,,
2019-06-18,1.48,,,
2019-07-04,2.96,,,
2019-07-11,0.78,,,
2019-07-19,0.03,,,
2019-07-26,0.37,,,
2019-07-30,1.29,,,
2019-08-06,0.94,,,
2019-08-14,4.6,,,
2019-08-22,8.3,,,
2019-08-29,4.31,,,
2019-09-04,2.07,,,
2019-09-10,2.56,,,
2019-09-17,14.72,,,
2019-09-18,15.48,,,
2019-09-19,16.73,,,
2019-09-26,30.63,,,
2019-10-03,15.89,,,
2019-10-15,59.62,,,
2019-10-16,12.86,,,
2019-10-25,9.77,,,
2019-11-04,8.9,,,
2019-11-07,9.1,,,
2019-11-14,8.91,,,
2019-11-21,2.58,,,
2019-11-27,3.44,,,
2019-12-05,,24.41,,
2019-12-11,0.07,,,
2019-12-16,5.79,,,
2019-12-26,4.16,,,
2020-01-03,2.72,,,
2020-01-08,,2.47,,
2020-01-17,1.26,,,
2020-01-23,14.21,,,
2020-01-29,3.35,,,
2020-02-04,6.64,,,
